,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil moisture: 2. drainage,1.03,free-draining,-,-,
2,Soil pH: 1. extreme maximum,1.06,8.0,-,-,
3,Soil pH: 3. typical maximum,1.08,7.0,-,-,
4,Soil pH: 4. typical minimum,1.09,6.0,-,-,
5,Shade,1.1,none,,-,
6,Status,2.01,naturalised,-,-,
7,Dynamics,2.03,declining,-,-,
8,First historical record: 1. date,2.04,1831,-,-,
9,Range: 3. continents where native,2.11,Africa,-,-,
10,Range: 3. continents where native,2.11,Asia,-,-,
11,Range: 3. continents where native,2.11,Europe,-,-,
12,Range: 4. continents where introduced,2.12,North America,-,-,
13,SN Index,2.13,3.15,-,-,
14,EW Index,2.14,4.32,-,-,
15,number of European countries in which native,2.17,16,-,-,
16,Stems: 1. woodiness,3.01,non-woody,-,-,
17,Stems: 2. support,3.02,self-supporting,-,-,
18,Height: 3. typical maximum (cm),3.05,130,-,-,
19,Spread,3.07,height = width,-,-,
20,Heterophylly,3.08,none,-,-,
21,Leaf shape: 1. type,3.09,simple,-,-,
22,Leaf shape: 2. outline,3.1,entire,-,-,
23,Leaf shape: 2. outline,3.1,entire,,,
24,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
25,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
26,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
27,Leaf shape: 6. petiole,3.14,sheathing,-,-,
28,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
29,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
30,Leaf area (cm2),3.17,1-10,-,-,
31,Root system,3.24,fibrous,-,-,
32,Root depth: 2. depth (cm),3.26,>100,,-,
33,Leaf folding,3.31,rolled,,,
34,Auricle,3.32,narrow spreading,,,
35,Ligule,3.33,0.15,0.1-0.2,,
36,Photosynthetic pathway,4.02,C3,-,-,
37,Heavy metal resistance,4.05,none,-,-,
38,Carnivory,4.06,does not kill insects,-,-,
39,Nutrition,4.07,autotrophic,-,-,
40,Response to frost (non-woody tissue),4.09,sensitive,-,-,
41,Life-form,5.01,hemicryptophyte,-,-,
42,Life-form,5.01,therophyte,-,-,
43,Mono/poly-carpic,5.04,monocarpic,-,-,
44,Vegetative reproduction/persistence: 1. method,5.05,rooting stems,-,-,
45,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
46,Flowering time: 1. earliest month,5.07,5,-,-,
47,Flowering time: 2. latest month,5.08,9,-,-,
48,Photoperiodism: 1. type,5.1,long-day,-,-,
49,Pollen vector,5.15,wind,-,-,
50,Dicliny,5.16,hermaphrodite,-,-,
51,Fertilization,5.19,normally cross,-,-,
52,Incompatibility systems,5.22,"gametophytic, >2 loci",-,-,
53,Chromosome number(s): 1. number,5.25,14,,-,
54,2C DNA content (pg),5.26,9.8,2n=14,-,
55,Seed weight: 1. maximum (mg),5.32,2.6,-,-,
56,Seed weight: 2. minimum (mg),5.33,1.3,-,-,
57,Seed weight: 3. mean (mg),5.34,2.0,-,-,
58,Seed weight: 3. mean (mg),5.34,2.9,,,
59,Dispersal agent,5.38,unspecialised,-,-,
60,Normal method of propagation,5.52,seed,-,-,
61,Seedbank type,5.53,long-term persistent,-,-,
62,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
63,Seedbank type,5.53,short-term persistent,-,-,
64,Seedbank type,5.53,transient,-,-,
65,Maximum seedbank density (m2),5.54,11200,-,-,
66,Minimum seedbank density (m2),5.55,530,-,-,
67,Mean seedbank density (m2),5.56,6087,-,-,
68,Flower colour,5.58,green,"brown, purple, white",,
69,Petal no,5.59,0,,,
70,Petal (sepal) size (cm),5.6,0,,,
71,Stigma number,5.61,2,,,
72,Stamen number,5.62,3,,,
73,Sepal number,5.63,0,,,
74,Carpel/Style number,5.64,2,,,
75,Inflorescence type,5.65,spike,,"spikelets in two rows, alternating",
76,"Glume, upper",5.66,1.3,0.4-2.5,"narrow- lanceolate-oblong, obtuse to acute, 4-7 nerved",
77,Glume lower,5.67,0,,present in terminal spikelet only,
78,Palea,5.68,0.65,0.5-0.8,,
79,Lemma,5.69,0.65,0.5-0.8,"oblong, lanceolate oblong, awn 1, 5-nerved",
80,Physical defences on leaves,6.02,glabrous,-,-,
81,Change Index,7.03,-1.06,,,
82,Biome,7.04,Mediterranean,,,
83,Eastern Limit,7.05,Hyperoceanic,,,
84,Continentality,7.06,Not continental,,,
85,Northern Limit in Britain,7.07,No,,,
86,Southern European Limit,7.1,No Data,,,
87,January mean temperature,7.11,3.6,,,
88,July mean temperature,7.12,15,,,
89,Annual precipitation,7.13,968,,,
90,Ellenberg Indicator: Light,7.14,7,,,
91,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
92,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
93,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
94,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
95,Ellenberg : Moisture,7.15,5,,,
96,Ellenberg: pH,7.16,7,,,
97,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
98,Ellenberg: pH,7.16,7,,Data calculated for Europe,
99,Ellenberg Indicator: Nitrogen,7.17,7,,,
100,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for the Czech Republic,
101,Ellenberg Indicator: Nitrogen,7.17,8,,Data calculated for Europe,
102,Ellenberg Indicator: Salt,7.18,0,,,
103,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
104,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
105,Life Form: normal state,7.19,Therophyte,,,
106,Life Form: less frequent state,7.2,Hemicryptophyte,,,
107,Clonality: normal state,7.21,Little or no vegetative spread,,,
108,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
109,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
110,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
