,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Soil moisture: 2. drainage,1.03,free-draining,-,-,
2,Soil moisture: 3. supply,1.04,seasonal,,-,
3,Salinity,1.05,brackish,,-,
4,Salinity,1.05,salt-affected,-,-,
5,Soil pH: 3. typical maximum,1.08,8.2,,-,
6,Soil pH: 4. typical minimum,1.09,4.5,,-,
7,Shade,1.1,none,-,-,
8,Exposure,1.11,indifferent,,-,
9,Altitude: 1. maximum recorded (m),1.12,914,-,-,
10,Altitude: 2. minimum recorded (m),1.13,0,-,-,
11,Altitude: 4. typical minimum (m),1.14,0,-,-,
12,Status,2.01,native,-,-,
13,First historical record: 1. date,2.04,1597,-,-,
14,Range: 3. continents where native,2.11,Africa,-,-,
15,Range: 3. continents where native,2.11,Asia,-,-,
16,Range: 3. continents where native,2.11,Europe,-,-,
17,Range: 4. continents where introduced,2.12,Australasia,-,-,
18,Range: 4. continents where introduced,2.12,North America,-,-,
19,Range: 4. continents where introduced,2.12,South America,-,-,
20,SN Index,2.13,3.9,-,-,
21,EW Index,2.14,4.52,-,-,
22,number of European countries in which native,2.17,32,-,-,
23,Medicinal Use,2.18,eye wash,,,
24,Medicinal Use,2.18,wounds,,,
25,Stems: 1. woodiness,3.01,non-woody,-,-,
26,Stems: 2. support,3.02,decumbent,-,-,
27,Height: 1. extreme maximum (cm),3.03,170,-,-,
28,Height: 2. extreme minimum (cm),3.04,1,,-,
29,Height: 3. typical maximum (cm),3.05,35,-,-,
30,Height: 4. typical minimum (cm),3.06,5,-,-,
31,Spread,3.07,height = width,-,-,
32,Heterophylly,3.08,none,-,-,
33,Leaf shape: 1. type,3.09,compound,-,-,
34,Leaf shape: 2. outline,3.1,entire,-,-,
35,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
36,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
37,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
38,Leaf shape: 6. petiole,3.14,petiolate,-,-,
39,Leaf area (cm2),3.17,1-10,-,-,
40,Stomata: 1. surfaces present,3.19,both,-,-,
41,Stomata: 1. surfaces present,3.19,both,,,
42,Stomata: 2. density on lower surface(no/mm2),3.2,137.72,,,
43,Stomata: 2. density on lower surface(no/mm2),3.2,82,75-90/mm2,-,
44,Stomata: 3. density on upper surface (no/mm2),3.21,118,110-126/mm2,-,
45,Stomata: 3. density on upper surface (no/mm2),3.21,165.19,,,
46,Leaf longevity: 1. type,3.22,aestival,-,-,
47,Leaf longevity: 2. number of months,3.23,6-12,,-,
48,Root system,3.24,fibrous,in the top soil,-,
49,Root system,3.24,tap root,-,-,
50,Root depth: 1. type,3.25,deep,-,-,
51,Root depth: 2. depth (cm),3.26,10-50,max 30 cm,-,
52,Root depth: 2. depth (cm),3.26,>100,-,-,
53,Root hairs,3.28,present,-,-,
54,Root persistence,3.3,>1,,-,
55,Mean plant dry mass(mg),3.35,5800,,,
56,Seedling growth rate - maximum (/d),4.01,0.15,-,-,
57,Photosynthetic pathway,4.02,C3,-,-,
58,Mature leaf N concentration (mg/g),4.03,20-30,-,-,
59,Mature leaf P concentration (mg/g),4.04,1-2,,-,
60,Mature leaf P concentration (mg/g),4.04,<1,-,-,
61,Heavy metal resistance,4.05,pseudometallophyte,"Pb, Zn and Cd",-,
62,Carnivory,4.06,does not kill insects,-,-,
63,Nutrition,4.07,autotrophic,-,-,
64,Response to drought,4.08,resists,-,-,
65,Response to frost (non-woody tissue),4.09,sensitive,,-,
66,Response to frost (seedlings),4.1,sensitive,,-,
67,Rgr max,4.12,1.05,�0.06,,
68,rgr,4.13,1.05,�0.06,,
69,Life-form,5.01,hemicryptophyte,-,-,
70,Longevity of stems (yrs),5.02,<1,-,-,
71,Age at first flowering,5.03,12-24 weeks,,-,
72,Mono/poly-carpic,5.04,polycarpic,-,-,
73,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,,-,
74,Flowering time: 1. earliest month,5.07,5,-,-,
75,Flowering time: 2. latest month,5.08,10,-,-,
76,Flowering time: 3. peak month,5.09,5,-,-,
77,Flowering time: 3. peak month,5.09,6,-,-,
78,Flowering time: 3. peak month,5.09,7,-,-,
79,Photoperiodism: 1. type,5.1,long-day,-,-,
80,Photoperiodism: 2. threshold value (h),5.11,16,-,-,
81,Pollen: 2. diameter (um),5.13,18.3,-,-,
82,Pollen: 2. diameter (um),5.13,19.8,,,
83,Pollen: 2. diameter (um),5.13,25,-,-,
84,Pollen vector,5.15,insect,-,-,
85,Dicliny,5.16,hermaphrodite,-,-,
86,Dichogamy,5.17,protandrous,-,-,
87,Heteromorphy,5.18,homomorphic,,-,
88,Fertilization,5.19,normally cross,,-,
89,Cleistogamy,5.2,cleistogamy not recorded,-,-,
90,Incompatibility systems,5.22,"present, mechanism unknown",-,-,
91,Chromosome number(s): 1. number,5.25,24,-,-,
92,2C DNA content (pg),5.26,0.95,2n=12,,
93,2C DNA content (pg),5.26,2.1,2n=24,-,
94,Time of seed dispersal (season),5.28,summer,-,-,
95,Annual seed dispersal,5.29,regular,-,-,
96,Dispersule size - length of longest axis (mm),5.3,1.9,seed,-,
97,Seed size - length of longest axis (mm),5.31,1.9,seed,-,
98,Seed weight: 1. maximum (mg),5.32,1.67,-,-,
99,Seed weight: 2. minimum (mg),5.33,1.11,-,-,
100,Seed weight: 3. mean (mg),5.34,1,,,
101,Seed weight: 3. mean (mg),5.34,1.2,-,-,
102,Seed weight: 3. mean (mg),5.34,1.49,,,
103,Seed production: 2. typical range (/flower),5.36,1-10,-,-,
104,Seed production: 2. typical range (/flower),5.36,10-100,-,-,
105,Seed production: 3. typical range (/plant),5.37,463,,,
106,Dispersal agent,5.38,ants,,-,
107,Dispersal agent,5.38,explosive mechanism,-,-,
108,Dispersal agent,5.38,unspecialised,-,-,
109,Time of germination (season),5.39,autumn,-,-,
110,Time of germination (season),5.39,spring,-,-,
111,After-ripening requirement,5.4,none,-,-,
112,Maximum temperature at which 50% seeds germinate,5.42,34,-,-,
113,Germination requirements 1. chilling,5.45,none,,-,
114,Germination requirements 2. light,5.46,none,-,-,
115,Germination requirements 3. temperature fluctuation,5.47,none,,-,
116,Germination type,5.48,epigeal,-,-,
117,Seed viability,5.49,high,,-,
118,Seedbank longevity,5.5,1-5 yrs,-,-,
119,Normal method of propagation,5.52,seed,-,-,
120,Seedbank type,5.53,long-term persistent,-,-,
121,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
122,Seedbank type,5.53,short-term persistent,-,-,
123,Seedbank type,5.53,transient,-,-,
124,Maximum seedbank density (m2),5.54,2056,-,-,
125,Minimum seedbank density (m2),5.55,3,-,-,
126,Mean seedbank density (m2),5.56,182,-,-,
127,Flower colour,5.58,yellow,red,,
128,Petal no,5.59,5,2 fused,,
129,Petal (sepal) size (cm),5.6,1.3,1-1.6,standard,
130,Stigma number,5.61,1,,,
131,Stamen number,5.62,10,9 fused,,
132,Sepal number,5.63,5,,,
133,Carpel/Style number,5.64,1,,,
134,Inflorescence type,5.65,capitate cyme,,axillary,
135,Response to vertebrate grazing,6.01,increases,-,-,
136,Physical defences on leaves,6.02,glabrous,-,-,
137,Physical defences on stems,6.03,glabrous,-,-,
138,Rarity Status,7.02,Present,,,
139,Change Index,7.03,1.09,,,
140,Biome,7.04,Southern Temperate,,,
141,Eastern Limit,7.05,Eurasian,,,
142,Continentality,7.06,Not continental,,,
143,Northern Limit in Britain,7.07,No,,,
144,"Northern European Limit (Lat,5C band)",7.08,>65,,,
145,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
146,Southern European Limit,7.1,No,,,
147,January mean temperature,7.11,3.5,,,
148,July mean temperature,7.12,14.5,,,
149,Annual precipitation,7.13,1104,,,
150,Ellenberg Indicator: Light,7.14,7,,,
151,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
152,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
153,Ellenberg : Moisture,7.15,4,,,
154,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
155,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
156,Ellenberg: pH,7.16,6,,,
157,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
158,Ellenberg: pH,7.16,7,,Data calculated for Europe,
159,Ellenberg Indicator: Nitrogen,7.17,2,,,
160,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for Europe,
161,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for the Czech Republic,
162,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
163,Ellenberg Indicator: Salt,7.18,1,,,
164,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
165,Life Form: normal state,7.19,Hemicryptophyte,,,
166,Clonality: normal state,7.21,Little or no vegetative spread,,,
167,Ellenberg: Temperature,7.23,5x,,Data calculated for the Czech Republic,
168,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
169,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
