,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,ferttile,,,
1,Soil moisture: 2. drainage,1.03,well drained,,,
2,Shade,1.1,light,,,
3,Status,2.01,naturalised,,,
4,Range: 3. continents where native,2.11,Europe,Balkans and south west asia,,
5,Stems: 1. woodiness,3.01,non-woody,,,
6,Stems: 2. support,3.02,self supporting,,,
7,Height: 3. typical maximum (cm),3.05,100,,,
8,Height: 4. typical minimum (cm),3.06,30,,,
9,Spread,3.07,height>>width,,,
10,Heterophylly,3.08,none,,,
11,Leaf shape: 1. type,3.09,simple,,,
12,Leaf shape: 2. outline,3.1,dentate,,,
13,Leaf shape: 3. pointed/round,3.11,acuminate,,,
14,Leaf shape: 4. length versus breadth,3.12,1-3x as long as wide,,,
15,Leaf shape: 5. leaf base,3.13,cordate,,,
16,Leaf shape: 6. petiole,3.14,petiolate,basal lvs,,
17,Leaf shape: 6. petiole,3.14,subsessile,stem lvs,,
18,Leaf longevity: 1. type,3.22,aestival,,,
19,Carnivory,4.06,does not kill insects,,,
20,Nutrition,4.07,autotrophic,,,
21,Response to frost (non-woody tissue),4.09,resistant,,,
22,Life-form,5.01,hemicryptophyte,,,
23,Longevity of stems (yrs),5.02,1-2,,,
24,Age at first flowering,5.03,24-52 weeks,,,
25,Mono/poly-carpic,5.04,monocarpic,,,
26,Flowering time: 1. earliest month,5.07,49,,,
27,Flowering time: 2. latest month,5.08,6,,,
28,Flowering time: 3. peak month,5.09,5,,,
29,Pollen vector,5.15,insects,"butterflies, small insects collecting pollen",,
30,Dicliny,5.16,hermaphrodite,,,
31,Dichogamy,5.17,homogamous,,,
32,Dichogamy,5.17,homogamous,,,
33,Fertilization,5.19,cross and self,,,
34,Chromosome number(s): 1. number,5.25,28,+ 2 fragments,,
35,Chromosome number(s): 1. number,5.25,30,,,
36,Appendages on dispersal unit,5.27,wings,,,
37,Dispersule size - length of longest axis (mm),5.3,8,,,
38,Seed size - length of longest axis (mm),5.31,8,,,
39,Seed weight: 3. mean (mg),5.34,16,,,
40,Dispersal agent,5.38,wind,,,
41,Flower colour,5.58,pink,"purple, white",,
42,Petal no,5.59,4,,,
43,Petal (sepal) size (cm),5.6,2,1.5-2.5,,
44,Stigma number,5.61,2,capitate,,
45,Stamen number,5.62,6,,,
46,Sepal number,5.63,4,,,
47,Carpel/Style number,5.64,1,,,
48,Inflorescence type,5.65,raceme,,,
49,Physical defences on leaves,6.02,stiff hairs,,,
50,Physical defences on stems,6.03,stiff hairs,,,
51,Ellenberg Indicator: Light,7.14,5,,Data calculated for the Czech Republic,
52,Ellenberg Indicator: Light,7.14,,,Data calculated for Europe,
53,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
54,Ellenberg : Moisture,7.15,,,Data calculated for Europe,
55,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
56,Ellenberg: pH,7.16,,,Data calculated for Europe,
57,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for the Czech Republic,
58,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
59,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
60,Ellenberg Indicator: Salt,7.18,,,Data calculated for Europe,
61,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
62,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
63,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
