,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Shade,1.1,none,-,-,
3,Status,2.01,naturalised,-,-,
4,Dynamics,2.03,increasing,-,-,
5,Range: 3. continents where native,2.11,North America,-,-,
6,Range: 4. continents where introduced,2.12,Europe,-,-,
7,SN Index,2.13,4.18,-,-,
8,EW Index,2.14,2.27,-,-,
9,Stems: 1. woodiness,3.01,non-woody,-,-,
10,Stems: 2. support,3.02,self-supporting,-,-,
11,Height: 3. typical maximum (cm),3.05,150,-,-,
12,Spread,3.07,height = width,-,-,
13,Heterophylly,3.08,none,-,-,
14,Leaf shape: 1. type,3.09,compound,-,-,
15,Leaf shape: 2. outline,3.1,entire,-,-,
16,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
17,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
18,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
19,Leaf shape: 6. petiole,3.14,petiolate,-,-,
20,Leaf shape: 8. maximum petiole length (mm),3.16,100,-,-,
21,Leaf area (cm2),3.17,100-1000,-,-,
22,Photosynthetic pathway,4.02,C3,-,-,
23,Heavy metal resistance,4.05,none,-,-,
24,Carnivory,4.06,does not kill insects,-,-,
25,Nutrition,4.07,autotrophic,-,-,
26,Life-form,5.01,hemicryptophyte,-,-,
27,Longevity of stems (yrs),5.02,<1,-,-,
28,Flowering time: 1. earliest month,5.07,5,-,-,
29,Flowering time: 2. latest month,5.08,7,-,-,
30,Pollen vector,5.15,insect,-,-,
31,Dicliny,5.16,hermaphrodite,-,-,
32,Fertilization,5.19,cross and self,-,-,
33,Incompatibility systems,5.22,none,-,-,
34,Chromosome number(s): 1. number,5.25,48,,-,
35,2C DNA content (pg),5.26,1.70,2n=48,,
36,Seed weight: 3. mean (mg),5.34,21,,,
37,Seed weight: 3. mean (mg),5.34,28.6,,-,
38,Time of germination (season),5.39,spring,,-,
39,Flower colour,5.58,blue,"pink, white",,
40,Petal no,5.59,5,2 fused,,
41,Petal (sepal) size (cm),5.6,1.2,0.9-1.5,standard,
42,Stigma number,5.61,1,,,
43,Stamen number,5.62,10,all fused,,
44,Sepal number,5.63,5,,,
45,Carpel/Style number,5.64,1,,,
46,Inflorescence type,5.65,raceme,,"terminal, erect",
47,Biome,7.04,Mediterranean,,,
48,Eastern Limit,7.05,Hyperoceanic,,,
49,Continentality,7.06,Not continental,,,
50,Northern Limit in Britain,7.07,No,,,
51,Southern European Limit,7.1,No Data,,,
52,January mean temperature,7.11,3.2,,,
53,July mean temperature,7.12,15,,,
54,Annual precipitation,7.13,828,,,
55,Ellenberg Indicator: Light,7.14,7,,,
56,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
57,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
58,Ellenberg : Moisture,7.15,5,,,
59,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
60,Ellenberg : Moisture,7.15,5,,Data calculated for Europe,
61,Ellenberg: pH,7.16,4,,Data calculated for Europe,
62,Ellenberg: pH,7.16,5,,,
63,Ellenberg: pH,7.16,5,,Data calculated for the Czech Republic,
64,Ellenberg Indicator: Nitrogen,7.17,5,,,
65,Ellenberg Indicator: Nitrogen,7.17,6x,,Data calculated for the Czech Republic,
66,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
67,Ellenberg Indicator: Salt,7.18,0,,,
68,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
69,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
70,Life Form: normal state,7.19,Hemicryptophyte,,,
71,Clonality: normal state,7.21,Little or no vegetative spread,,,
72,Ellenberg: Temperature,7.23,5,,Data calculated for the Czech Republic,
73,Ellenberg: Temperature,7.23,5,,Data calculated for Europe,
74,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
