,Name,Number,Value,Modifier,Notes,Subspecies
0,Status,2.01,naturalised,-,-,
1,Dynamics,2.03,increasing,-,-,
2,Range: 3. continents where native,2.11,Europe,-,-,
3,number of European countries in which native,2.17,11,-,-,
4,Stems: 1. woodiness,3.01,non-woody,-,-,
5,Stems: 2. support,3.02,self-supporting,-,-,
6,Height: 3. typical maximum (cm),3.05,90,-,-,
7,Height: 4. typical minimum (cm),3.06,30,-,-,
8,Leaf area (cm2),3.17,10-100,-,-,
9,Photosynthetic pathway,4.02,C3,-,-,
10,Heavy metal resistance,4.05,none,-,-,
11,Carnivory,4.06,does not kill insects,-,-,
12,Nutrition,4.07,autotrophic,-,-,
13,Life-form,5.01,hemicryptophyte,-,-,
14,Longevity of stems (yrs),5.02,<1,-,-,
15,Flowering time: 1. earliest month,5.07,7,-,-,
16,Flowering time: 2. latest month,5.08,10,-,-,
17,Pollen vector,5.15,insect,-,-,
18,Dicliny,5.16,hermaphrodite,-,-,
19,Chromosome number(s): 1. number,5.25,30,,-,
20,2C DNA content (pg),5.26,4.42,,,
21,2C DNA content (pg),5.26,4.42,,,
22,Seed weight: 3. mean (mg),5.34,0.3617,,,
23,Flower colour,5.58,yellow,,,
24,Petal no,5.59,5,,,
25,Petal (sepal) size (cm),5.6,1.75,,,
26,Stigma number,5.61,1,,,
27,Stamen number,5.62,5,,,
28,Sepal number,5.63,5,,,
29,Carpel/Style number,5.64,1,,,
30,Inflorescence type,5.65,axillary,,dense groups,
31,Change Index,7.03,4.62,,,
32,Biome,7.04,Mediterranean,,,
33,Eastern Limit,7.05,Hyperoceanic,,,
34,Continentality,7.06,Not continental,,,
35,Northern Limit in Britain,7.07,No,,,
36,Southern European Limit,7.1,No Data,,,
37,January mean temperature,7.11,3.5,,,
38,July mean temperature,7.12,15,,,
39,Annual precipitation,7.13,999,,,
40,Ellenberg Indicator: Light,7.14,6,,,
41,Ellenberg Indicator: Light,7.14,6,,Data calculated for the Czech Republic,
42,Ellenberg Indicator: Light,7.14,6,,Data calculated for Europe,
43,Ellenberg : Moisture,7.15,6,,,
44,Ellenberg : Moisture,7.15,6,,Data calculated for the Czech Republic,
45,Ellenberg : Moisture,7.15,7,,Data calculated for Europe,
46,Ellenberg: pH,7.16,7,,,
47,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
48,Ellenberg: pH,7.16,8,,Data calculated for Europe,
49,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for Europe,
50,Ellenberg Indicator: Nitrogen,7.17,5,,,
51,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
52,Ellenberg Indicator: Salt,7.18,0,,,
53,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
54,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
55,Life Form: normal state,7.19,Hemicryptophyte,,,
56,Clonality: normal state,7.21,Rhizome shortly creeping,,,
57,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
58,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
59,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
