,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,,
1,Soil moisture: 2. drainage,1.03,free,,,
2,Shade,1.1,deep,,,
3,Shade,1.1,mid,,,
4,Altitude: 1. maximum recorded (m),1.12,800,,,
5,Altitude: 2. minimum recorded (m),1.13,0,,,
6,Status,2.01,naturalised,,,
7,Dynamics,2.03,increasing,,,
8,Range: 3. continents where native,2.11,Asia,"Kamtschatka, Japan",,
9,Range: 3. continents where native,2.11,N.America,"Western states, Alaska, Yukon B.C, Alaska, California, Idaho, Oregon, Washington",,
10,number of European countries in which native,2.17,0,,,
11,Stems: 1. woodiness,3.01,non woody,,,
12,Stems: 2. support,3.02,self supporting,,,
13,Height: 3. typical maximum (cm),3.05,45,,,
14,Height: 4. typical minimum (cm),3.06,20,,,
15,Spread,3.07,height<,,,
16,Heterophylly,3.08,none,,,
17,Leaf shape: 1. type,3.09,simple,,,
18,Leaf shape: 2. outline,3.1,entire,,,
19,Leaf shape: 3. pointed/round,3.11,acute,,,
20,Leaf shape: 3. pointed/round,3.11,obtuse,,,
21,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,,,
22,Leaf shape: 5. leaf base,3.13,cordate,,,
23,Leaf shape: 6. petiole,3.14,petiolate,,,
24,Leaf shape: 7. minimum petiole length (mm),3.15,40,,,
25,Leaf shape: 8. maximum petiole length (mm),3.16,70,,,
26,Photosynthetic pathway,4.02,C3,,,
27,Carnivory,4.06,does not kill insects,,,
28,Nutrition,4.07,autotrophic,,,
29,Life-form,5.01,geophyte,,,
30,Longevity of stems (yrs),5.02,<1,,,
31,Mono/poly-carpic,5.04,polycarpic,,,
32,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,,,
33,Vegetative reproduction/persistence: 2. pattern,5.06,patch,,,
34,Flowering time: 1. earliest month,5.07,early spring,,,
35,Dicliny,5.16,hermaphrodite,,,
36,Chromosome number(s): 1. number,5.25,32,,,
37,Chromosome number(s): 1. number,5.25,36,,,
38,Chromosome number(s): 1. number,5.25,54,,,
39,Time of seed dispersal (season),5.28,autumn,,,
40,Dispersule size - length of longest axis (mm),5.3,6,,,
41,Seed size - length of longest axis (mm),5.31,3,,,
42,Seed production: 2. typical range (/flower),5.36,1-10,,,
43,Normal method of propagation,5.52,seed and vegetative,,,
44,Flower colour,5.58,white,,,
45,Petal no,5.59,6,,tepals,
46,Stigma number,5.61,1,,,
47,Stamen number,5.62,6,,,
48,Sepal number,5.63,0,,tepals,
49,Carpel/Style number,5.64,1,,,
50,Physical defences on leaves,6.02,glabrous,,,
51,Physical defences on stems,6.03,stiff hairs,distally,,
52,Physical defences on flowers/fruits,6.04,glabrous,,,
53,Physical defences on buds,6.05,glabrous,,,
