,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Shade,1.1,light,-,-,
2,Shade,1.1,mid,-,-,
3,Shade,1.1,none,-,-,
4,Altitude: 1. maximum recorded (m),1.12,548,-,-,
5,Status,2.01,native,-,-,
6,Typical abundance where naturally occurring,2.02,frequent,-,-,
7,Dynamics,2.03,declining,-,-,
8,First historical record: 1. date,2.04,1696,-,-,
9,Range: 3. continents where native,2.11,Asia,-,-,
10,Range: 3. continents where native,2.11,Europe,-,-,
11,SN Index,2.13,5.47,-,-,
12,EW Index,2.14,3.96,-,-,
13,number of European countries in which native,2.17,20,-,-,
14,Stems: 1. woodiness,3.01,non-woody,-,-,
15,Stems: 2. support,3.02,self-supporting,-,-,
16,Height: 3. typical maximum (cm),3.05,60,-,-,
17,Height: 4. typical minimum (cm),3.06,20,-,-,
18,Spread,3.07,height = width,-,-,
19,Heterophylly,3.08,none,-,-,
20,Leaf shape: 1. type,3.09,simple,-,-,
21,Leaf shape: 2. outline,3.1,entire,-,-,
22,Leaf shape: 2. outline,3.1,entire,,,
23,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
24,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
25,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
26,Leaf shape: 6. petiole,3.14,sheathing,-,-,
27,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
28,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
29,Leaf area (cm2),3.17,1-10,-,-,
30,Stomata: 1. surfaces present,3.19,upper,-,-,
31,Stomata: 2. density on lower surface(no/mm2),3.2,0,-,-,
32,Stomata: 3. density on upper surface (no/mm2),3.21,122,range 100-145,-,
33,Root system,3.24,fibrous,,,
34,Leaf folding,3.31,rolled,,,
35,Ligule,3.33,minute,,truncate,
36,Seedling growth rate - maximum (/d),4.01,0.141,-,-,
37,Photosynthetic pathway,4.02,C3,-,-,
38,Heavy metal resistance,4.05,none,-,-,
39,Carnivory,4.06,does not kill insects,-,-,
40,Nutrition,4.07,autotrophic,-,-,
41,Rgr max,4.12,0.99,�0.05,,
42,rgr,4.13,0.99,�0.05,,
43,Life-form,5.01,hemicryptophyte,-,-,
44,Longevity of stems (yrs),5.02,<1,-,-,
45,Vegetative reproduction/persistence: 1. method,5.05,stolons,-,-,
46,Flowering time: 1. earliest month,5.07,5,-,-,
47,Flowering time: 2. latest month,5.08,6,-,-,
48,Pollen vector,5.15,wind,-,-,
49,Dicliny,5.16,hermaphrodite,-,-,
50,Chromosome number(s): 1. number,5.25,18,,-,
51,Seed size - length of longest axis (mm),5.31,2.5,caryopsis,-,
52,Seed weight: 3. mean (mg),5.34,2.35,,,
53,Seed weight: 3. mean (mg),5.34,2.56,-,-,
54,Seedbank type,5.53,short-term persistent,-,-,
55,Seedbank type,5.53,transient,-,-,
56,Maximum seedbank density (m2),5.54,5,-,-,
57,Minimum seedbank density (m2),5.55,5,-,-,
58,Mean seedbank density (m2),5.56,5,-,-,
59,Flower colour,5.58,green,"brown, purple, white",,
60,Petal no,5.59,0,,,
61,Petal (sepal) size (cm),5.6,0,,,
62,Stigma number,5.61,2,,,
63,Stamen number,5.62,3,,,
64,Sepal number,5.63,0,,,
65,Carpel/Style number,5.64,2,,,
66,Inflorescence type,5.65,raceme,,"loose, nodding, one sided",
67,"Glume, upper",5.66,0.5,0.4-0.6,"elliptic to elliptic-ovate, obtuse, 5-nerved",
68,Glume lower,5.67,0.5,0.4-0.6,"elliptic to elliptic-ovate, obtuse, 5-nerved",
69,Palea,5.68,0.6,,elliptic,
70,Lemma,5.69,0.6,0.5-0.7,"elliptic to elliptic-oblong, obtuse, 7-9 nerved",
71,Physical defences on leaves,6.02,glabrous,lower epidermis,-,
72,Physical defences on leaves,6.02,soft hairs,upper epidermis,-,
73,Rarity Status,7.02,Present,,,
74,Change Index,7.03,-0.17,,,
75,Biome,7.04,Boreo-Temperate,,,
76,Eastern Limit,7.05,Eurasian,,,
77,Continentality,7.06,Continental,,,
78,Northern Limit in Britain,7.07,No,,,
79,"Northern European Limit (Lat,5C band)",7.08,>65,,,
80,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
81,Southern European Limit,7.1,No,,,
82,January mean temperature,7.11,1.9,,,
83,July mean temperature,7.12,13,,,
84,Annual precipitation,7.13,1483,,,
85,Ellenberg Indicator: Light,7.14,4,,,
86,Ellenberg Indicator: Light,7.14,4,,Data calculated for the Czech Republic,
87,Ellenberg Indicator: Light,7.14,4,,Data calculated for Europe,
88,Ellenberg : Moisture,7.15,4~,,Data calculated for Europe,
89,Ellenberg : Moisture,7.15,5,,,
90,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
91,Ellenberg: pH,7.16,6x,,Data calculated for the Czech Republic,
92,Ellenberg: pH,7.16,7,,,
93,Ellenberg: pH,7.16,,,Data calculated for Europe,
94,Ellenberg Indicator: Nitrogen,7.17,3,,,
95,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for Europe,
96,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for the Czech Republic,
97,Ellenberg Indicator: Salt,7.18,0,,,
98,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
99,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
100,Life Form: normal state,7.19,Hemicryptophyte,,,
101,Clonality: normal state,7.21,Rhizome shortly creeping,,,
102,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
103,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
104,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
