,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Water nutrients,1.01A,eutrophic,-,-,
2,Water nutrients,1.01A,mesotrophic,-,-,
3,Salinity,1.05,salt-affected,-,-,
4,Soil pH: 1. extreme maximum,1.06,7.8,-,-,
5,Water pH: 1. extreme maximum,1.06A,7.48,-,-,
6,Soil pH: 2. extreme minimum,1.07,4.46,-,-,
7,Water pH: 2. extreme minimum,1.07A,4.64,-,-,
8,Soil pH: 3. typical maximum,1.08,7.24,-,-,
9,Water pH: 3. typical maximum,1.08A,6.91,-,-,
10,Soil pH: 4. typical minimum,1.09,5.7,-,-,
11,Water pH: 4. typical minimum,1.09A,5.71,-,-,
12,Shade,1.10,light,-,-,
13,Shade,1.10,mid,-,-,
14,Shade,1.10,none,-,-,
15,Altitude: 1. maximum recorded (m),1.12,457,-,-,
16,Altitude: 2. minimum recorded (m),1.13,0,-,-,
17,Altitude: 4. typical minimum (m),1.14,0,-,-,
18,Flow,1.15A,mid,-,-,
19,Flow,1.15A,nil,-,-,
20,Flow,1.15A,rapid,-,-,
21,Flow,1.15A,slight,-,-,
22,Status,2.01,native,-,-,
23,Typical abundance where naturally occurring,2.02,frequent,-,-,
24,Dynamics,2.03,declining,perhaps,-,
25,Range: 3. continents where native,2.11,Africa,-,-,
26,Range: 3. continents where native,2.11,Asia,-,-,
27,Range: 3. continents where native,2.11,Europe,-,-,
28,Range: 3. continents where native,2.11,South America,-,-,
29,SN Index,2.13,3.48,-,-,
30,EW Index,2.14,4.63,-,-,
31,number of European countries in which native,2.17,32,-,-,
32,Medicinal Use,2.18,constipation,,,
33,Medicinal Use,2.18,coughs,,,
34,Medicinal Use,2.18,headaches,,,
35,Medicinal Use,2.18,heartburn,,,
36,Medicinal Use,2.18,jaundice,,,
37,Medicinal Use,2.18,stomach ache,,,
38,Stems: 1. woodiness,3.01,non-woody,-,-,
39,Stems: 2. support,3.02,self-supporting,-,-,
40,Height: 3. typical maximum (cm),3.05,90,-,-,
41,Height: 4. typical minimum (cm),3.06,15,-,-,
42,Spread,3.07,height > width,-,-,
43,Heterophylly,3.08,none,-,-,
44,Leaf shape: 1. type,3.09,simple,-,-,
45,Leaf shape: 2. outline,3.10,toothed,-,-,
46,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
47,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
48,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
49,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
50,Leaf shape: 5. leaf base,3.13,truncate,-,-,
51,Leaf shape: 6. petiole,3.14,petiolate,-,-,
52,Leaf area (cm2),3.17,10-100,-,-,
53,Stomata: 1. surfaces present,3.19,lower,-,-,
54,Stomata: 3. density on upper surface (no/mm2),3.21,0,-,-,
55,Leaf longevity: 1. type,3.22,evergreen,-,-,
56,Seedling growth rate - maximum (/d),4.01,0.186,-,-,
57,Photosynthetic pathway,4.02,C3,-,-,
58,Heavy metal resistance,4.05,none,-,-,
59,Carnivory,4.06,does not kill insects,-,-,
60,Nutrition,4.07,autotrophic,-,-,
61,Rgr max,4.12,1.30,�0.08,,
62,rgr,4.13,1.30,�0.08,,
63,Life-form,5.01,helophyte,-,-,
64,Life-form,5.01,hemicryptophyte,-,-,
65,Longevity of stems (yrs),5.02,<1,-,-,
