,Name,Number,Value,Modifier,Notes,Subspecies
0,Altitude: 1. maximum recorded (m),1.12,243,-,-,
1,Altitude: 2. minimum recorded (m),1.13,0,-,-,
2,Altitude: 4. typical minimum (m),1.14,0,-,-,
3,Status,2.01,native,-,-,
4,Dynamics,2.03,declining,-,-,
5,First historical record: 1. date,2.04,1670,-,-,
6,First historical record: 2. site,2.05,Hertfordshire,-,-,
7,Range: 3. continents where native,2.11,Africa,-,-,
8,Range: 3. continents where native,2.11,Europe,-,-,
9,SN Index,2.13,2.29,-,-,
10,EW Index,2.14,6.54,-,-,
11,number of European countries in which native,2.17,16,-,-,
12,Medicinal Use,2.18,constipation,,,
13,Medicinal Use,2.18,coughs,,,
14,Medicinal Use,2.18,headaches,,,
15,Medicinal Use,2.18,heartburn,,,
16,Medicinal Use,2.18,jaundice,,,
17,Medicinal Use,2.18,stomach ache,,,
18,Stems: 1. woodiness,3.01,non-woody,-,-,
19,Stems: 2. support,3.02,self-supporting,-,-,
20,Height: 3. typical maximum (cm),3.05,90,-,-,
21,Height: 4. typical minimum (cm),3.06,60,-,-,
22,Spread,3.07,height > width,-,-,
23,Heterophylly,3.08,none,-,-,
24,Leaf shape: 1. type,3.09,simple,-,-,
25,Leaf shape: 2. outline,3.1,toothed,-,-,
26,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
27,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
28,Leaf shape: 5. leaf base,3.13,cordate,-,-,
29,Leaf shape: 5. leaf base,3.13,rounded,-,-,
30,Leaf shape: 5. leaf base,3.13,truncate,-,-,
31,Leaf shape: 6. petiole,3.14,petiolate,-,-,
32,Leaf shape: 6. petiole,3.14,sessile,-,-,
33,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
34,Leaf area (cm2),3.17,1-10,-,-,
35,Photosynthetic pathway,4.02,C3,-,-,
36,Heavy metal resistance,4.05,none,-,-,
37,Carnivory,4.06,does not kill insects,-,-,
38,Nutrition,4.07,autotrophic,-,-,
39,Life-form,5.01,hemicryptophyte,-,-,
40,Longevity of stems (yrs),5.02,<1,-,-,
41,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
42,Flowering time: 1. earliest month,5.07,8,-,-,
43,Flowering time: 2. latest month,5.08,9,-,-,
44,Pollen vector,5.15,insect,-,-,
45,Dicliny,5.16,gynodioecious,-,-,
46,Dicliny,5.16,gynomonoecious,,-,
47,Dichogamy,5.17,protandrous,-,-,
48,Chromosome number(s): 1. number,5.25,24,-,-,
49,Seed weight: 3. mean (mg),5.34,0.01,,,
50,Seed weight: 3. mean (mg),5.34,0.146,,,
51,Flower colour,5.58,white,"pink, lilac",,
52,Petal no,5.59,5,,fused,
53,Stigma number,5.61,2,,,
54,Stamen number,5.62,4,,,
55,Sepal number,5.63,5,,fused,
56,Carpel/Style number,5.64,1,,,
57,Inflorescence type,5.65,whorl,,condensed cymes in axil of leaf pairs,
58,Physical defences on leaves,6.02,soft hairs,-,-,
59,Physical defences on stems,6.03,soft hairs,-,-,
60,Physical defences on flowers/fruits,6.04,soft hairs,flower,-,
61,Rarity Status,7.02,Scarce,,,
62,Change Index,7.03,-0.32,,,
63,Biome,7.04,Mediterranean-Atlantic,,,
64,Eastern Limit,7.05,Suboceanic,,,
65,Continentality,7.06,Not continental,,,
66,Northern Limit in Britain,7.07,Yes,,,
67,"Northern European Limit (Lat,5C band)",7.08,50-55,,,
68,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
69,Southern European Limit,7.1,No,,,
70,January mean temperature,7.11,5.4,,,
71,July mean temperature,7.12,15.5,,,
72,Annual precipitation,7.13,1151,,,
73,Ellenberg Indicator: Light,7.14,7,,,
74,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
75,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
76,Ellenberg : Moisture,7.15,7,,Data calculated for the Czech Republic,
77,Ellenberg : Moisture,7.15,8,,,
78,Ellenberg : Moisture,7.15,8=,,Data calculated for Europe,
79,Ellenberg: pH,7.16,6,,,
80,Ellenberg: pH,7.16,6,,Data calculated for the Czech Republic,
81,Ellenberg: pH,7.16,6,,Data calculated for Europe,
82,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for the Czech Republic,
83,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for Europe,
84,Ellenberg Indicator: Nitrogen,7.17,6,,,
85,Ellenberg Indicator: Salt,7.18,0,,,
86,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
87,Ellenberg Indicator: Salt,7.18,1,,Data calculated for Europe,
88,Life Form: normal state,7.19,Hemicryptophyte,,,
89,Clonality: normal state,7.21,Rhizome far creeping,,,
90,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
91,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
92,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
