,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Shade,1.1,none,,-,
2,Altitude: 1. maximum recorded (m),1.12,610,-,-,
3,Altitude: 2. minimum recorded (m),1.13,550,-,-,
4,Status,2.01,native,-,-,
5,Range: 3. continents where native,2.11,Asia,-,-,
6,Range: 3. continents where native,2.11,Europe,-,-,
7,number of European countries in which native,2.17,14,-,-,
8,Stems: 1. woodiness,3.01,woody,-,-,
9,Stems: 2. support,3.02,self-supporting,-,-,
10,Height: 3. typical maximum (cm),3.05,12,-,-,
11,Height: 4. typical minimum (cm),3.06,2.5,-,-,
12,Spread,3.07,height < width,-,-,
13,Heterophylly,3.08,none,-,-,
14,Leaf shape: 1. type,3.09,simple,-,-,
15,Leaf shape: 2. outline,3.1,entire,-,-,
16,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
17,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
18,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
19,Leaf shape: 6. petiole,3.14,sessile,-,-,
20,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
21,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
22,Leaf area (cm2),3.17,<0.1,-,-,
23,Stomata: 1. surfaces present,3.19,both,,,
24,Stomata: 2. density on lower surface(no/mm2),3.2,110,,,
25,Stomata: 3. density on upper surface (no/mm2),3.21,170,,,
26,Photosynthetic pathway,4.02,C3,-,-,
27,Heavy metal resistance,4.05,none,-,-,
28,Carnivory,4.06,does not kill insects,-,-,
29,Nutrition,4.07,autotrophic,-,-,
30,Life-form,5.01,chamaephyte,-,-,
31,Vegetative reproduction/persistence: 1. method,5.05,branching root stock,-,-,
32,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
33,Flowering time: 1. earliest month,5.07,6,-,-,
34,Flowering time: 2. latest month,5.08,8,-,-,
35,Chromosome number(s): 1. number,5.25,30,,-,
36,Dispersule size - length of longest axis (mm),5.3,1.2,seed,-,
37,Seed size - length of longest axis (mm),5.31,1.2,seed,-,
38,Seed weight: 3. mean (mg),5.34,0.27,,,
39,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
40,Maximum seedbank density (m2),5.54,47,-,-,
41,Minimum seedbank density (m2),5.55,47,-,-,
42,Mean seedbank density (m2),5.56,47,-,-,
43,Flower colour,5.58,white,,,
44,Petal no,5.59,5,,,
45,Petal (sepal) size (cm),5.6,0.35,0.25-0.45,,
46,Stigma number,5.61,3,,,
47,Stamen number,5.62,10,,,
48,Sepal number,5.63,5,,,
49,Carpel/Style number,5.64,3,5,fused,
50,Inflorescence type,5.65,dichasia,,,
51,Physical defences on stems,6.03,glandular hairs,-,-,
52,Rarity Status,7.02,o,,,
53,Biome,7.04,Arctic Montane,,,
54,Eastern Limit,7.05,European,,,
55,Continentality,7.06,Not continental,,,
56,Northern Limit in Britain,7.07,Yes,,,
57,"Northern European Limit (Lat,5C band)",7.08,50-55,,,
58,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
59,Southern European Limit,7.1,No,,,
60,January mean temperature,7.11,4.8,,,
61,July mean temperature,7.12,14,,,
62,Annual precipitation,7.13,1414,,,
63,Ellenberg Indicator: Light,7.14,8,,,
64,Ellenberg : Moisture,7.15,4,,,
65,Ellenberg: pH,7.16,3,,,
66,Ellenberg Indicator: Nitrogen,7.17,1,,,
67,Ellenberg Indicator: Salt,7.18,0,,,
68,Life Form: normal state,7.19,Chamaephyte,,,
69,Clonality: normal state,7.21,Little or no vegetative spread,,,
