,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Shade,1.1,none,-,-,
2,Exposure,1.11,exposed,-,-,
3,Altitude: 1. maximum recorded (m),1.12,1060,-,-,
4,Altitude: 1. maximum recorded (m),1.12,1097,-,-,
5,Altitude: 2. minimum recorded (m),1.13,0,-,-,
6,Altitude: 2. minimum recorded (m),1.13,335,-,-,
7,Status,2.01,native,-,-,
8,First historical record: 1. date,2.04,1777,-,-,
9,First historical record: 2. site,2.05,"Rhum, Scotland",-,-,
10,Range: 3. continents where native,2.11,Europe,-,-,
11,SN Index,2.13,8.7,-,-,
12,EW Index,2.14,4.83,-,-,
13,British distribution (post 1949 records),2.15,27,-,-,
14,number of European countries in which native,2.17,11,-,-,
15,Stems: 1. woodiness,3.01,non-woody,-,-,
16,Stems: 2. support,3.02,procumbent,-,-,
17,Height: 3. typical maximum (cm),3.05,8,-,-,
18,Height: 4. typical minimum (cm),3.06,4,-,-,
19,Spread,3.07,height < width,-,-,
20,Heterophylly,3.08,none,-,-,
21,Leaf shape: 1. type,3.09,simple,-,-,
22,Leaf shape: 2. outline,3.1,entire,-,-,
23,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
24,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
25,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
26,Leaf shape: 6. petiole,3.14,sessile,-,-,
27,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
28,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
29,Leaf area (cm2),3.17,0.1-1,-,-,
30,Photosynthetic pathway,4.02,C3,-,-,
31,Heavy metal resistance,4.05,none,-,-,
32,Carnivory,4.06,does not kill insects,-,-,
33,Nutrition,4.07,autotrophic,-,-,
34,Life-form,5.01,chamaephyte,-,-,
35,Vegetative reproduction/persistence: 1. method,5.05,branching root stock,-,-,
36,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
37,Flowering time: 1. earliest month,5.07,6,-,-,
38,Flowering time: 2. latest month,5.08,8,-,-,
39,Pollen vector,5.15,insect,-,-,
40,Dicliny,5.16,gynodioecious,,-,
41,Dicliny,5.16,gynomonoecious,,-,
42,Dicliny,5.16,hermaphrodite,-,-,
43,Dichogamy,5.17,homogamous,-,-,
44,Dichogamy,5.17,protandrous,-,-,
45,Dichogamy,5.17,weakly protandrous,-,-,
46,Chromosome number(s): 1. number,5.25,26,,-,
47,Dispersule size - length of longest axis (mm),5.3,0.5,seed,-,
48,Seed size - length of longest axis (mm),5.31,0.5,seed,-,
49,Seed weight: 3. mean (mg),5.34,0.258,,,
50,Flower colour,5.58,white,,,
51,Petal no,5.59,0,,,
52,Petal (sepal) size (cm),5.6,0,,,
53,Stigma number,5.61,3,,,
54,Stamen number,5.62,10,,,
55,Sepal number,5.63,5,,,
56,Carpel/Style number,5.64,3,5,fused,
57,Inflorescence type,5.65,solitary,,terminal,
58,Physical defences on leaves,6.02,glabrous,-,-,
59,Physical defences on leaves,6.02,soft hairs,leaf margins,-,
60,Rarity Status,7.02,Scarce,,,
61,Change Index,7.03,-0.75,,,
62,Biome,7.04,Arctic Montane,,,
63,Eastern Limit,7.05,European,,,
64,Continentality,7.06,Not continental,,,
65,Northern Limit in Britain,7.07,Yes,,,
66,"Northern European Limit (Lat,5C band)",7.08,55-60,,,
67,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
68,Southern European Limit,7.1,No,,,
69,January mean temperature,7.11,1.2,,,
70,July mean temperature,7.12,11,,,
71,Annual precipitation,7.13,2095,,,
72,Ellenberg Indicator: Light,7.14,8,,,
73,Ellenberg : Moisture,7.15,5,,,
74,Ellenberg: pH,7.16,4,,,
75,Ellenberg Indicator: Nitrogen,7.17,2,,,
76,Ellenberg Indicator: Salt,7.18,0,,,
77,Life Form: normal state,7.19,Chamaephyte,,,
78,Clonality: normal state,7.21,Little or no vegetative spread,,,
