,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,855,-,-,
4,Altitude: 1. maximum recorded (m),1.12,876,-,-,
5,Altitude: 2. minimum recorded (m),1.13,0,-,-,
6,Status,2.01,native,-,-,
7,Typical abundance where naturally occurring,2.02,frequent,-,-,
8,Dynamics,2.03,declining,in S Scotland and Derbyshire,-,
9,Dynamics,2.03,declining,-,-,
10,First historical record: 1. date,2.04,1677,-,-,
11,First historical record: 2. site,2.05,Yorkshire,-,-,
12,Range: 3. continents where native,2.11,Europe,-,-,
13,Range: 3. continents where native,2.11,North America,-,-,
14,SN Index,2.13,4.02,-,-,
15,EW Index,2.14,4.04,-,-,
16,British distribution (post 1949 records),2.15,92,-,-,
17,number of European countries in which native,2.17,23,-,-,
18,Stems: 1. woodiness,3.01,non-woody,-,-,
19,Stems: 2. support,3.02,self-supporting,-,-,
20,Height: 3. typical maximum (cm),3.05,15,-,-,
21,Height: 4. typical minimum (cm),3.06,5,-,-,
22,Spread,3.07,height = width,-,-,
23,Heterophylly,3.08,none,-,-,
24,Leaf shape: 1. type,3.09,simple,-,-,
25,Leaf shape: 2. outline,3.1,entire,-,-,
26,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
27,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
28,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
29,Leaf shape: 6. petiole,3.14,sessile,-,-,
30,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
31,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
32,Leaf area (cm2),3.17,<0.1,-,-,
33,Leaf longevity: 1. type,3.22,evergreen,-,-,
34,Root system,3.24,tap root,-,-,
35,Photosynthetic pathway,4.02,C3,-,-,
36,Heavy metal resistance,4.05,local metallophyte,"Pb, Zn, Cd, Cu and serpentine",-,
37,Carnivory,4.06,does not kill insects,-,-,
38,Nutrition,4.07,autotrophic,-,-,
39,Life-form,5.01,chamaephyte,-,-,
40,Mono/poly-carpic,5.04,polycarpic,-,-,
41,Vegetative reproduction/persistence: 1. method,5.05,branching root stock,-,-,
42,Vegetative reproduction/persistence: 1. method,5.05,rooting stems,-,-,
43,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
44,Flowering time: 1. earliest month,5.07,5,-,-,
45,Flowering time: 2. latest month,5.08,9,-,-,
46,Pollen vector,5.15,insect,-,-,
47,Dicliny,5.16,gynodioecious,,-,
48,Dicliny,5.16,gynomonoecious,,-,
49,Dicliny,5.16,hermaphrodite,-,-,
50,Dichogamy,5.17,markedly protandrous,-,-,
51,Dichogamy,5.17,protandrous,-,-,
52,Fertilization,5.19,cross and self,-,-,
53,Fertilization,5.19,cross or automatic self,-,-,
54,Incompatibility systems,5.22,none,-,-,
55,Chromosome number(s): 1. number,5.25,28,-,-,
56,Chromosome number(s): 1. number,5.25,48,,-,
57,2C DNA content (pg),5.26,1.16,,,
58,2C DNA content (pg),5.26,2.8,-,-,
59,Time of seed dispersal (season),5.28,autumn,-October,-,
60,Time of seed dispersal (season),5.28,summer,-,-,
61,Dispersule size - length of longest axis (mm),5.3,1.0,seed,-,
62,Seed size - length of longest axis (mm),5.31,1.0,seed,-,
63,Seed weight: 3. mean (mg),5.34,0.08,-,-,
64,Seed weight: 3. mean (mg),5.34,0.12,,,
65,Seed production: 1. maximum (/flower),5.35,25,-,-,
66,Seed production: 2. typical range (/flower),5.36,10-100,-,-,
67,Dispersal agent,5.38,wind,-,-,
68,Time of germination (season),5.39,autumn,-,-,
69,After-ripening requirement,5.4,none,-,-,
70,Maximum temperature at which 50% seeds germinate,5.42,27,-,-,
71,Minimum temperature at which 50% seeds germinate,5.44,10,-,-,
72,Germination type,5.48,epigeal,-,-,
73,Normal method of propagation,5.52,seed and vegetative,-,-,
74,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
75,Maximum seedbank density (m2),5.54,2700,-,-,
76,Minimum seedbank density (m2),5.55,92,-,-,
77,Mean seedbank density (m2),5.56,949,-,-,
78,Flower colour,5.58,white,,,
79,Petal no,5.59,5,,,
80,Petal (sepal) size (cm),5.6,0.5,0.4-0.6,,
81,Stigma number,5.61,3,,,
82,Stamen number,5.62,10,,,
83,Sepal number,5.63,5,,,
84,Carpel/Style number,5.64,3,5,fused,
85,Inflorescence type,5.65,cyme,,few fld,
86,Physical defences on stems,6.03,glabrous,-,-,
87,Physical defences on stems,6.03,glandular hairs,-,-,
88,Rarity Status,7.02,Scarce,,,
89,Change Index,7.03,-0.42,,,
90,Biome,7.04,Boreal montane,,,
91,Eastern Limit,7.05,Eurasian,,,
92,Continentality,7.06,Not continental,,,
93,Northern Limit in Britain,7.07,No,,,
94,"Northern European Limit (Lat,5C band)",7.08,>65,,,
95,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
96,Southern European Limit,7.1,No,,,
97,January mean temperature,7.11,2.7,,,
98,July mean temperature,7.12,14,,,
99,Annual precipitation,7.13,1215,,,
100,Ellenberg Indicator: Light,7.14,8,,,
101,Ellenberg : Moisture,7.15,4,,,
102,Ellenberg: pH,7.16,7,,,
103,Ellenberg Indicator: Nitrogen,7.17,1,,,
104,Ellenberg Indicator: Salt,7.18,0,,,
105,Life Form: normal state,7.19,Chamaephyte,,,
106,Clonality: normal state,7.21,Little or no vegetative spread,,,
