,Name,Number,Value,Modifier,Notes,Subspecies
0,Shade,1.1,none,-,-,
1,Altitude: 1. maximum recorded (m),1.12,305,-,-,
2,Status,2.01,native,-,-,
3,Typical abundance where naturally occurring,2.02,scattered,-,-,
4,Range: 3. continents where native,2.11,Africa,-,-,
5,Range: 3. continents where native,2.11,Asia,-,-,
6,Range: 3. continents where native,2.11,Europe,-,-,
7,SN Index,2.13,4.4,-,-,
8,EW Index,2.14,3.8,-,-,
9,number of European countries in which native,2.17,13,-,-,
10,Stems: 1. woodiness,3.01,non-woody,-,-,
11,Stems: 2. support,3.02,self-supporting,-,-,
12,Height: 3. typical maximum (cm),3.05,30,-,-,
13,Height: 4. typical minimum (cm),3.06,10,-,-,
14,Spread,3.07,height > width,-,-,
15,Heterophylly,3.08,none,-,-,
16,Leaf shape: 1. type,3.09,simple,-,-,
17,Leaf shape: 2. outline,3.1,entire,-,-,
18,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
19,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
20,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
21,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
22,Leaf shape: 6. petiole,3.14,sheathing,-,-,
23,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
24,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
25,Photosynthetic pathway,4.02,C3,-,-,
26,Heavy metal resistance,4.05,none,-,-,
27,Carnivory,4.06,does not kill insects,-,-,
28,Nutrition,4.07,autotrophic,-,-,
29,Life-form,5.01,geophyte,-,-,
30,Longevity of stems (yrs),5.02,<1,-,-,
31,Vegetative reproduction/persistence: 1. method,5.05,tubers,-,-,
32,Flowering time: 1. earliest month,5.07,4,-,-,
33,Flowering time: 2. latest month,5.08,6,-,-,
34,Flowering time: 3. peak month,5.09,5,-,-,
35,Pollen vector,5.15,insect,-,-,
36,Dicliny,5.16,hermaphrodite,-,-,
37,Fertilization,5.19,cross and self,-,-,
38,Incompatibility systems,5.22,none,-,-,
39,Chromosome number(s): 1. number,5.25,40,,-,
40,Time of seed dispersal (season),5.28,summer,-,-,
41,Flower colour,5.58,white,"pink, purple",,
42,Petal no,5.59,6,,tepals,
43,Petal (sepal) size (cm),5.6,0.6,0.4-0.8,,
44,Stigma number,5.61,3,,,
45,Stamen number,5.62,1,,,
46,Sepal number,5.63,0,,tepals,
47,Carpel/Style number,5.64,0,,,
48,Inflorescence type,5.65,spicate raceme,,terminal,
49,Response to vertebrate grazing,6.01,neutral,-,-,
50,Physical defences on stems,6.03,glabrous,-,-,
51,Conservation Status,7.01,Extinct,,,
52,Rarity Status,7.02,Apparently Extinct,,,
53,Biome,7.04,Mediterranean-Atlantic,,,
54,Eastern Limit,7.05,Oceanic,,,
55,Continentality,7.06,Not continental,,,
56,Northern Limit in Britain,7.07,Yes,,,
57,"Northern European Limit (Lat,5C band)",7.08,50-55,,,
58,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
59,Southern European Limit,7.1,No,,,
60,January mean temperature,7.11,4.7,,,
61,July mean temperature,7.12,15,,,
62,Annual precipitation,7.13,1107,,,
63,Ellenberg Indicator: Light,7.14,8,,,
64,Ellenberg : Moisture,7.15,4,,,
65,Ellenberg: pH,7.16,8,,,
66,Ellenberg Indicator: Nitrogen,7.17,2,,,
67,Ellenberg Indicator: Salt,7.18,0,,,
68,Life Form: normal state,7.19,Non-bulbous geophyte,,,
69,Clonality: normal state,7.21,Little or no vegetative spread,,,
