,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,1307,-,-,
4,Altitude: 2. minimum recorded (m),1.13,457,-,-,
5,Status,2.01,native,-,-,
6,Typical abundance where naturally occurring,2.02,scattered,-,-,
7,First historical record: 1. date,2.04,1777,-,-,
8,First historical record: 2. site,2.05,Scottish Highlands,-,-,
9,Range: 3. continents where native,2.11,Asia,-,-,
10,Range: 3. continents where native,2.11,Europe,-,-,
11,Range: 3. continents where native,2.11,North America,-,-,
12,SN Index,2.13,8.25,-,-,
13,EW Index,2.14,4.26,-,-,
14,number of European countries in which native,2.17,22,-,-,
15,Stems: 1. woodiness,3.01,non-woody,-,-,
16,Stems: 2. support,3.02,self-supporting,-,-,
17,Height: 1. extreme maximum (cm),3.03,20,-,-,
18,Height: 3. typical maximum (cm),3.05,12,-,-,
19,Height: 4. typical minimum (cm),3.06,2,-,-,
20,Spread,3.07,height < width,-,-,
21,Heterophylly,3.08,none,-,-,
22,Leaf shape: 1. type,3.09,simple,-,-,
23,Leaf shape: 2. outline,3.1,entire,-,-,
24,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
25,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
26,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
27,Leaf shape: 6. petiole,3.14,sessile,-,-,
28,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
29,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
30,Leaf area (cm2),3.17,0.1-1,,-,
31,Photosynthetic pathway,4.02,C3,-,-,
32,Heavy metal resistance,4.05,none,-,-,
33,Carnivory,4.06,does not kill insects,-,-,
34,Nutrition,4.07,autotrophic,-,-,
35,Life-form,5.01,chamaephyte,-,-,
36,Vegetative reproduction/persistence: 1. method,5.05,creeping stock,-,-,
37,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
38,Flowering time: 1. earliest month,5.07,7,-,-,
39,Flowering time: 2. latest month,5.08,7,-,-,
40,Pollen: 2. diameter (um),5.13,26,,-,
41,Pollen vector,5.15,insect,-,-,
42,Dicliny,5.16,gynomonoecious,-,-,
43,Chromosome number(s): 1. number,5.25,28,,-,
44,Appendages on dispersal unit,5.27,pappus,3-3.5mm long,-,
45,Seed size - length of longest axis (mm),5.31,1.5,achene without pappus,-,
46,Seed weight: 3. mean (mg),5.34,0.0928,,,
47,Dispersal agent,5.38,eaten by mammals,,-,
48,Dispersal agent,5.38,wind,,-,
49,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
50,Maximum seedbank density (m2),5.54,15,-,-,
51,Minimum seedbank density (m2),5.55,15,-,-,
52,Mean seedbank density (m2),5.56,15,-,-,
53,Flower colour,5.58,white,"yellow, brown",,
54,Petal no,5.59,5,many,flowers mistaken for petals,
55,Petal (sepal) size (cm),5.6,,,tubular,
56,Stigma number,5.61,2,,,
57,Stamen number,5.62,5,,fused into a tube,
58,Sepal number,5.63,0,many,sepaloid phyllaries,
59,Carpel/Style number,5.64,1,,,
60,Inflorescence type,5.65,capitulum,,,
61,Physical defences on leaves,6.02,soft hairs,-,-,
62,Physical defences on stems,6.03,soft hairs,-,-,
63,Rarity Status,7.02,Present,,,
64,Change Index,7.03,-0.68,,,
65,Biome,7.04,Arctic Montane,,,
66,Eastern Limit,7.05,European,,,
67,Continentality,7.06,Not continental,,,
68,Northern Limit in Britain,7.07,No,,,
69,"Northern European Limit (Lat,5C band)",7.08,>65,,,
70,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
71,Southern European Limit,7.1,No,,,
72,January mean temperature,7.11,0.70,,,
73,July mean temperature,7.12,11.5,,,
74,Annual precipitation,7.13,2077,,,
75,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
76,Ellenberg Indicator: Light,7.14,8,,,
77,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
78,Ellenberg : Moisture,7.15,7,,,
79,Ellenberg : Moisture,7.15,7,,Data calculated for the Czech Republic,
80,Ellenberg : Moisture,7.15,7~,,Data calculated for Europe,
81,Ellenberg: pH,7.16,3,,,
82,Ellenberg: pH,7.16,3,,Data calculated for the Czech Republic,
83,Ellenberg: pH,7.16,3,,Data calculated for Europe,
84,Ellenberg Indicator: Nitrogen,7.17,3,,,
85,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for the Czech Republic,
86,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for Europe,
87,Ellenberg Indicator: Salt,7.18,0,,,
88,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
89,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
90,Life Form: normal state,7.19,Chamaephyte,,,
91,Clonality: normal state,7.21,Little or no vegetative spread,,,
92,Ellenberg: Temperature,7.23,2,,Data calculated for the Czech Republic,
93,Ellenberg: Temperature,7.23,2,,Data calculated for Europe,
94,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
