,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Shade,1.1,light,-,-,
3,Shade,1.1,none,-,-,
4,Status,2.01,native,-,-,
5,Typical abundance where naturally occurring,2.02,scattered,-,-,
6,Dynamics,2.03,declining,-,-,
7,First historical record: 1. date,2.04,1650,-,-,
8,First historical record: 2. site,2.05,"Walcot, Northants.",-,-,
9,Range: 3. continents where native,2.11,Africa,-,-,
10,Range: 3. continents where native,2.11,Europe,-,-,
11,SN Index,2.13,.75,-,-,
12,EW Index,2.14,3.24,-,-,
13,number of European countries in which native,2.17,23,-,-,
14,Stems: 1. woodiness,3.01,non-woody,-,-,
15,Stems: 2. support,3.02,self-supporting,-,-,
16,Height: 3. typical maximum (cm),3.05,35,-,-,
17,Height: 4. typical minimum (cm),3.06,10,-,-,
18,Spread,3.07,height > width,-,-,
19,Heterophylly,3.08,none,-,-,
20,Leaf shape: 1. type,3.09,simple,-,-,
21,Leaf shape: 2. outline,3.1,entire,-,-,
22,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
23,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
24,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
25,Leaf shape: 6. petiole,3.14,sheathing,-,-,
26,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
27,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
28,Leaf area (cm2),3.17,1-10,-,-,
29,Photosynthetic pathway,4.02,C3,-,-,
30,Heavy metal resistance,4.05,none,-,-,
31,Carnivory,4.06,does not kill insects,-,-,
32,Nutrition,4.07,autotrophic,-,-,
33,Life-form,5.01,geophyte,-,-,
34,Longevity of stems (yrs),5.02,<1,-,-,
35,Vegetative reproduction/persistence: 1. method,5.05,tubers,-,-,
36,Flowering time: 1. earliest month,5.07,4,-,-,
37,Flowering time: 2. latest month,5.08,6,-,-,
38,Flowering time: 3. peak month,5.09,5,-,-,
39,Pollen vector,5.15,insect,-,-,
40,Dicliny,5.16,hermaphrodite,-,-,
41,Chromosome number(s): 1. number,5.25,36,,-,
42,Flower colour,5.58,purple-brown,"yellow, blue, yellow-green",,
43,Petal no,5.59,6,,tepals,
44,Petal (sepal) size (cm),5.6,1.1,,outer tepals,
45,Stigma number,5.61,3,,,
46,Stamen number,5.62,1,,,
47,Sepal number,5.63,0,,tepals,
48,Carpel/Style number,5.64,0,,,
49,Inflorescence type,5.65,spicate raceme,,terminal,
50,Physical defences on stems,6.03,glabrous,-,-,
51,Rarity Status,7.02,Scarce,,,
52,Change Index,7.03,-0.11,,,
53,Biome,7.04,Mediterranean-Atlantic,,,
54,Eastern Limit,7.05,Suboceanic,,,
55,Continentality,7.06,Not continental,,,
56,Northern Limit in Britain,7.07,Yes,,,
57,"Northern European Limit (Lat,5C band)",7.08,50-55,,,
58,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
59,Southern European Limit,7.1,No,,,
60,January mean temperature,7.11,4,,,
61,July mean temperature,7.12,16,,,
62,Annual precipitation,7.13,729,,,
63,Ellenberg Indicator: Light,7.14,8,,,
64,Ellenberg : Moisture,7.15,4,,,
65,Ellenberg: pH,7.16,9,,,
66,Ellenberg Indicator: Nitrogen,7.17,3,,,
67,Ellenberg Indicator: Salt,7.18,0,,,
68,Life Form: normal state,7.19,Non-bulbous geophyte,,,
69,Clonality: normal state,7.21,Little or no vegetative spread,,,
