,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Soil nutrients,1.01,very fertile,-,-,
3,Soil pH: 3. typical maximum,1.08,7.5,-,-,
4,Soil pH: 4. typical minimum,1.09,5.6,-,-,
5,Shade,1.1,deep,-,-,
6,Shade,1.1,light,-,-,
7,Shade,1.1,mid,-,-,
8,Altitude: 1. maximum recorded (m),1.12,883,-,-,
9,Altitude: 2. minimum recorded (m),1.13,0,-,-,
10,Altitude: 4. typical minimum (m),1.14,0,-,-,
11,Status,2.01,native,-,-,
12,Typical abundance where naturally occurring,2.02,frequent,-,-,
13,Dynamics,2.03,declining,-,-,
14,First historical record: 1. date,2.04,1562,-,-,
15,First historical record: 2. site,2.05,Northumberland,-,-,
16,Range: 3. continents where native,2.11,Africa,-,-,
17,Range: 3. continents where native,2.11,Asia,-,-,
18,Range: 3. continents where native,2.11,Europe,-,-,
19,SN Index,2.13,3.27,-,-,
20,EW Index,2.14,4.64,-,-,
21,number of European countries in which native,2.17,30,-,-,
22,Medicinal Use,2.18,aphrodisiac,,,
23,Medicinal Use,2.18,wounds,,,
24,Stems: 1. woodiness,3.01,non-woody,-,-,
25,Stems: 2. support,3.02,self-supporting,-,-,
26,Height: 3. typical maximum (cm),3.05,60,-,-,
27,Height: 4. typical minimum (cm),3.06,15,-,-,
28,Spread,3.07,height > width,-,-,
29,Heterophylly,3.08,none,-,-,
30,Leaf shape: 1. type,3.09,simple,-,-,
31,Leaf shape: 2. outline,3.1,entire,-,-,
32,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
33,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
34,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
35,Leaf shape: 6. petiole,3.14,sheathing,-,-,
36,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
37,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
38,Leaf area (cm2),3.17,1-10,-,-,
39,Leaf area (cm2),3.17,10-100,-,-,
40,Stomata: 1. surfaces present,3.19,lower,-,-,
41,Stomata: 2. density on lower surface(no/mm2),3.2,45,range 33-67,-,
42,Stomata: 3. density on upper surface (no/mm2),3.21,0,-,-,
43,Leaf longevity: 1. type,3.22,vernal,-,-,
44,Photosynthetic pathway,4.02,C3,-,-,
45,Heavy metal resistance,4.05,none,-,-,
46,Carnivory,4.06,does not kill insects,-,-,
47,Nutrition,4.07,autotrophic,-,-,
48,Life-form,5.01,geophyte,-,-,
49,Longevity of stems (yrs),5.02,<1,-,-,
50,Age at first flowering,5.03,5-20 yrs,-,-,
51,Mono/poly-carpic,5.04,polycarpic,,-,
52,Vegetative reproduction/persistence: 1. method,5.05,tubers,-,-,
53,Flowering time: 1. earliest month,5.07,4,-,-,
54,Flowering time: 2. latest month,5.08,6,-,-,
55,Pollen vector,5.15,insect,-,-,
56,Dicliny,5.16,hermaphrodite,-,-,
57,Chromosome number(s): 1. number,5.25,42,,-,
58,Annual seed dispersal,5.29,irregular,,-,
59,Seed weight: 3. mean (mg),5.34,0.0008965,,,
60,Dispersal agent,5.38,wind,-,-,
61,Normal method of propagation,5.52,seed,-,-,
62,Flower colour,5.58,crimson-purple,,,
63,Petal no,5.59,6,,tepals,
64,Petal (sepal) size (cm),5.6,1,0.8-1.2,labellum,
65,Stigma number,5.61,3,,,
66,Stamen number,5.62,1,,,
67,Sepal number,5.63,0,,tepals,
68,Carpel/Style number,5.64,0,,,
69,Inflorescence type,5.65,spicate raceme,,terminal,
70,Rarity Status,7.02,Present,,,
71,Change Index,7.03,-0.72,,,
72,Biome,7.04,Temperate,,,
73,Eastern Limit,7.05,European,,,
74,Continentality,7.06,Not continental,,,
75,Northern Limit in Britain,7.07,No,,,
76,"Northern European Limit (Lat,5C band)",7.08,>65,,,
77,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
78,Southern European Limit,7.1,No,,,
79,January mean temperature,7.11,3.5,,,
80,July mean temperature,7.12,15,,,
81,Annual precipitation,7.13,1073,,,
82,Ellenberg Indicator: Light,7.14,6,,,
83,Ellenberg Indicator: Light,7.14,6,,Data calculated for the Czech Republic,
84,Ellenberg Indicator: Light,7.14,6,,Data calculated for Europe,
85,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
86,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
87,Ellenberg : Moisture,7.15,5,,,
88,Ellenberg: pH,7.16,7,,,
89,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
90,Ellenberg: pH,7.16,8,,Data calculated for Europe,
91,Ellenberg Indicator: Nitrogen,7.17,3x,,Data calculated for the Czech Republic,
92,Ellenberg Indicator: Nitrogen,7.17,4,,,
93,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
94,Ellenberg Indicator: Salt,7.18,0,,,
95,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
96,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
97,Life Form: normal state,7.19,Non-bulbous geophyte,,,
98,Clonality: normal state,7.21,Little or no vegetative spread,,,
99,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
100,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
101,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
