,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Soil moisture: 1. water table,1.02,periodically high,-,-,
3,Soil moisture: 2. drainage,1.03,free-draining,chalk habitats,-,
4,Soil moisture: 2. drainage,1.03,slow-draining,heavy clay habitats,-,
5,Soil moisture: 3. supply,1.04,intermittent,-,-,
6,Soil pH: 1. extreme maximum,1.06,7.8,-,-,
7,Soil pH: 2. extreme minimum,1.07,6.2,-,-,
8,Soil pH: 3. typical maximum,1.08,7.0,-,-,
9,Soil pH: 4. typical minimum,1.09,6.6,-,-,
10,Shade,1.1,light,-,-,
11,Shade,1.1,none,-,-,
12,Exposure,1.11,indifferent,-,-,
13,Altitude: 1. maximum recorded (m),1.12,304,-,-,
14,Altitude: 2. minimum recorded (m),1.13,0,-,-,
15,Altitude: 4. typical minimum (m),1.14,0,-,-,
16,Status,2.01,native,-,-,
17,Typical abundance where naturally occurring,2.02,scattered,-,-,
18,Dynamics,2.03,declining,-,-,
19,Dynamics,2.03,declining,-,-,
20,First historical record: 1. date,2.04,1634,-,-,
21,Range: 3. continents where native,2.11,Asia,-,-,
22,Range: 3. continents where native,2.11,Europe,-,-,
23,SN Index,2.13,1.63,-,-,
24,EW Index,2.14,4.33,-,-,
25,British distribution (post 1949 records),2.15,455,-,-,
26,number of European countries in which native,2.17,28,-,-,
27,Stems: 1. woodiness,3.01,non-woody,-,-,
28,Stems: 2. support,3.02,self-supporting,-,-,
29,Height: 3. typical maximum (cm),3.05,40,-,-,
30,Height: 4. typical minimum (cm),3.06,10,-,-,
31,Spread,3.07,height > width,-,-,
32,Heterophylly,3.08,none,-,-,
33,Leaf shape: 1. type,3.09,simple,-,-,
34,Leaf shape: 2. outline,3.1,entire,-,-,
35,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
36,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
37,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
38,Leaf shape: 6. petiole,3.14,sheathing,-,-,
39,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
40,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
41,Leaf area (cm2),3.17,1-10,-,-,
42,Leaf lamina thickness: 1. range,3.18,0.2-0.5,-,-,
43,Leaf longevity: 1. type,3.22,hibernal,-,-,
