,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil moisture: 1. water table,1.02,permanently high,-,-,
2,Soil moisture: 2. drainage,1.03,free-draining,-,-,
3,Soil moisture: 3. supply,1.04,continuous,-,-,
4,Salinity,1.05,fresh,-,-,
5,Shade,1.1,light,-,-,
6,Altitude: 1. maximum recorded (m),1.12,365,-,-,
7,Status,2.01,native,-,-,
8,Typical abundance where naturally occurring,2.02,scattered,-,-,
9,Dynamics,2.03,declining,-,-,
10,Stems: 1. woodiness,3.01,woody at base,-,-,
11,Stems: 2. support,3.02,self-supporting,-,-,
12,Height: 1. extreme maximum (cm),3.03,300,-,-,
13,Height: 2. extreme minimum (cm),3.04,30,-,-,
14,Height: 3. typical maximum (cm),3.05,150,-,-,
15,Height: 4. typical minimum (cm),3.06,60,-,-,
16,Spread,3.07,height = width,-,-,
17,Heterophylly,3.08,developmental,-,-,
18,Leaf shape: 1. type,3.09,compound,-,-,
19,Leaf shape: 2. outline,3.1,crenate,-,-,
20,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
21,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
22,Leaf shape: 5. leaf base,3.13,truncate,-,-,
23,Leaf shape: 6. petiole,3.14,petiolate,-,-,
24,Leaf longevity: 1. type,3.22,aestival,-,-,
25,Leaf longevity: 2. number of months,3.23,6-12,-,-,
26,Root system,3.24,adventitious,-,-,
27,Carnivory,4.06,does not kill insects,-,-,
28,Nutrition,4.07,autotrophic,-,-,
29,Life-form,5.01,hemicryptophyte,-,-,
30,Longevity of stems (yrs),5.02,10-100,-,-,
31,Mono/poly-carpic,5.04,polycarpic,Sporulation,-,
32,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
33,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
34,Flowering time: 1. earliest month,5.07,6,sporulation,-,
35,Flowering time: 2. latest month,5.08,8,sporulation,-,
36,Flowering time: 3. peak month,5.09,7,sporulation,-,
37,Dicliny,5.16,,,,
38,Dichogamy,5.17,,,,
39,Chromosome number(s): 1. number,5.25,44,-,-,
40,2C DNA content (pg),5.26,28.01,2n=44,,
41,Dispersule size - length of longest axis (mm),5.3,0.0695,0.060-0.085,spore,
42,Physical defences on leaves,6.02,glabrous,-,-,
43,Physical defences on stems,6.03,glabrous,-,-,
44,Rarity Status,7.02,Present,,,
45,Change Index,7.03,0.56,,,
46,Biome,7.04,Southern Temperate,,,
47,Eastern Limit,7.05,Suboceanic,,,
48,Continentality,7.06,Not continental,,,
49,Northern Limit in Britain,7.07,No,,,
50,"Northern European Limit (Lat,5C band)",7.08,60-65,,,
51,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
52,Southern European Limit,7.1,No,,,
53,January mean temperature,7.11,4.2,,,
54,July mean temperature,7.12,14.5,,,
55,Annual precipitation,7.13,1225,,,
56,Ellenberg Indicator: Light,7.14,5,,Data calculated for the Czech Republic,
57,Ellenberg Indicator: Light,7.14,5,,Data calculated for Europe,
58,Ellenberg Indicator: Light,7.14,6,,,
59,Ellenberg : Moisture,7.15,8,,Data calculated for the Czech Republic,
60,Ellenberg : Moisture,7.15,8,,Data calculated for Europe,
61,Ellenberg : Moisture,7.15,9,,,
62,Ellenberg: pH,7.16,4,,Data calculated for the Czech Republic,
63,Ellenberg: pH,7.16,4,,Data calculated for Europe,
64,Ellenberg: pH,7.16,5,,,
65,Ellenberg Indicator: Nitrogen,7.17,4,,,
66,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for the Czech Republic,
67,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for Europe,
68,Ellenberg Indicator: Salt,7.18,0,,,
69,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
70,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
71,Life Form: normal state,7.19,Hemicryptophyte,,,
72,Clonality: normal state,7.21,Little or no vegetative spread,,,
73,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
74,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
75,Ellenberg: Continetality,7.24,2,,Data calculated for Europe,
