,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Salinity,1.05,saline,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 2. minimum recorded (m),1.13,0,-,-,
4,Altitude: 4. typical minimum (m),1.14,0,-,-,
5,Status,2.01,native,-,-,
6,Typical abundance where naturally occurring,2.02,scattered,-,-,
7,First historical record: 1. date,2.04,1597,-,-,
8,First historical record: 2. site,2.05,"Colchester, Essex",-,-,
9,Range: 3. continents where native,2.11,Africa,-,-,
10,Range: 3. continents where native,2.11,Asia,-,-,
11,Range: 3. continents where native,2.11,Europe,-,-,
12,SN Index,2.13,1.26,-,-,
13,EW Index,2.14,4.96,-,-,
14,number of European countries in which native,2.17,15,-,-,
15,Stems: 1. woodiness,3.01,non-woody,-,-,
16,Stems: 2. support,3.02,decumbent,-,-,
17,Stems: 2. support,3.02,self-supporting,-,-,
18,Height: 3. typical maximum (cm),3.05,40,-,-,
19,Height: 4. typical minimum (cm),3.06,15,-,-,
20,Spread,3.07,height < width,-,-,
21,Heterophylly,3.08,none,-,-,
22,Leaf shape: 1. type,3.09,simple,-,-,
23,Leaf shape: 2. outline,3.1,entire,-,-,
24,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
25,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
26,Leaf shape: 5. leaf base,3.13,rounded,-,-,
27,Leaf shape: 6. petiole,3.14,sessile,-,-,
28,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
29,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
30,Root system,3.24,adventitious,-,-,
31,Root depth: 2. depth (cm),3.26,>100,-,-,
32,Photosynthetic pathway,4.02,C3,-,-,
33,Heavy metal resistance,4.05,none,-,-,
34,Carnivory,4.06,does not kill insects,-,-,
35,Nutrition,4.07,autotrophic,-,-,
36,Life-form,5.01,hemicryptophyte,-,-,
37,Longevity of stems (yrs),5.02,<1,-,-,
38,Vegetative reproduction/persistence: 1. method,5.05,branching root stock,-,-,
39,Dicliny,5.16,hermaphrodite,-,-,
40,Chromosome number(s): 1. number,5.25,18,,-,
41,Seed weight: 3. mean (mg),5.34,0.8,achene,-,
42,Dispersal agent,5.38,water,-,-,
43,Dispersal agent,5.38,wind,-,-,
44,Time of germination (season),5.39,autumn,-,-,
45,Time of germination (season),5.39,spring,-,-,
46,Petal no,5.59,5,many,flowers mistaken for petals,
47,Stigma number,5.61,2,,,
48,Stamen number,5.62,5,,fused into a tube,
49,Sepal number,5.63,0,many,sepaloid phyllaries,
50,Carpel/Style number,5.64,1,,,
51,Inflorescence type,5.65,capitulum,,,
52,Physical defences on leaves,6.02,soft hairs,-,-,
53,Physical defences on stems,6.03,soft hairs,-,-,
54,Conservation Status,7.01,Extinct,,,
55,Rarity Status,7.02,Apparently Extinct,,,
56,Change Index,7.03,-1.49,,,
57,Biome,7.04,Mediterranean-Atlantic,,,
58,Eastern Limit,7.05,Oceanic,,,
59,Continentality,7.06,Not continental,,,
60,Northern Limit in Britain,7.07,Yes,,,
61,"Northern European Limit (Lat,5C band)",7.08,50-55,,,
62,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
63,Southern European Limit,7.1,No,,,
64,January mean temperature,7.11,5.1,,,
65,July mean temperature,7.12,16,,,
66,Annual precipitation,7.13,874,,,
67,Ellenberg Indicator: Light,7.14,9,,,
68,Ellenberg : Moisture,7.15,2,,,
69,Ellenberg: pH,7.16,5,,,
70,Ellenberg Indicator: Nitrogen,7.17,2,,,
71,Ellenberg Indicator: Salt,7.18,3,,,
72,Life Form: normal state,7.19,Hemicryptophyte,,,
73,Clonality: normal state,7.21,Rhizome far creeping,,,
