,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Shade,1.1,light,-,-,
2,Shade,1.1,none,-,-,
3,Status,2.01,naturalised,-,-,
4,First historical record: 1. date,2.04,1585,-,-,
5,First historical record: 1. date,2.04,1770,-,-,
6,First historical record: 2. site,2.05,Exeter,-,-,
7,Range: 3. continents where native,2.11,Asia,,-,
8,Range: 3. continents where native,2.11,Australasia,,-,
9,Range: 3. continents where native,2.11,Europe,-,-,
10,Range: 4. continents where introduced,2.12,North America,,-,
11,SN Index,2.13,1.91,-,-,
12,EW Index,2.14,5.01,-,-,
13,number of European countries in which native,2.17,18,-,-,
14,Stems: 1. woodiness,3.01,non-woody,-,-,
15,Stems: 2. support,3.02,procumbent,-,-,
16,Height: 3. typical maximum (cm),3.05,15,-,-,
17,Height: 4. typical minimum (cm),3.06,5,-,-,
18,Spread,3.07,height < width,-,-,
19,Heterophylly,3.08,none,-,-,
20,Leaf shape: 1. type,3.09,compound,-,-,
21,Leaf shape: 2. outline,3.1,lobed,-,-,
22,Leaf shape: 3. pointed/round,3.11,emarginate,-,-,
23,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
24,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
25,Leaf shape: 6. petiole,3.14,petiolate,-,-,
26,Leaf shape: 7. minimum petiole length (mm),3.15,10,-,-,
27,Leaf shape: 8. maximum petiole length (mm),3.16,80,-,-,
28,Leaf area (cm2),3.17,1-10,-,-,
29,Root system,3.24,tap root,-,-,
30,Photosynthetic pathway,4.02,C3,-,-,
31,Heavy metal resistance,4.05,none,-,-,
32,Carnivory,4.06,does not kill insects,-,-,
33,Nutrition,4.07,autotrophic,-,-,
34,Life-form,5.01,chamaephyte,-,-,
35,Life-form,5.01,therophyte,-,-,
36,Mono/poly-carpic,5.04,facultatively polycarpic,-,-,
37,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,,-,
38,Vegetative reproduction/persistence: 1. method,5.05,rooting stems,-,-,
39,Vegetative reproduction/persistence: 1. method,5.05,stolons,,-,
40,Vegetative reproduction/persistence: 2. pattern,5.06,diffuse ramets,-,-,
41,Flowering time: 1. earliest month,5.07,6,-,-,
42,Flowering time: 2. latest month,5.08,9,-,-,
43,Pollen vector,5.15,selfed,-,-,
44,Dicliny,5.16,hermaphrodite,-,-,
45,Heteromorphy,5.18,homomorphic,-,-,
46,Fertilization,5.19,normally self,-,-,
47,Cleistogamy,5.2,some cleistogamous flowers,-,-,
48,Incompatibility systems,5.22,none,-,-,
49,Chromosome number(s): 1. number,5.25,24,-,-,
50,2C DNA content (pg),5.26,2.9,,,
51,2C DNA content (pg),5.26,2.90,,,
52,Dispersule size - length of longest axis (mm),5.3,1.2,seed,-,
53,Seed size - length of longest axis (mm),5.31,1.2,seed,-,
54,Seed weight: 3. mean (mg),5.34,0.2,,,
55,Seed weight: 3. mean (mg),5.34,0.22,-,-,
56,Seed weight: 3. mean (mg),5.34,0.54,,,
57,Dispersal agent,5.38,explosive mechanism,-,-,
58,Time of germination (season),5.39,summer,early,-,
59,Normal method of propagation,5.52,seed,-,-,
60,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
61,Seedbank type,5.53,short-term persistent,-,-,
62,Maximum seedbank density (m2),5.54,4140,-,-,
63,Minimum seedbank density (m2),5.55,8,-,-,
64,Mean seedbank density (m2),5.56,1399,-,-,
65,Flower colour,5.58,yellow,,,
66,Petal no,5.59,5,,,
67,Petal (sepal) size (cm),5.6,0.575,0.4-0.75,,
68,Stigma number,5.61,5,3,,
69,Stamen number,5.62,10,,,
70,Sepal number,5.63,5,,,
71,Carpel/Style number,5.64,5,3,,
72,Inflorescence type,5.65,umbel,,"axillary, 1-6 fld",
73,Physical defences on leaves,6.02,soft hairs,lower epidermis and margins,-,
74,Physical defences on stems,6.03,dense hairs,-,-,
75,Change Index,7.03,1.62,,,
76,Biome,7.04,Mediterranean,,,
77,Eastern Limit,7.05,Hyperoceanic,,,
78,Continentality,7.06,Not continental,,,
79,Northern Limit in Britain,7.07,No,,,
80,Southern European Limit,7.1,No Data,,,
81,January mean temperature,7.11,3.9,,,
82,July mean temperature,7.12,16,,,
83,Annual precipitation,7.13,843,,,
84,Ellenberg Indicator: Light,7.14,7,,,
85,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
86,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
87,Ellenberg : Moisture,7.15,4,,,
88,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
89,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
90,Ellenberg: pH,7.16,6,,,
91,Ellenberg: pH,7.16,7x,,Data calculated for the Czech Republic,
92,Ellenberg: pH,7.16,,,Data calculated for Europe,
93,Ellenberg Indicator: Nitrogen,7.17,5,,,
94,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
95,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for Europe,
96,Ellenberg Indicator: Salt,7.18,0,,,
97,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
98,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
99,Life Form: normal state,7.19,Hemicryptophyte,,,
100,Life Form: less frequent state,7.2,Therophyte,,,
101,Clonality: normal state,7.21,Extensively creeping and rooting at nodes,,,
102,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
