,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Soil nutrients,1.01,very fertile,-,-,
3,Shade,1.1,none,-,-,
4,Status,2.01,naturalised,-,-,
5,Range: 3. continents where native,2.11,South America,-,-,
6,Range: 4. continents where introduced,2.12,Europe,-,-,
7,SN Index,2.13,0,-,-,
8,EW Index,2.14,10,-,-,
9,Stems: 1. woodiness,3.01,non-woody,-,-,
10,Stems: 2. support,3.02,self-supporting,-,-,
11,Height: 3. typical maximum (cm),3.05,20,-,-,
12,Spread,3.07,height = width,-,-,
13,Heterophylly,3.08,none,-,-,
14,Leaf shape: 1. type,3.09,compound,-,-,
15,Leaf shape: 2. outline,3.1,entire,-,-,
16,Leaf shape: 3. pointed/round,3.11,emarginate,-,-,
17,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
18,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
19,Leaf shape: 6. petiole,3.14,petiolate,-,-,
20,Leaf shape: 8. maximum petiole length (mm),3.16,200,-,-,
21,Leaf area (cm2),3.17,10-100,-,-,
22,Photosynthetic pathway,4.02,C3,-,-,
23,Heavy metal resistance,4.05,none,-,-,
24,Carnivory,4.06,does not kill insects,-,-,
25,Nutrition,4.07,autotrophic,-,-,
26,Life-form,5.01,geophyte,-,-,
27,Longevity of stems (yrs),5.02,<1,-,-,
28,Vegetative reproduction/persistence: 1. method,5.05,bulbils,-,-,
29,Vegetative reproduction/persistence: 1. method,5.05,bulbs,-,-,
30,Flowering time: 1. earliest month,5.07,3,-,-,
31,Flowering time: 2. latest month,5.08,6,-,-,
32,Pollen vector,5.15,insect,-,-,
33,Dicliny,5.16,hermaphrodite,-,-,
34,Fertilization,5.19,no seed produced in Britain,-,-,
35,Chromosome number(s): 1. number,5.25,35,,-,
36,2C DNA content (pg),5.26,1.37,,,
37,2C DNA content (pg),5.26,1.37,2n=28,,
38,2C DNA content (pg),5.26,1.66,,,
39,2C DNA content (pg),5.26,1.66,2n=35,,
40,Normal method of propagation,5.52,vegetative,-,-,
41,Flower colour,5.58,yellow,,,
42,Petal no,5.59,5,,,
43,Petal (sepal) size (cm),5.6,2.25,2-2.5,,
44,Stigma number,5.61,5,3,,
45,Stamen number,5.62,10,,,
46,Sepal number,5.63,5,,,
47,Carpel/Style number,5.64,5,3,,
48,Inflorescence type,5.65,umbel,,"axillary, 1-several fld",
49,Physical defences on leaves,6.02,hairy,lower epidermis,-,
50,Biome,7.04,Mediterranean,,,
51,Eastern Limit,7.05,Hyperoceanic,,,
52,Continentality,7.06,Not continental,,,
53,Northern Limit in Britain,7.07,No,,,
54,Southern European Limit,7.1,No Data,,,
55,January mean temperature,7.11,5.9,,,
56,July mean temperature,7.12,16,,,
57,Annual precipitation,7.13,861,,,
58,Ellenberg Indicator: Light,7.14,7,,,
59,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
60,Ellenberg Indicator: Light,7.14,,,Data calculated for Europe,
61,Ellenberg : Moisture,7.15,4,,,
62,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
63,Ellenberg : Moisture,7.15,,,Data calculated for Europe,
64,Ellenberg: pH,7.16,6,,,
65,Ellenberg: pH,7.16,6,,Data calculated for the Czech Republic,
66,Ellenberg: pH,7.16,,,Data calculated for Europe,
67,Ellenberg Indicator: Nitrogen,7.17,5,,,
68,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
69,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
70,Ellenberg Indicator: Salt,7.18,0,,,
71,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
72,Ellenberg Indicator: Salt,7.18,,,Data calculated for Europe,
73,Life Form: normal state,7.19,Bulbous geophyte,,,
74,Clonality: normal state,7.21,Detaching ramets at or below ground,,,
75,Ellenberg: Temperature,7.23,9,,Data calculated for the Czech Republic,
76,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
77,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
