,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Shade,1.1,none,-,-,
2,Altitude: 1. maximum recorded (m),1.12,670,-,-,
3,Status,2.01,native,-,-,
4,Range: 3. continents where native,2.11,Europe,-,-,
5,Range: 3. continents where native,2.11,North America,-,-,
6,SN Index,2.13,8.08,-,-,
7,EW Index,2.14,1.94,-,-,
8,number of European countries in which native,2.17,14,-,-,
9,Stems: 1. woodiness,3.01,woody,-,-,
10,Stems: 2. support,3.02,procumbent,-,-,
11,Height: 3. typical maximum (cm),3.05,30,-,-,
12,Spread,3.07,height < width,-,-,
13,Heterophylly,3.08,none,-,-,
14,Leaf shape: 1. type,3.09,simple,-,-,
15,Leaf shape: 2. outline,3.1,entire,-,-,
16,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
17,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
18,Leaf shape: 5. leaf base,3.13,rounded,-,-,
19,Leaf shape: 6. petiole,3.14,petiolate,-,-,
20,Leaf area (cm2),3.17,<0.1,-,-,
21,Stomata: 1. surfaces present,3.19,lower,-,-,
22,Leaf longevity: 1. type,3.22,evergreen,-,-,
23,Root system,3.24,adventitious,-,-,
24,Root depth: 1. type,3.25,shallow,-,-,
25,Photosynthetic pathway,4.02,C3,-,-,
26,Heavy metal resistance,4.05,none,-,-,
27,Carnivory,4.06,does not kill insects,-,-,
28,Nutrition,4.07,autotrophic,-,-,
29,Life-form,5.01,chamaephyte,-,-,
30,Mono/poly-carpic,5.04,polycarpic,-,-,
31,Vegetative reproduction/persistence: 1. method,5.05,rooting stems,-,-,
32,Vegetative reproduction/persistence: 2. pattern,5.06,diffuse ramets,-,-,
33,Flowering time: 1. earliest month,5.07,7,-,-,
34,Flowering time: 2. latest month,5.08,7,-,-,
35,Flowering time: 3. peak month,5.09,7,-,-,
36,Pollen vector,5.15,insect,-,-,
37,Dicliny,5.16,hermaphrodite,-,-,
38,Chromosome number(s): 1. number,5.25,24,,-,
39,Seed weight: 3. mean (mg),5.34,0.226,,,
40,Flower colour,5.58,deep pink,,,
41,Petal no,5.59,4,5,,
42,Petal (sepal) size (cm),5.6,0.55,0.5-0.6,,
43,Stigma number,5.61,1,,,
44,Stamen number,5.62,8,,,
45,Sepal number,5.63,4,,,
46,Carpel/Style number,5.64,1,,,
47,Inflorescence type,5.65,raceme,,terminal,
48,Physical defences on leaves,6.02,thick cuticle,-,-,
49,Physical defences on flowers/fruits,6.04,glabrous,flower,-,
50,Rarity Status,7.02,Scarce,,,
51,Change Index,7.03,0.81,,,
52,Biome,7.04,Boreal montane,,,
53,Eastern Limit,7.05,Circumpolar,,,
54,Continentality,7.06,Not continental,,,
55,Northern Limit in Britain,7.07,No,,,
56,"Northern European Limit (Lat,5C band)",7.08,>65,,,
57,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
58,Southern European Limit,7.1,No,,,
59,January mean temperature,7.11,0.90,,,
60,July mean temperature,7.12,12,,,
61,Annual precipitation,7.13,1339,,,
62,Ellenberg Indicator: Light,7.14,7,,,
63,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
64,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
65,Ellenberg : Moisture,7.15,8,,,
66,Ellenberg : Moisture,7.15,9,,Data calculated for the Czech Republic,
67,Ellenberg : Moisture,7.15,9,,Data calculated for Europe,
68,Ellenberg: pH,7.16,1,,,
69,Ellenberg: pH,7.16,1,,Data calculated for Europe,
70,Ellenberg: pH,7.16,2,,Data calculated for the Czech Republic,
71,Ellenberg Indicator: Nitrogen,7.17,1,,,
72,Ellenberg Indicator: Nitrogen,7.17,1,,Data calculated for the Czech Republic,
73,Ellenberg Indicator: Nitrogen,7.17,1,,Data calculated for Europe,
74,Ellenberg Indicator: Salt,7.18,0,,,
75,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
76,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
77,Life Form: normal state,7.19,Chamaephyte,,,
78,Clonality: normal state,7.21,Extensively creeping and rooting at nodes,,,
79,Ellenberg: Temperature,7.23,3,,Data calculated for the Czech Republic,
80,Ellenberg: Temperature,7.23,4,,Data calculated for Europe,
81,Ellenberg: Continetality,7.24,6,,Data calculated for Europe,
