,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Water nutrients,1.01A,mesotrophic,-,-,
2,Water nutrients,1.01A,oligotrophic,-,-,
3,Shade,1.10,light,-,-,
4,Shade,1.10,none,-,-,
5,Altitude: 1. maximum recorded (m),1.12,460,-,-,
6,Altitude: 2. minimum recorded (m),1.13,0,-,-,
7,Altitude: 4. typical minimum (m),1.14,0,-,-,
8,Flow,1.15A,mid,-,-,
9,Flow,1.15A,rapid,-,-,
10,Flow,1.15A,slight,-,-,
11,Status,2.01,native,-,-,
12,Typical abundance where naturally occurring,2.02,dominant,-,-,
13,First historical record: 1. date,2.04,1538,-,-,
14,First historical record: 2. site,2.05,Northumberland,-,-,
15,Range: 3. continents where native,2.11,Asia,-,-,
16,Range: 3. continents where native,2.11,Europe,-,-,
17,Range: 4. continents where introduced,2.12,North America,-,-,
18,SN Index,2.13,3.43,-,-,
19,EW Index,2.14,4.4,-,-,
20,number of European countries in which native,2.17,21,-,-,
21,Medicinal Use,2.18,dropsy,,,
22,Medicinal Use,2.18,rheumatism,,,
23,Medicinal Use,2.18,scurvy,,,
24,Medicinal Use,2.18,sores,,,
25,Medicinal Use,2.18,swelling,,,
26,Stems: 1. woodiness,3.01,non-woody,-,-,
27,Stems: 2. support,3.02,self-supporting,-,-,
28,Height: 3. typical maximum (cm),3.05,80,-,-,
29,Height: 4. typical minimum (cm),3.06,10,-,-,
30,Spread,3.07,height = width,-,-,
31,Heterophylly,3.08,none,-,-,
32,Leaf shape: 1. type,3.09,simple,-,-,
33,Leaf shape: 2. outline,3.10,toothed,-,-,
34,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
35,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
36,Leaf shape: 5. leaf base,3.13,cordate,-,-,
37,Leaf shape: 6. petiole,3.14,petiolate,-,-,
38,Leaf area (cm2),3.17,>1000,-,-,
39,Stomata: 1. surfaces present,3.19,upper,,-,
40,Leaf longevity: 1. type,3.22,aestival,-,-,
41,Root persistence,3.30,<1,-,-,
42,Photosynthetic pathway,4.02,C3,-,-,
43,Heavy metal resistance,4.05,none,-,-,
44,Carnivory,4.06,does not kill insects,-,-,
45,Nutrition,4.07,autotrophic,-,-,
46,Life-form,5.01,geophyte,-,-,
47,Longevity of stems (yrs),5.02,<1,-,-,
48,Mono/poly-carpic,5.04,polycarpic,-,-,
49,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
50,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
51,Flowering time: 1. earliest month,5.07,3,-,-,
52,Flowering time: 2. latest month,5.08,5,-,-,
53,Pollen: 2. diameter (um),5.13,37,-,-,
54,Pollen vector,5.15,insect,-,-,
55,Dicliny,5.16,polygamous,-,-,
56,Chromosome number(s): 1. number,5.25,60,,-,
57,2C DNA content (pg),5.26,1.75,2n=60,,
58,2C DNA content (pg),5.26,1.8,-,-,
59,Appendages on dispersal unit,5.27,pappus,,-,
60,Time of seed dispersal (season),5.28,spring,May-,-,
61,Time of seed dispersal (season),5.28,summer,-,-,
