,Name,Number,Value,Modifier,Notes,Subspecies
0,2C DNA content (pg),5.26,1.30,,,
1,2C DNA content (pg),5.26,2.24,,,
2,Seed weight: 3. mean (mg),5.34,0.145,,,
3,Flower colour,5.58,lilac,pink,,
4,Petal no,5.59,5,,,
5,Petal (sepal) size (cm),5.6,0.35,0.3-0.4,,
6,Stigma number,5.61,3,,,
7,Stamen number,5.62,10,,,
8,Sepal number,5.63,5,,fused,
9,Carpel/Style number,5.64,2,,,
10,Inflorescence type,5.65,solitary,,,
11,Ellenberg Indicator: Light,7.14,9,,Data calculated for the Czech Republic,
12,Ellenberg Indicator: Light,7.14,9,,Data calculated for Europe,
13,Ellenberg : Moisture,7.15,2,,Data calculated for the Czech Republic,
14,Ellenberg : Moisture,7.15,2,,Data calculated for Europe,
15,Ellenberg: pH,7.16,5,,Data calculated for the Czech Republic,
16,Ellenberg: pH,7.16,7,,Data calculated for Europe,
17,Ellenberg Indicator: Nitrogen,7.17,1,,Data calculated for Europe,
18,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for the Czech Republic,
19,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
20,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
21,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
22,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
23,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
