,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Shade,1.1,none,,-,
3,Altitude: 1. maximum recorded (m),1.12,1188,-,-,
4,Altitude: 1. maximum recorded (m),1.12,1220,-,-,
5,Altitude: 2. minimum recorded (m),1.13,579,-,-,
6,Altitude: 2. minimum recorded (m),1.13,610,-,-,
7,Status,2.01,native,-,-,
8,Typical abundance where naturally occurring,2.02,scattered,-,-,
9,First historical record: 1. date,2.04,1777,-,-,
10,First historical record: 2. site,2.05,Scotland,-,-,
11,Range: 3. continents where native,2.11,Asia,-,-,
12,Range: 3. continents where native,2.11,Europe,-,-,
13,Range: 3. continents where native,2.11,North America,-,-,
14,Range: 3. continents where native,2.11,South America,-,-,
15,SN Index,2.13,7.5,-,-,
16,EW Index,2.14,2.56,-,-,
17,British distribution (post 1949 records),2.15,21,-,-,
18,number of European countries in which native,2.17,21,-,-,
19,Stems: 1. woodiness,3.01,non-woody,-,-,
20,Stems: 2. support,3.02,self-supporting,-,-,
21,Height: 3. typical maximum (cm),3.05,50,-,-,
22,Height: 4. typical minimum (cm),3.06,15,-,-,
23,Spread,3.07,height = width,-,-,
24,Heterophylly,3.08,none,-,-,
25,Leaf shape: 1. type,3.09,simple,-,-,
26,Leaf shape: 2. outline,3.1,entire,-,-,
27,Leaf shape: 2. outline,3.1,entire,,,
28,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
29,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
30,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
31,Leaf shape: 6. petiole,3.14,sheathing,-,-,
32,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
33,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
34,Leaf area (cm2),3.17,1-10,-,-,
35,Stomata: 1. surfaces present,3.19,lower,,-,
36,Root system,3.24,fibrous,,,
37,Auricle,3.32,0.2,,truncate,
38,Photosynthetic pathway,4.02,C3,-,-,
39,Heavy metal resistance,4.05,none,-,-,
40,Carnivory,4.06,does not kill insects,-,-,
41,Nutrition,4.07,autotrophic,-,-,
42,Life-form,5.01,hemicryptophyte,-,-,
43,Longevity of stems (yrs),5.02,<1,-,-,
44,Flowering time: 1. earliest month,5.07,7,-,-,
45,Flowering time: 2. latest month,5.08,8,-,-,
46,Pollen vector,5.15,wind,-,-,
47,Dicliny,5.16,hermaphrodite,-,-,
48,Dichogamy,5.17,protogynous,-,-,
49,Chromosome number(s): 1. number,5.25,28,,-,
50,2C DNA content (pg),5.26,2.73,2n=14,,
51,2C DNA content (pg),5.26,6.2,2n=28,,
52,2C DNA content (pg),5.26,6.45,2n=28,,
53,2C DNA content (pg),5.26,6.5,2n=28,-,
54,Seed weight: 3. mean (mg),5.34,0.41,,,
55,Seedbank type,5.53,short-term persistent,-,-,
56,Seedbank type,5.53,transient,-,-,
57,Maximum seedbank density (m2),5.54,19,-,-,
58,Minimum seedbank density (m2),5.55,19,-,-,
59,Mean seedbank density (m2),5.56,19,-,-,
60,Flower colour,5.58,green,"brown, purple, white",,
61,Petal no,5.59,0,,,
62,Petal (sepal) size (cm),5.6,0,,,
63,Stigma number,5.61,2,,,
64,Stamen number,5.62,3,,,
65,Sepal number,5.63,0,,,
66,Carpel/Style number,5.64,2,,,
67,Inflorescence type,5.65,spicate panicle,,"dense, cylindrical, ovoid",
68,"Glume, upper",5.66,0.34,0.3-0.38,"oblong, truncate, 3-veined, primary nerve pectinately ciliate, awn 0.2-0.3",
69,Glume lower,5.67,0.34,0.3-0.38,"oblong, truncate, 3-veined, primary vein pectinately ciliate, awn 0.2-0.3",
70,Palea,5.68,0.2,,,
71,Lemma,5.69,0.225,0.2-0.25,"oblong, truncate, 3-5 veined",
72,Physical defences on leaves,6.02,glabrous,-,-,
73,Rarity Status,7.02,Scarce,,,
74,Change Index,7.03,-0.30,,,
75,Biome,7.04,Boreo-Arctic Montane,,,
76,Eastern Limit,7.05,Circumpolar,,,
77,Continentality,7.06,Not continental,,,
78,Northern Limit in Britain,7.07,No,,,
79,"Northern European Limit (Lat,5C band)",7.08,>65,,,
80,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
81,Southern European Limit,7.1,No,,,
82,January mean temperature,7.11,-0.70,,,
83,July mean temperature,7.12,11,,,
84,Annual precipitation,7.13,1770,,,
85,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
86,Ellenberg Indicator: Light,7.14,8,,,
87,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
88,Ellenberg : Moisture,7.15,5,,,
89,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
