,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Soil moisture: 2. drainage,1.03,free-draining,-,-,
3,Soil pH: 1. extreme maximum,1.06,5.0,-,-,
4,Shade,1.1,none,-,-,
5,Altitude: 1. maximum recorded (m),1.12,840,-,-,
6,Altitude: 2. minimum recorded (m),1.13,680,-,-,
7,Status,2.01,native,-,-,
8,Typical abundance where naturally occurring,2.02,scattered,-,-,
9,First historical record: 1. date,2.04,1815,-,-,
10,First historical record: 2. site,2.05,Western Highlands,-,-,
11,Range: 3. continents where native,2.11,Asia,-,-,
12,Range: 3. continents where native,2.11,Europe,-,-,
13,Range: 3. continents where native,2.11,North America,-,-,
14,SN Index,2.13,7.74,-,-,
15,EW Index,2.14,3.86,-,-,
16,number of European countries in which native,2.17,7,-,-,
17,Stems: 1. woodiness,3.01,woody,-,-,
18,Stems: 2. support,3.02,self-supporting,-,-,
19,Height: 3. typical maximum (cm),3.05,25,-,-,
20,Height: 4. typical minimum (cm),3.06,5,-,-,
21,Spread,3.07,height = width,-,-,
22,Heterophylly,3.08,none,-,-,
23,Leaf shape: 1. type,3.09,simple,-,-,
24,Leaf shape: 2. outline,3.1,toothed,-,-,
25,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
26,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
27,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
28,Leaf shape: 6. petiole,3.14,petiolate,-,-,
29,Leaf shape: 7. minimum petiole length (mm),3.15,1,-,-,
30,Leaf area (cm2),3.17,<0.1,-,-,
31,Leaf longevity: 1. type,3.22,evergreen,-,-,
32,Leaf longevity: 2. number of months,3.23,>24,-,-,
33,Photosynthetic pathway,4.02,C3,-,-,
34,Heavy metal resistance,4.05,none,-,-,
35,Carnivory,4.06,does not kill insects,-,-,
36,Nutrition,4.07,autotrophic,-,-,
37,Response to drought,4.08,wilts and dies,in severe drought,-,
38,Life-form,5.01,chamaephyte,-,-,
39,Longevity of stems (yrs),5.02,10-100,-,-,
40,Mono/poly-carpic,5.04,polycarpic,-,-,
41,Flowering time: 1. earliest month,5.07,6,-,-,
42,Flowering time: 2. latest month,5.08,9,-,-,
43,Pollen vector,5.15,insect,-,-,
44,Dicliny,5.16,hermaphrodite,-,-,
45,Dichogamy,5.17,weakly protogynous,-,-,
46,Fertilization,5.19,cross and self,-,-,
47,Chromosome number(s): 1. number,5.25,24,,-,
48,Time of seed dispersal (season),5.28,autumn,-,-,
49,Annual seed dispersal,5.29,irregular,-,-,
50,Dispersule size - length of longest axis (mm),5.3,0.6,seed,-,
51,Seed size - length of longest axis (mm),5.31,0.6,seed,-,
52,Seed weight: 3. mean (mg),5.34,0.02,-,-,
53,Seed production: 1. maximum (/flower),5.35,25,-,-,
54,Seed production: 2. typical range (/flower),5.36,10-100,-,-,
55,Dispersal agent,5.38,water,-,-,
56,Dispersal agent,5.38,wind,-,-,
57,Time of germination (season),5.39,spring,-,-,
58,Germination requirements 1. chilling,5.45,absolute,-,-,
59,Germination type,5.48,epigeal,-,-,
60,Flower colour,5.58,purple,,,
61,Petal no,5.59,5,,,
62,Petal (sepal) size (cm),5.6,0.95,0.7-1.2,,
63,Stigma number,5.61,1,,,
64,Stamen number,5.62,10,,,
65,Sepal number,5.63,5,,,
66,Carpel/Style number,5.64,1,,,
67,Inflorescence type,5.65,clusters,,"sub-terminal, terminal",
68,Physical defences on flowers/fruits,6.04,glandular,capsule,-,
69,Conservation Status,7.01,Vulnerable,,,
70,Rarity Status,7.02,Rare,,,
71,Biome,7.04,Arctic Montane,,,
72,Eastern Limit,7.05,European,,,
73,Continentality,7.06,Not continental,,,
74,Northern Limit in Britain,7.07,No,,,
75,"Northern European Limit (Lat,5C band)",7.08,>65,,,
76,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
77,Southern European Limit,7.1,No,,,
78,January mean temperature,7.11,-1.1,,,
79,July mean temperature,7.12,11,,,
80,Annual precipitation,7.13,1829,,,
81,Ellenberg Indicator: Light,7.14,7,,,
82,Ellenberg : Moisture,7.15,4,,,
83,Ellenberg: pH,7.16,3,,,
84,Ellenberg Indicator: Nitrogen,7.17,2,,,
85,Ellenberg Indicator: Salt,7.18,0,,,
86,Life Form: normal state,7.19,Chamaephyte,,,
87,Clonality: normal state,7.21,Little or no vegetative spread,,,
