,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil moisture: 1. water table,1.02,permanently high,-,-,
1,Soil moisture: 2. drainage,1.03,slow-draining,-,-,
2,Soil moisture: 3. supply,1.04,continuous,-,-,
3,Salinity,1.05,fresh,-,-,
4,Shade,1.10,none,-,-,
5,Maximum depth of leaves,1.10A,<0.5m,-,-,
6,Altitude: 1. maximum recorded (m),1.12,380,-,-,
7,Altitude: 2. minimum recorded (m),1.13,0,-,-,
8,Flow,1.15A,nil,-,-,
9,Status,2.01,native,-,-,
10,Typical abundance where naturally occurring,2.02,dominant,-,-,
11,Dynamics,2.03,declining,-,-,
12,Range: 3. continents where native,2.11,Europe,-,-,
13,Stems: 1. woodiness,3.01,non-woody,-,-,
14,Stems: 2. support,3.02,creeping,-,-,
15,Leaf position,3.02A,emergent,-,-,
16,Height: 1. extreme maximum (cm),3.03,15,-,-,
17,Height: 1. extreme maximum (cm),3.03,15,,,
18,Height: 2. extreme minimum (cm),3.04,3,-,-,
19,Height: 3. typical maximum (cm),3.05,8,,,
20,Height: 4. typical minimum (cm),3.06,3,,,
21,Spread,3.07,height < width,-,-,
22,Heterophylly,3.08,none,,,
23,Leaf shape: 1. type,3.09,simple,-,-,
24,Leaf shape: 2. outline,3.10,entire,-,-,
25,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
26,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
27,Leaf shape: 5. leaf base,3.13,parallel-sided,,,
28,Leaf shape: 6. petiole,3.14,sessile,-,-,
29,Root system,3.24,adventitious,-,-,
30,Carnivory,4.06,does not kill insects,-,-,
31,Nutrition,4.07,autotrophic,-,-,
32,Life-form,5.01,helophyte,-,-,
33,Life-form,5.01,hydrophyte,-,-,
34,Mono/poly-carpic,5.04,polycarpic,-,-,
35,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
36,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
37,Flowering time: 1. earliest month,5.07,6,sporulation,-,
38,Flowering time: 2. latest month,5.08,9,sporulation,-,
39,Flowering time: 3. peak month,5.09,8,sporulation,-,
40,Chromosome number(s): 1. number,5.25,26,-,-,
41,Physical defences on leaves,6.02,glabrous,-,-,
42,Physical defences on stems,6.03,glabrous,-,-,
43,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
44,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
45,Ellenberg : Moisture,7.15,9,,Data calculated for the Czech Republic,
46,Ellenberg : Moisture,7.15,9=,,Data calculated for Europe,
47,Ellenberg: pH,7.16,4,,Data calculated for the Czech Republic,
48,Ellenberg: pH,7.16,4,,Data calculated for Europe,
49,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for the Czech Republic,
50,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for Europe,
51,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
52,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
53,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
54,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
55,Ellenberg: Continetality,7.24,2,,Data calculated for Europe,
