,Name,Number,Value,Modifier,Notes,Subspecies
0,Waterlogging tolerance,1.021,1.39,�0.38,,
1,Shade tolerance,1.101,2.1,�0.43,,
2,Drought Tolerance,4.081,4.23,�0.47,,
3,Pollen: 2. diameter (um),5.13,75.7,,,
4,2C DNA content (pg),5.26,44.5,,,
5,2C DNA content (pg),5.26,44.5,2n=24,,
6,2C DNA content (pg),5.26,51.6,2n=24,,
7,Seed weight: 3. mean (mg),5.34,18.0,,,
8,Ellenberg Indicator: Light,7.14,-7.0,,Data calculated for Europe,
9,Ellenberg Indicator: Light,7.14,7.0,,Data calculated for the Czech Republic,
10,Ellenberg : Moisture,7.15,3.0,,Data calculated for the Czech Republic,
11,Ellenberg : Moisture,7.15,3.0,,Data calculated for Europe,
12,Ellenberg: pH,7.16,8.0,,Data calculated for the Czech Republic,
13,Ellenberg: pH,7.16,9.0,,Data calculated for Europe,
14,Ellenberg Indicator: Nitrogen,7.17,2.0,,Data calculated for Europe,
15,Ellenberg Indicator: Nitrogen,7.17,3.0,,Data calculated for the Czech Republic,
16,Ellenberg Indicator: Salt,7.18,0.0,,Data calculated for the Czech Republic,
17,Ellenberg Indicator: Salt,7.18,0.0,,Data calculated for Europe,
18,Ellenberg: Temperature,7.23,6.0,,Data calculated for the Czech Republic,
19,Ellenberg: Temperature,7.23,7.0,,Data calculated for Europe,
20,Ellenberg: Continetality,7.24,4.0,,Data calculated for Europe,
