,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,518,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Altitude: 4. typical minimum (m),1.14,0,-,-,
6,Status,2.01,native,-,-,
7,Typical abundance where naturally occurring,2.02,frequent,-,-,
8,First historical record: 1. date,2.04,1597,-,-,
9,Range: 3. continents where native,2.11,Asia,-,-,
10,Range: 3. continents where native,2.11,Europe,-,-,
11,Range: 4. continents where introduced,2.12,Australasia,-,-,
12,Range: 4. continents where introduced,2.12,North America,-,-,
13,SN Index,2.13,2.38,-,-,
14,EW Index,2.14,3.83,-,-,
15,number of European countries in which native,2.17,24,-,-,
16,Stems: 1. woodiness,3.01,non-woody,-,-,
17,Stems: 2. support,3.02,self-supporting,-,-,
18,Height: 3. typical maximum (cm),3.05,80,-,-,
19,Height: 4. typical minimum (cm),3.06,5,-,-,
20,Spread,3.07,height = width,-,-,
21,Heterophylly,3.08,none,-,-,
22,Leaf shape: 1. type,3.09,simple,-,-,
23,Leaf shape: 2. outline,3.1,entire,-,-,
24,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
25,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
26,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
27,Leaf shape: 6. petiole,3.14,petiolate,-,-,
28,Leaf shape: 7. minimum petiole length (mm),3.15,20,-,-,
29,Leaf shape: 8. maximum petiole length (mm),3.16,30,-,-,
30,Leaf area (cm2),3.17,1-10,-,-,
31,Leaf area (cm2),3.17,10-100,-,-,
32,Stomata: 1. surfaces present,3.19,both,-,-,
33,Stomata: 2. density on lower surface(no/mm2),3.2,254,-,-,
34,Stomata: 3. density on upper surface (no/mm2),3.21,184,-,-,
35,Root system,3.24,fibrous,-,-,
36,Root system,3.24,tap root,-,-,
37,Root depth: 1. type,3.25,deep,-,-,
38,Root depth: 2. depth (cm),3.26,0-10,maximum - 18 cm,-,
39,Root hairs,3.28,present,"abundant and long, behind root tip for 2cm",-,
40,Mean plant dry mass(mg),3.35,1740,,,
41,Photosynthetic pathway,4.02,C3,-,-,
42,Heavy metal resistance,4.05,none,-,-,
43,Carnivory,4.06,does not kill insects,-,-,
44,Nutrition,4.07,autotrophic,-,-,
45,Response to drought,4.08,resists,-,-,
46,Response to frost (non-woody tissue),4.09,resistant,-,-,
47,Life-form,5.01,hemicryptophyte,-,-,
48,Longevity of stems (yrs),5.02,10-100,28.7,ramet,
49,Longevity of stems (yrs),5.02,<1,-,-,
50,Age at first flowering,5.03,1-2 yrs,-,-,
51,Mono/poly-carpic,5.04,facultatively polycarpic,usually monocarpic,-,
52,Flowering time: 1. earliest month,5.07,5,-,-,
53,Flowering time: 2. latest month,5.08,8,-,-,
54,Pollen: 2. diameter (um),5.13,23.4,-,-,
55,Pollen: 2. diameter (um),5.13,26.9,,,
56,Pollen vector,5.15,insect,-,-,
57,Dicliny,5.16,androdioecious,,-,
58,Dicliny,5.16,andromonoecious,,-,
59,Dicliny,5.16,gynodioecious,-,-,
60,Dicliny,5.16,gynomonoecious,,-,
61,Dicliny,5.16,hermaphrodite,-,-,
62,Dichogamy,5.17,markedly protogynous,-,-,
63,Fertilization,5.19,normally cross,99% self sterility,-,
64,Cleistogamy,5.2,cleistogamy not recorded,-,-,
65,Chromosome number(s): 1. number,5.25,12,,-,
66,Chromosome number(s): 1. number,5.25,24,-,-,
67,2C DNA content (pg),5.26,5.56,,,
68,2C DNA content (pg),5.26,5.56,2n=24,,
69,Annual seed dispersal,5.29,irregular,plants flower each year but seed less often due to predation,-,
70,Dispersule size - length of longest axis (mm),5.3,1.9,seed,-,
71,Seed size - length of longest axis (mm),5.31,1.9,seed,-,
72,Seed weight: 3. mean (mg),5.34,0.305,,,
73,Seed weight: 3. mean (mg),5.34,0.39,,,
74,Seed weight: 3. mean (mg),5.34,0.79,-,-,
75,Seed production: 1. maximum (/flower),5.35,7,-,-,
76,Seed production: 2. typical range (/flower),5.36,1-10,-,-,
77,Seed production: 3. typical range (/plant),5.37,100-1000,282,,
78,Seed production: 3. typical range (/plant),5.37,1000-10000,-,-,
79,Dispersal agent,5.38,unspecialised,-,-,
80,Time of germination (season),5.39,autumn,,-,
81,Time of germination (season),5.39,spring,,-,
82,Time of germination (season),5.39,summer,,-,
83,Germination requirements 1. chilling,5.45,partial,-,-,
84,Germination requirements 2. light,5.46,partial,-,-,
85,Germination requirements 3. temperature fluctuation,5.47,none,,-,
86,Seedbank longevity,5.5,3-12 months,a few seeds may survive longer,-,
