,Name,Number,Value,Modifier,Notes,Subspecies
0,Range: 3. continents where native,2.11,Asia,Japan,,
1,Stems: 1. woodiness,3.01,non woody,,,
2,Height: 1. extreme maximum (cm),3.03,300,,,
3,Height: 3. typical maximum (cm),3.05,200,,,
4,Height: 4. typical minimum (cm),3.06,120,,,
5,Heterophylly,3.08,none,,,
6,Leaf shape: 1. type,3.09,simple,,,
7,Leaf shape: 3. pointed/round,3.11,pointed,,,
8,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,(8)12-20(-25) x 0.8-3 cm,,
9,Leaf shape: 5. leaf base,3.13,parallel-sided,,,
10,Leaf shape: 6. petiole,3.14,petiolate,,,
11,Root system,3.24,fibrous,,,
12,Ligule,3.33,,,membranaceous,
13,Max. Stem Diameter (mm),3.34,15,1-1.5,,
14,Life-form,5.01,phanerophyte,,,
15,Chromosome number(s): 1. number,5.25,48,,,
16,Flower colour,5.58,green,"brown, purple, white",,
17,Petal no,5.59,0,,,
18,Petal (sepal) size (cm),5.6,0,,,
19,Stigma number,5.61,3,,,
20,Stamen number,5.62,3,,,
21,Sepal number,5.63,0,,,
22,Carpel/Style number,5.64,3,,,
23,Inflorescence type,5.65,compound,,,
24,"Glume, upper",5.66,0.9,"0.8-1, 0","lanceolate to ovate, 5-7 veined",
25,Glume lower,5.67,0.35,"0.3-0.4, 0","lanceolate, 0 veined",
26,Palea,5.68,1.2,1.1-1.3,8-10 veined,
27,Lemma,5.69,1.4,1-1.8,"lanceolate, acuminate, 11-13 veined.",
