,Name,Number,Value,Modifier,Notes,Subspecies
0,Stems: 1. woodiness,3.01,woody,,,
1,Height: 1. extreme maximum (cm),3.03,800,,,
2,Height: 2. extreme minimum (cm),3.04,250,,,
3,Height: 3. typical maximum (cm),3.05,500,,,
4,Height: 4. typical minimum (cm),3.06,300,,,
5,Heterophylly,3.08,none,,,
6,Leaf shape: 1. type,3.09,simple,,,
7,Leaf shape: 3. pointed/round,3.11,pointed,,,
8,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,15-25 x 1-2.5(3) cm,,
9,Leaf shape: 5. leaf base,3.13,parallel-sided,,,
10,Leaf shape: 6. petiole,3.14,petiolate,,,
11,Root system,3.24,fibrous,,,
12,Ligule,3.33,0.35,0.3-0.4,"truncate, obtuse",
13,Life-form,5.01,phanerophyte,,,
14,Chromosome number(s): 1. number,5.25,48,,,
15,Flower colour,5.58,green,"brown, purple, white",,
16,Petal no,5.59,0,,,
17,Petal (sepal) size (cm),5.6,0,,,
18,Stigma number,5.61,3,,,
19,Stamen number,5.62,3,,,
20,Sepal number,5.63,0,,,
21,Carpel/Style number,5.64,3,,,
22,"Glume, upper",5.66,4.5,3-6,"ovate, acute",
23,Glume lower,5.67,4.5,3-6,"ovate, acute",
24,Palea,5.68,0.9,,2 veined,
25,Lemma,5.69,0.9,,"ovate, acuminate",
26,Physical defences on leaves,6.02,glabrous,,,
