,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Shade,1.1,none,,-,
2,Status,2.01,native,-,-,
3,Typical abundance where naturally occurring,2.02,scattered,-,-,
4,Dynamics,2.03,stable,-,-,
5,First historical record: 1. date,2.04,1762,-,-,
6,First historical record: 2. site,2.05,"Clapham, London",-,-,
7,Range: 3. continents where native,2.11,Africa,-,-,
8,Range: 3. continents where native,2.11,Asia,-,-,
9,Range: 3. continents where native,2.11,Europe,-,-,
10,Range: 3. continents where native,2.11,Macaronesia,-,-,
11,Range: 4. continents where introduced,2.12,North America,-,-,
12,SN Index,2.13,1.29,-,-,
13,EW Index,2.14,3.74,-,-,
14,British distribution (post 1949 records),2.15,52,-,-,
15,number of European countries in which native,2.17,29,-,-,
16,Stems: 1. woodiness,3.01,non-woody,-,-,
17,Stems: 2. support,3.02,self-supporting,-,-,
18,Height: 3. typical maximum (cm),3.05,30,-,-,
19,Height: 4. typical minimum (cm),3.06,10,-,-,
20,Spread,3.07,height = width,-,-,
21,Heterophylly,3.08,none,-,-,
22,Leaf shape: 1. type,3.09,simple,-,-,
23,Leaf shape: 2. outline,3.1,entire,-,-,
24,Leaf shape: 2. outline,3.1,entire,,,
25,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
26,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
27,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
28,Leaf shape: 6. petiole,3.14,sheathing,-,-,
29,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
30,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
31,Leaf area (cm2),3.17,0.1-1,-,-,
32,Root system,3.24,fibrous,,,
33,Leaf folding,3.31,folded,,,
34,Ligule,3.33,0.4,,acute,
35,Photosynthetic pathway,4.02,C3,-,-,
36,Heavy metal resistance,4.05,none,-,-,
37,Carnivory,4.06,does not kill insects,-,-,
38,Nutrition,4.07,autotrophic,-,-,
39,Life-form,5.01,hemicryptophyte,-,-,
40,Longevity of stems (yrs),5.02,<1,-,-,
41,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
42,Flowering time: 1. earliest month,5.07,4,-,-,
43,Flowering time: 2. latest month,5.08,5,-,-,
44,Photoperiodism: 1. type,5.1,long-day,-,-,
45,Pollen vector,5.15,wind,-,-,
46,Fertilization,5.19,viviparous,-,-,
47,Fertilization,5.19,viviparous,-,-,
48,Chromosome number(s): 1. number,5.25,21,,-,
49,Chromosome number(s): 1. number,5.25,28,,-,
50,Chromosome number(s): 1. number,5.25,39,,-,
51,Chromosome number(s): 1. number,5.25,42,,-,
52,Seed weight: 3. mean (mg),5.34,0.9,,,
53,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
54,Seedbank type,5.53,transient,-,-,
55,Maximum seedbank density (m2),5.54,313,-,-,
56,Minimum seedbank density (m2),5.55,38,-,-,
57,Mean seedbank density (m2),5.56,192,-,-,
58,Flower colour,5.58,green,"brown, purple, white",,
59,Petal no,5.59,0,,,
60,Petal (sepal) size (cm),5.6,0,,,
61,Stigma number,5.61,2,,,
62,Stamen number,5.62,3,,,
63,Sepal number,5.63,0,,,
64,Carpel/Style number,5.64,2,,,
65,Inflorescence type,5.65,panicle,,,
66,"Glume, upper",5.66,0.25,0.2-0.3,"broady ovate , acute 1-3 nerved",
67,Glume lower,5.67,0.25,0.2-0.3,"ovate, acute, 1-3 nerved",
68,Palea,5.68,0.25,,,
69,Lemma,5.69,0.3,0.25-0.35,"lanceolate to lanceolate-oblong,acute, 5-nerved",
70,Physical defences on leaves,6.02,glabrous,-,-,
71,Physical defences on flowers/fruits,6.04,soft hairs,lemma,-,
72,Rarity Status,7.02,Scarce,,,
73,Change Index,7.03,0.63,,,
74,Biome,7.04,Southern Temperate,,,
75,Eastern Limit,7.05,Euro-Siberian,,,
76,Continentality,7.06,Not continental,,,
77,Northern Limit in Britain,7.07,No,,,
78,"Northern European Limit (Lat,5C band)",7.08,55-60,,,
79,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
80,Southern European Limit,7.1,No,,,
81,January mean temperature,7.11,4.6,,,
82,July mean temperature,7.12,16,,,
83,Annual precipitation,7.13,741,,,
84,Ellenberg Indicator: Light,7.14,8,,,
85,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
86,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
87,Ellenberg : Moisture,7.15,3,,,
88,Ellenberg : Moisture,7.15,3,,Data calculated for the Czech Republic,
89,Ellenberg : Moisture,7.15,3,,Data calculated for Europe,
90,Ellenberg: pH,7.16,5,,,
91,Ellenberg: pH,7.16,5,,Data calculated for Europe,
92,Ellenberg: pH,7.16,6,,Data calculated for the Czech Republic,
93,Ellenberg Indicator: Nitrogen,7.17,2,,,
94,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for Europe,
95,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for the Czech Republic,
96,Ellenberg Indicator: Salt,7.18,0,,,
97,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
98,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
99,Life Form: normal state,7.19,Hemicryptophyte,,,
100,Clonality: normal state,7.21,Tussock forming graminoid,,,
101,Clonality: less frequent state,7.22,Detaching ramets on inflorescence,,,
102,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
103,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
104,Ellenberg: Continetality,7.24,7,,Data calculated for Europe,
