,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Shade,1.1,light,,-,
2,Status,2.01,naturalised,-,-,
3,Dynamics,2.03,increasing,-,-,
4,Range: 3. continents where native,2.11,Europe,-,-,
5,SN Index,2.13,4.48,-,-,
6,EW Index,2.14,5.28,-,-,
7,number of European countries in which native,2.17,15,-,-,
8,Stems: 1. woodiness,3.01,non-woody,-,-,
9,Stems: 2. support,3.02,self-supporting,-,-,
10,Height: 3. typical maximum (cm),3.05,120,-,-,
11,Height: 4. typical minimum (cm),3.06,50,-,-,
12,Spread,3.07,height = width,-,-,
13,Heterophylly,3.08,none,-,-,
14,Leaf shape: 1. type,3.09,simple,-,-,
15,Leaf shape: 2. outline,3.1,entire,-,-,
16,Leaf shape: 2. outline,3.1,entire,,,
17,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
18,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
19,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
20,Leaf shape: 6. petiole,3.14,sheathing,-,-,
21,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
22,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
23,Leaf area (cm2),3.17,1-10,-,-,
24,Root system,3.24,fibrous,,,
25,Leaf folding,3.31,folded,,,
26,Ligule,3.33,0.15,,truncate,
27,Photosynthetic pathway,4.02,C3,-,-,
28,Heavy metal resistance,4.05,none,-,-,
29,Carnivory,4.06,does not kill insects,-,-,
30,Nutrition,4.07,autotrophic,-,-,
31,Life-form,5.01,hemicryptophyte,-,-,
32,Longevity of stems (yrs),5.02,<1,-,-,
33,Flowering time: 1. earliest month,5.07,6,-,-,
34,Flowering time: 2. latest month,5.08,6,-,-,
35,Pollen vector,5.15,wind,-,-,
36,Chromosome number(s): 1. number,5.25,14,,-,
37,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
38,Seedbank type,5.53,short-term persistent,-,-,
39,Seedbank type,5.53,transient,-,-,
40,Maximum seedbank density (m2),5.54,438,-,-,
41,Minimum seedbank density (m2),5.55,38,-,-,
42,Mean seedbank density (m2),5.56,257,-,-,
43,Flower colour,5.58,green,"brown, purple, white",,
44,Petal no,5.59,0,,,
45,Petal (sepal) size (cm),5.6,0,,,
46,Stigma number,5.61,2,,,
47,Stamen number,5.62,3,,,
48,Sepal number,5.63,0,,,
49,Carpel/Style number,5.64,2,,,
50,Inflorescence type,5.65,panicle,,,
51,"Glume, upper",5.66,0.35,0.3-0.4,"ovate-elliptic, 3 nerved",
52,Glume lower,5.67,0.275,0.2-0.35,"lanceolate, 1-3 nerved",
53,Palea,5.68,0.375,,,
54,Lemma,5.69,0.375,0.35-0.4,"lanceolate-oblong acute, 5-nerved",
55,Physical defences on leaves,6.02,glabrous,-,-,
56,Physical defences on flowers/fruits,6.04,glabrous,lemma,-,
57,Change Index,7.03,-0.05,,,
58,Biome,7.04,Mediterranean,,,
59,Eastern Limit,7.05,Hyperoceanic,,,
60,Continentality,7.06,Not continental,,,
61,Northern Limit in Britain,7.07,No,,,
62,Southern European Limit,7.1,No Data,,,
63,January mean temperature,7.11,3.1,,,
64,July mean temperature,7.12,14.5,,,
65,Annual precipitation,7.13,959,,,
66,Ellenberg Indicator: Light,7.14,5,,,
67,Ellenberg Indicator: Light,7.14,6,,Data calculated for Europe,
68,Ellenberg Indicator: Light,7.14,6x,,Data calculated for the Czech Republic,
69,Ellenberg : Moisture,7.15,5,,,
70,Ellenberg : Moisture,7.15,5,,Data calculated for Europe,
71,Ellenberg : Moisture,7.15,6,,Data calculated for the Czech Republic,
72,Ellenberg: pH,7.16,3,,Data calculated for the Czech Republic,
73,Ellenberg: pH,7.16,3,,Data calculated for Europe,
74,Ellenberg: pH,7.16,6,,,
75,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for the Czech Republic,
76,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for Europe,
77,Ellenberg Indicator: Nitrogen,7.17,5,,,
78,Ellenberg Indicator: Salt,7.18,0,,,
79,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
80,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
81,Life Form: normal state,7.19,Hemicryptophyte,,,
82,Clonality: normal state,7.21,Tussock forming graminoid,,,
83,Ellenberg: Temperature,7.23,4,,Data calculated for the Czech Republic,
84,Ellenberg: Temperature,7.23,5,,Data calculated for Europe,
85,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
