,Name,Number,Value,Modifier,Notes,Subspecies
0,Status,2.01,native,-,-,
1,Range: 3. continents where native,2.11,Africa,-,-,
2,Range: 3. continents where native,2.11,Asia,-,-,
3,Range: 3. continents where native,2.11,Europe,-,-,
4,SN Index,2.13,.18,-,-,
5,EW Index,2.14,9.28,-,-,
6,number of European countries in which native,2.17,11,-,-,
7,Stems: 1. woodiness,3.01,non-woody,-,-,
8,Stems: 2. support,3.02,decumbent,-,-,
9,Stems: 2. support,3.02,self-supporting,-,-,
10,Height: 3. typical maximum (cm),3.05,30,-,-,
11,Height: 4. typical minimum (cm),3.06,5,-,-,
12,Spread,3.07,height < width,-,-,
13,Heterophylly,3.08,none,-,-,
14,Leaf shape: 1. type,3.09,simple,-,-,
15,Leaf shape: 2. outline,3.1,entire,-,-,
16,Leaf shape: 2. outline,3.1,entire,,,
17,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
18,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
19,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
20,Leaf shape: 6. petiole,3.14,sheathing,-,-,
21,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
22,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
23,Leaf area (cm2),3.17,0.1-1,-,-,
24,Root system,3.24,fibrous,,,
25,Leaf folding,3.31,folded,,,
26,Ligule,3.33,0.3,,membranous,
27,Photosynthetic pathway,4.02,C3,-,-,
28,Heavy metal resistance,4.05,none,-,-,
29,Carnivory,4.06,does not kill insects,-,-,
30,Nutrition,4.07,autotrophic,-,-,
31,Life-form,5.01,therophyte,-,-,
32,Longevity of stems (yrs),5.02,<1,-,-,
33,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
34,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
35,Flowering time: 1. earliest month,5.07,3,-,-,
36,Flowering time: 2. latest month,5.08,4,-,-,
37,Pollen: 2. diameter (um),5.13,28.5,-,-,
38,Pollen vector,5.15,wind,-,-,
39,Chromosome number(s): 1. number,5.25,14,,-,
40,2C DNA content (pg),5.26,2.35,2n=14,,
41,2C DNA content (pg),5.26,2.4,-,-,
42,Seed weight: 3. mean (mg),5.34,0.221,,,
43,Normal method of propagation,5.52,seed,-,-,
44,Flower colour,5.58,green,"brown, purple, white",,
45,Petal no,5.59,0,,,
46,Petal (sepal) size (cm),5.6,0,,,
47,Stigma number,5.61,2,,,
48,Stamen number,5.62,3,,,
49,Sepal number,5.63,0,,,
50,Carpel/Style number,5.64,2,,,
51,Inflorescence type,5.65,panicle,,,
52,"Glume, upper",5.66,0.19,0.13-0.25,"elliptic to oblong, 1-3 nerved",
53,Glume lower,5.67,0.125,0.1-0.15,"ovate, 1-nerved",
54,Palea,5.68,0.225,,,
55,Lemma,5.69,0.225,0.2-0.25,"oblong, obtuse, 5-nerved",
56,Physical defences on leaves,6.02,glabrous,-,-,
57,Physical defences on flowers/fruits,6.04,glabrous,lemma,-,
58,Rarity Status,7.02,Scarce,,,
59,Change Index,7.03,1.33,,,
60,Biome,7.04,Mediterranean-Atlantic,,,
61,Eastern Limit,7.05,Oceanic,,,
62,Continentality,7.06,Not continental,,,
63,Northern Limit in Britain,7.07,Yes,,,
64,"Northern European Limit (Lat,5C band)",7.08,50-55,,,
65,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
66,Southern European Limit,7.1,No,,,
67,January mean temperature,7.11,5.9,,,
68,July mean temperature,7.12,16,,,
69,Annual precipitation,7.13,935,,,
70,Ellenberg Indicator: Light,7.14,8,,,
71,Ellenberg : Moisture,7.15,4,,,
72,Ellenberg: pH,7.16,5,,,
73,Ellenberg Indicator: Nitrogen,7.17,5,,,
74,Ellenberg Indicator: Salt,7.18,0,,,
75,Life Form: normal state,7.19,Therophyte,,,
76,Clonality: normal state,7.21,Little or no vegetative spread,,,
