,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,457,-,-,
4,Altitude: 4. typical minimum (m),1.14,213,-,-,
5,Status,2.01,native,-,-,
6,Typical abundance where naturally occurring,2.02,scattered,-,-,
7,First historical record: 1. date,2.04,1871,-,-,
8,First historical record: 2. site,2.05,"Wye Downs, Kent",-,-,
9,Range: 3. continents where native,2.11,Europe,-,-,
10,SN Index,2.13,2.47,-,-,
11,EW Index,2.14,2.1,-,-,
12,number of European countries in which native,2.17,17,-,-,
13,Stems: 1. woodiness,3.01,woody at base,-,-,
14,Stems: 2. support,3.02,self-supporting,-,-,
15,Height: 1. extreme maximum (cm),3.03,13,-,-,
16,Height: 3. typical maximum (cm),3.05,10,-,-,
17,Height: 4. typical minimum (cm),3.06,1.4,-,-,
18,Spread,3.07,height < width,-,-,
19,Heterophylly,3.08,none,-,-,
20,Leaf shape: 1. type,3.09,simple,-,-,
21,Leaf shape: 2. outline,3.1,entire,-,-,
22,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
23,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
24,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
25,Leaf shape: 6. petiole,3.14,sessile,-,-,
26,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
27,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
28,Leaf area (cm2),3.17,1-10,-,-,
29,Photosynthetic pathway,4.02,C3,-,-,
30,Heavy metal resistance,4.05,none,-,-,
31,Carnivory,4.06,does not kill insects,-,-,
32,Nutrition,4.07,autotrophic,-,-,
33,Life-form,5.01,chamaephyte,-,-,
34,Age at first flowering,5.03,2-5 yrs,-,-,
35,Mono/poly-carpic,5.04,polycarpic,-,-,
36,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
37,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
38,Flowering time: 1. earliest month,5.07,6,-,-,
39,Flowering time: 2. latest month,5.08,8,-,-,
40,Pollen vector,5.15,insect,-,-,
41,Dicliny,5.16,hermaphrodite,-,-,
42,Dichogamy,5.17,homogamous,-,-,
43,Fertilization,5.19,normally self,-,-,
44,Chromosome number(s): 1. number,5.25,34,,-,
45,2C DNA content (pg),5.26,0.84,,,
46,2C DNA content (pg),5.26,0.84,2n=34,,
47,Dispersule size - length of longest axis (mm),5.3,2.0,"seed, 1.5-2.4mm long",-,
48,Seed size - length of longest axis (mm),5.31,2.0,"seed, 1.5-2.4mm long",-,
49,Seed weight: 3. mean (mg),5.34,0.77,,,
50,Normal method of propagation,5.52,seed,-,-,
51,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
52,Seedbank type,5.53,transient,-,-,
53,Maximum seedbank density (m2),5.54,49,-,-,
54,Minimum seedbank density (m2),5.55,12,-,-,
55,Mean seedbank density (m2),5.56,29,-,-,
56,Flower colour,5.58,blue,"pink, white",,
57,Petal no,5.59,3,,,
58,Petal (sepal) size (cm),5.6,0.5,0.4-0.7,,
59,Stigma number,5.61,1,,,
60,Stamen number,5.62,8,fused,,
61,Sepal number,5.63,5,,,
62,Carpel/Style number,5.64,1,,,
63,Inflorescence type,5.65,raceme,spike,"terminal, axillary",
64,Physical defences on leaves,6.02,glabrous,-,-,
65,Conservation Status,7.01,Vulnerable,,,
66,Rarity Status,7.02,Rare,,,
67,Change Index,7.03,-0.10,,,
68,Biome,7.04,Boreo-Temperate,,,
69,Eastern Limit,7.05,European,,,
70,Continentality,7.06,Continental,,,
71,Northern Limit in Britain,7.07,No,,,
72,"Northern European Limit (Lat,5C band)",7.08,>65,,,
73,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
74,Southern European Limit,7.1,No,,,
75,January mean temperature,7.11,2.8,,,
76,July mean temperature,7.12,15,,,
77,Annual precipitation,7.13,1037,,,
78,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
79,Ellenberg Indicator: Light,7.14,9,,,
80,Ellenberg Indicator: Light,7.14,9,,Data calculated for Europe,
81,Ellenberg : Moisture,7.15,6,,,
82,Ellenberg : Moisture,7.15,8,,Data calculated for the Czech Republic,
83,Ellenberg : Moisture,7.15,9,,Data calculated for Europe,
84,Ellenberg: pH,7.16,8,,Data calculated for the Czech Republic,
85,Ellenberg: pH,7.16,9,,,
86,Ellenberg: pH,7.16,9,,Data calculated for Europe,
87,Ellenberg Indicator: Nitrogen,7.17,1,,,
88,Ellenberg Indicator: Nitrogen,7.17,1,,Data calculated for Europe,
89,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for the Czech Republic,
90,Ellenberg Indicator: Salt,7.18,0,,,
91,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
92,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
93,Life Form: normal state,7.19,Chamaephyte,,,
94,Clonality: normal state,7.21,Little or no vegetative spread,,,
95,Ellenberg: Temperature,7.23,5,,Data calculated for the Czech Republic,
96,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
97,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
