,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Shade,1.1,none,-,-,
2,Status,2.01,native,-,-,
3,Typical abundance where naturally occurring,2.02,scattered,-,-,
4,Range: 3. continents where native,2.11,Europe,-,-,
5,Range: 3. continents where native,2.11,North America,-,-,
6,SN Index,2.13,9.83,-,-,
7,EW Index,2.14,8.5,-,-,
8,British distribution (post 1949 records),2.15,19,-,-,
9,number of European countries in which native,2.17,6,-,-,
10,Stems: 1. woodiness,3.01,non-woody,-,-,
11,Stems: 2. support,3.02,self-supporting,-,-,
12,Height: 3. typical maximum (cm),3.05,100,-,-,
13,Spread,3.07,height = width,-,-,
14,Heterophylly,3.08,developmental,-,-,
15,Leaf shape: 1. type,3.09,simple,-,-,
16,Leaf shape: 2. outline,3.1,entire,-,-,
17,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
18,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
19,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
20,Leaf shape: 6. petiole,3.14,petiolate,-,-,
21,Leaf shape: 7. minimum petiole length (mm),3.15,4,-,-,
22,Leaf shape: 8. maximum petiole length (mm),3.16,8,-,-,
23,Leaf area (cm2),3.17,1-10,-,-,
24,Photosynthetic pathway,4.02,C3,-,-,
25,Heavy metal resistance,4.05,none,-,-,
26,Carnivory,4.06,does not kill insects,-,-,
27,Nutrition,4.07,autotrophic,-,-,
28,Life-form,5.01,therophyte,-,-,
29,Longevity of stems (yrs),5.02,<1,-,-,
30,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
31,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
32,Flowering time: 1. earliest month,5.07,7,-,-,
33,Flowering time: 2. latest month,5.08,10,-,-,
34,Dicliny,5.16,hermaphrodite,-,-,
35,Fertilization,5.19,normally self,-,-,
36,Chromosome number(s): 1. number,5.25,40,-,-,
37,Dispersule size - length of longest axis (mm),5.3,4.0,nut,-,
38,Seed size - length of longest axis (mm),5.31,4.0,nut,-,
39,Seed weight: 3. mean (mg),5.34,2.6244,,,
40,Normal method of propagation,5.52,seed,-,-,
41,Flower colour,5.58,pink,,margins,
42,Petal no,5.59,5,,,
43,Petal (sepal) size (cm),5.6,0.375,0.35-0.4,,
44,Stigma number,5.61,0,,,
45,Stamen number,5.62,8,,,
46,Sepal number,5.63,0,,monochlamydeous,
47,Carpel/Style number,5.64,3,,,
48,Physical defences on leaves,6.02,glabrous,-,-,
49,Physical defences on stems,6.03,glabrous,-,-,
50,Rarity Status,7.02,Scarce,,,
51,Biome,7.04,Boreal montane,,,
52,Eastern Limit,7.05,Suboceanic,,,
53,Continentality,7.06,Not continental,,,
54,Northern Limit in Britain,7.07,No,,,
55,"Northern European Limit (Lat,5C band)",7.08,>65,,,
56,"Southern European Limit (Latitude, 5C band)",7.09,50-55,,,
57,Southern European Limit,7.1,Yes,,,
58,January mean temperature,7.11,3.6,,,
59,July mean temperature,7.12,12,,,
60,Annual precipitation,7.13,1084,,,
61,Ellenberg Indicator: Light,7.14,7,,,
62,Ellenberg : Moisture,7.15,5,,,
63,Ellenberg: pH,7.16,6,,,
64,Ellenberg Indicator: Nitrogen,7.17,6,,,
65,Ellenberg Indicator: Salt,7.18,0,,,
66,Life Form: normal state,7.19,Therophyte,,,
67,Clonality: normal state,7.21,Little or no vegetative spread,,,
