,Name,Number,Value,Modifier,Notes,Subspecies
0,Water nutrients,1.01A,eutrophic,-,-,
1,Water nutrients,1.01A,mesotrophic,-,-,
2,Water nutrients,1.01A,oligotrophic,-,-,
3,Salinity,1.05,fresh,-,-,
4,Soil pH: 1. extreme maximum,1.06,7.54,-,-,
5,Water pH: 1. extreme maximum,1.06A,8.26,-,-,
6,Soil pH: 2. extreme minimum,1.07,6.44,-,-,
7,Water pH: 2. extreme minimum,1.07A,6.62,-,-,
8,Shade,1.10,none,-,-,
9,Altitude: 1. maximum recorded (m),1.12,487,-,-,
10,Flow,1.15A,mid,-,-,
11,Flow,1.15A,nil,-,-,
12,Flow,1.15A,slight,-,-,
13,Status,2.01,native,-,-,
14,First historical record: 1. date,2.04,1838,-,-,
15,First historical record: 2. site,2.05,"Sandwich, Kent",-,-,
16,Range: 3. continents where native,2.11,Europe,-,-,
17,SN Index,2.13,3.06,-,-,
18,EW Index,2.14,3.67,-,-,
19,British distribution (post 1949 records),2.15,73,-,-,
20,number of European countries in which native,2.17,21,-,-,
21,Stems: 1. woodiness,3.01,non-woody,-,-,
22,Leaf position,3.02A,floating,-,-,
23,Leaf position,3.02A,submerged,-,-,
24,Spread,3.07,not applicable,aquatic,-,
25,Heterophylly,3.08,environmental,-,-,
26,Leaf shape: 1. type,3.09,simple,-,-,
27,Leaf shape: 2. outline,3.10,entire,-,-,
28,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
29,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
30,Leaf shape: 5. leaf base,3.13,rounded,-,-,
31,Leaf shape: 6. petiole,3.14,petiolate,-,-,
32,Leaf shape: 6. petiole,3.14,sessile,-,-,
33,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
34,Leaf area (cm2),3.17,1-10,-,-,
35,Leaf area (cm2),3.17,10-100,-,-,
36,Leaf longevity: 1. type,3.22,evergreen,-,-,
37,Photosynthetic pathway,4.02,C3,-,-,
38,Heavy metal resistance,4.05,none,-,-,
39,Carnivory,4.06,does not kill insects,-,-,
40,Nutrition,4.07,autotrophic,-,-,
41,Life-form,5.01,hydrophyte,-,-,
42,Vegetative reproduction/persistence: 1. method,5.05,turions,-,-,
43,Vegetative reproduction/persistence: 2. pattern,5.06,ramets not connected,-,-,
44,Flowering time: 1. earliest month,5.07,6,-,-,
45,Flowering time: 2. latest month,5.08,7,-,-,
46,Pollen vector,5.15,wind,-,-,
47,Dicliny,5.16,hermaphrodite,-,-,
48,Dichogamy,5.17,protogynous,-,-,
49,Fertilization,5.19,normally self,-,-,
50,Chromosome number(s): 1. number,5.25,26,,-,
51,Dispersule size - length of longest axis (mm),5.30,2.0,fruit,-,
52,Seed size - length of longest axis (mm),5.31,2.0,fruit,-,
53,Seed weight: 3. mean (mg),5.34,0.423,,,
54,Normal method of propagation,5.52,seed and vegetative,-,-,
55,Flower colour,5.58,green,,,
56,Petal no,5.59,4,,tepals,
57,Petal (sepal) size (cm),5.60,minute or 0,,,
58,Stigma number,5.61,4,1-3,,
59,Stamen number,5.62,4,,,
60,Sepal number,5.63,0,,tepals,
61,Carpel/Style number,5.64,0,,,
62,Inflorescence type,5.65,spike,,lateral,
63,Physical defences on leaves,6.02,glabrous,,,
64,Physical defences on stems,6.03,glabrous,,,
65,Physical defences on flowers/fruits,6.04,glabrous,,,
66,Physical defences on buds,6.05,glabrous,,,
67,Rarity Status,7.02,Scarce,,,
68,Change Index,7.03,0.03,,,
69,Biome,7.04,Southern Temperate,,,
70,Eastern Limit,7.05,European,,,
71,Continentality,7.06,Not continental,,,
72,Northern Limit in Britain,7.07,No,,,
73,"Northern European Limit (Lat,5C band)",7.08,55-60,,,
74,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
75,Southern European Limit,7.10,No,,,
76,January mean temperature,7.11,4.1,,,
77,July mean temperature,7.12,15,,,
78,Annual precipitation,7.13,893,,,
79,Ellenberg Indicator: Light,7.14,7,,,
80,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
81,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
82,Ellenberg : Moisture,7.15,11,,,
83,Ellenberg : Moisture,7.15,11,,Data calculated for the Czech Republic,
84,Ellenberg : Moisture,7.15,11,,Data calculated for Europe,
85,Ellenberg: pH,7.16,8,,,
86,Ellenberg: pH,7.16,8,,Data calculated for the Czech Republic,
87,Ellenberg: pH,7.16,8,,Data calculated for Europe,
88,Ellenberg Indicator: Nitrogen,7.17,5,,,
89,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for the Czech Republic,
90,Ellenberg Indicator: Nitrogen,7.17,8,,Data calculated for Europe,
91,Ellenberg Indicator: Salt,7.18,0,,,
92,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
93,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
94,Life Form: normal state,7.19,Perennial hydrophyte,,,
95,Clonality: normal state,7.21,Irregularly fragmenting (mainly water plants),,,
96,Clonality: less frequent state,7.22,Rhiz2,,,
97,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
98,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
99,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
