,Name,Number,Value,Modifier,Notes,Subspecies
0,Water nutrients,1.01A,eutrophic,-,-,
1,Water nutrients,1.01A,eutrophic,-,-,
2,Salinity,1.05,fresh,-,-,
3,Shade,1.10,none,-,-,
4,Maximum depth of leaves,1.10A,>0.5m,-,-,
5,Flow,1.15A,nil,-,-,
6,Flow,1.15A,slight,-,-,
7,Status,2.01,native,-,-,
8,Dynamics,2.03,declining,-,-,
9,First historical record: 1. date,2.04,1660,-,-,
10,First historical record: 2. site,2.05,R.Cam,-,-,
11,Range: 3. continents where native,2.11,Europe,-,-,
12,SN Index,2.13,3.46,-,-,
13,EW Index,2.14,2.96,-,-,
14,British distribution (post 1949 records),2.15,111,-,-,
15,number of European countries in which native,2.17,19,-,-,
16,Stems: 1. woodiness,3.01,non-woody,-,-,
17,Leaf position,3.02A,submerged,-,-,
18,Height: 3. typical maximum (cm),3.05,100,,,
19,Height: 4. typical minimum (cm),3.06,20,,,
20,Spread,3.07,not applicable,aquatic,-,
21,Heterophylly,3.08,none,-,-,
22,Leaf shape: 1. type,3.09,simple,-,-,
23,Leaf shape: 2. outline,3.10,entire,-,-,
24,Leaf shape: 3. pointed/round,3.11,mucronate,-,-,
25,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
26,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
27,Leaf shape: 6. petiole,3.14,sessile,-,-,
28,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
29,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
30,Leaf area (cm2),3.17,0.1-1,-,-,
31,Photosynthetic pathway,4.02,C3,-,-,
32,Heavy metal resistance,4.05,none,-,-,
33,Carnivory,4.06,does not kill insects,-,-,
34,Nutrition,4.07,autotrophic,-,-,
35,Life-form,5.01,hydrophyte,-,-,
36,Vegetative reproduction/persistence: 1. method,5.05,turions,-,-,
37,Vegetative reproduction/persistence: 1. method,5.05,turions,-,-,
38,Vegetative reproduction/persistence: 2. pattern,5.06,ramets not connected,-,-,
39,Flowering time: 1. earliest month,5.07,6,-,-,
40,Flowering time: 2. latest month,5.08,8,-,-,
41,Pollen vector,5.15,wind,-,-,
42,Dicliny,5.16,hermaphrodite,-,-,
43,Dichogamy,5.17,protogynous,-,-,
44,Chromosome number(s): 1. number,5.25,26,,-,
45,Seed size - length of longest axis (mm),5.31,2.5,fruit,-,
46,Normal method of propagation,5.52,vegetative,-,-,
47,Flower colour,5.58,green,,,
48,Petal no,5.59,4,,tepals,
49,Petal (sepal) size (cm),5.60,minute or 0,,,
50,Stigma number,5.61,4,1-3,,
51,Stamen number,5.62,4,,,
52,Sepal number,5.63,0,,tepals,
53,Carpel/Style number,5.64,0,,,
54,Inflorescence type,5.65,spike,,lateral,
55,Physical defences on leaves,6.02,glabrous,,,
56,Physical defences on stems,6.03,glabrous,,,
57,Physical defences on flowers/fruits,6.04,glabrous,,,
58,Physical defences on buds,6.05,glabrous,,,
59,Rarity Status,7.02,Scarce,,,
60,Change Index,7.03,-1.06,,,
61,Biome,7.04,Boreo-Temperate,,,
62,Eastern Limit,7.05,Circumpolar,,,
63,Continentality,7.06,Not continental,,,
64,Northern Limit in Britain,7.07,No,,,
65,"Northern European Limit (Lat,5C band)",7.08,>65,,,
66,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
67,Southern European Limit,7.10,No,,,
68,January mean temperature,7.11,3.6,,,
69,July mean temperature,7.12,15,,,
70,Annual precipitation,7.13,782,,,
71,Ellenberg Indicator: Light,7.14,5,,Data calculated for the Czech Republic,
72,Ellenberg Indicator: Light,7.14,5,,Data calculated for Europe,
73,Ellenberg Indicator: Light,7.14,7,,,
74,Ellenberg : Moisture,7.15,11,,Data calculated for Europe,
75,Ellenberg : Moisture,7.15,12,,,
76,Ellenberg : Moisture,7.15,12,,Data calculated for the Czech Republic,
77,Ellenberg: pH,7.16,6,,Data calculated for the Czech Republic,
78,Ellenberg: pH,7.16,7,,,
79,Ellenberg: pH,7.16,7,,Data calculated for Europe,
80,Ellenberg Indicator: Nitrogen,7.17,5,,,
81,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
82,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for Europe,
83,Ellenberg Indicator: Salt,7.18,0,,,
84,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
85,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
86,Life Form: normal state,7.19,Perennial hydrophyte,,,
87,Clonality: normal state,7.21,"Detaching ramets above ground, often axillary",,,
88,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
89,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
90,Ellenberg: Continetality,7.24,5,,Data calculated for Europe,
