,Name,Number,Value,Modifier,Notes,Subspecies
0,Water nutrients,1.01A,eutrophic,-,-,
1,Water nutrients,1.01A,mesotrophic,-,-,
2,Water nutrients,1.01A,mesotrophic,-,-,
3,Water nutrients,1.01A,oligotrophic,-,-,
4,Salinity,1.05,fresh,-,-,
5,Soil pH: 1. extreme maximum,1.06,7.9,-,-,
6,Soil pH: 2. extreme minimum,1.07,5.5,-,-,
7,Shade,1.10,none,-,-,
8,Altitude: 1. maximum recorded (m),1.12,701,-,-,
9,Altitude: 1. maximum recorded (m),1.12,780,-,-,
10,Altitude: 2. minimum recorded (m),1.13,0,-,-,
11,Altitude: 4. typical minimum (m),1.14,0,-,-,
12,Flow,1.15A,mid,-,-,
13,Flow,1.15A,nil,-,-,
14,Flow,1.15A,slight,-,-,
15,Status,2.01,native,-,-,
16,First historical record: 1. date,2.04,1633,-,-,
17,Range: 3. continents where native,2.11,Europe,-,-,
18,SN Index,2.13,4.53,-,-,
19,EW Index,2.14,4.03,-,-,
20,British distribution (post 1949 records),2.15,536,-,-,
21,number of European countries in which native,2.17,27,-,-,
22,Stems: 1. woodiness,3.01,non-woody,-,-,
23,Leaf position,3.02A,submerged,-,-,
24,Height: 3. typical maximum (cm),3.05,200,,,
25,Spread,3.07,not applicable,aquatic,-,
26,Heterophylly,3.08,none,-,-,
27,Leaf shape: 1. type,3.09,simple,-,-,
28,Leaf shape: 2. outline,3.10,entire,-,-,
29,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
30,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
31,Leaf shape: 5. leaf base,3.13,cordate,-,-,
32,Leaf shape: 6. petiole,3.14,clasping,-,-,
33,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
34,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
35,Leaf area (cm2),3.17,1-10,-,-,
36,Leaf longevity: 1. type,3.22,aestival,-,-,
37,Photosynthetic pathway,4.02,C3,-,-,
38,Heavy metal resistance,4.05,none,-,-,
39,Carnivory,4.06,does not kill insects,-,-,
40,Nutrition,4.07,autotrophic,-,-,
41,Life-form,5.01,hydrophyte,-,-,
42,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
43,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
44,Vegetative reproduction/persistence: 1. method,5.05,turions,-,-,
45,Vegetative reproduction/persistence: 2. pattern,5.06,ramets not connected,-,-,
46,Flowering time: 1. earliest month,5.07,6,-,-,
47,Flowering time: 2. latest month,5.08,9,-,-,
48,Pollen: 2. diameter (um),5.13,28,-,-,
49,Pollen vector,5.15,wind,-,-,
50,Dicliny,5.16,hermaphrodite,-,-,
51,Dichogamy,5.17,protogynous,-,-,
52,Chromosome number(s): 1. number,5.25,52,,-,
53,Dispersule size - length of longest axis (mm),5.30,3.8,fruit,-,
54,Seed size - length of longest axis (mm),5.31,3.8,fruit,-,
55,Seed weight: 3. mean (mg),5.34,3.8328,,,
56,Seedbank type,5.53,transient,-,-,
57,Flower colour,5.58,green,,,
58,Petal no,5.59,4,,tepals,
59,Petal (sepal) size (cm),5.60,minute or 0,,,
60,Stigma number,5.61,4,1-3,,
61,Stamen number,5.62,4,,,
62,Sepal number,5.63,0,,tepals,
63,Carpel/Style number,5.64,0,,,
64,Inflorescence type,5.65,spike,,lateral,
65,Physical defences on leaves,6.02,glabrous,,,
66,Physical defences on stems,6.03,glabrous,,,
67,Physical defences on flowers/fruits,6.04,glabrous,,,
68,Physical defences on buds,6.05,glabrous,,,
69,Rarity Status,7.02,Present,,,
70,Biome,7.04,Boreo-Temperate,,,
71,Eastern Limit,7.05,Circumpolar,,,
72,Continentality,7.06,Not continental,,,
73,Northern Limit in Britain,7.07,No,,,
74,"Northern European Limit (Lat,5C band)",7.08,>65,,,
75,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
76,Southern European Limit,7.10,No,,,
77,January mean temperature,7.11,3.5,,,
78,July mean temperature,7.12,15,,,
79,Annual precipitation,7.13,1026,,,
80,Ellenberg Indicator: Light,7.14,6,,Data calculated for Europe,
81,Ellenberg Indicator: Light,7.14,7,,,
82,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
83,Ellenberg : Moisture,7.15,12,,,
84,Ellenberg : Moisture,7.15,12,,Data calculated for the Czech Republic,
85,Ellenberg : Moisture,7.15,12,,Data calculated for Europe,
86,Ellenberg: pH,7.16,6,,,
87,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
88,Ellenberg: pH,7.16,7,,Data calculated for Europe,
89,Ellenberg Indicator: Nitrogen,7.17,5,,,
90,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for the Czech Republic,
91,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for Europe,
92,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
93,Ellenberg Indicator: Salt,7.18,1,,,
94,Ellenberg Indicator: Salt,7.18,1,,Data calculated for Europe,
95,Life Form: normal state,7.19,Perennial hydrophyte,,,
96,Clonality: normal state,7.21,Irregularly fragmenting (mainly water plants),,,
97,Clonality: less frequent state,7.22,Rhiz2,,,
98,Ellenberg: Temperature,7.23,5,,Data calculated for the Czech Republic,
99,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
100,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
