,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,,
1,Soil nutrients,1.01,very infertile,-,,
2,Shade,1.1,none,-,,
3,Altitude: 1. maximum recorded (m),1.12,1021,-,,
4,Altitude: 1. maximum recorded (m),1.12,1035,-,,
5,Altitude: 2. minimum recorded (m),1.13,250,-,,
6,Altitude: 2. minimum recorded (m),1.13,80,-,,
7,Status,2.01,native,-,,
8,Typical abundance where naturally occurring,2.02,scattered,-,,
9,Dynamics,2.03,stable,-,,
10,First historical record: 1. date,2.04,1670,-,,
11,Range: 3. continents where native,2.11,Asia,-,,
12,Range: 3. continents where native,2.11,Europe,-,,
13,Range: 3. continents where native,2.11,North America,-,,
14,SN Index,2.13,6.49,-,,
15,EW Index,2.14,3.51,-,,
16,British distribution (post 1949 records),2.15,69,-,,
17,number of European countries in which native,2.17,21,-,,
18,Stems: 1. woodiness,3.01,non-woody,-,,
19,Stems: 2. support,3.02,self-supporting,-,,
20,Height: 3. typical maximum (cm),3.05,25,-,,
21,Height: 4. typical minimum (cm),3.06,5,-,,
22,Spread,3.07,height < width,-,,
23,Heterophylly,3.08,none,-,,
24,Leaf shape: 1. type,3.09,compound,-,,
25,Leaf shape: 2. outline,3.1,toothed,-,,
26,Leaf shape: 3. pointed/round,3.11,pointed,-,,
27,Leaf shape: 4. length versus breadth,3.12,length = width,-,,
28,Leaf shape: 5. leaf base,3.13,cuneate,-,,
29,Leaf shape: 6. petiole,3.14,petiolate,-,,
30,Leaf shape: 6. petiole,3.14,subsessile,-,,
31,Leaf area (cm2),3.17,1-10,-,,
32,Leaf longevity: 2. number of months,3.23,2-6,,,
33,Photosynthetic pathway,4.02,C3,-,,
34,Heavy metal resistance,4.05,none,-,,
35,Carnivory,4.06,does not kill insects,-,,
36,Nutrition,4.07,autotrophic,-,,
37,Life-form,5.01,hemicryptophyte,-,,
38,Longevity of stems (yrs),5.02,<1,-,,
39,Flowering time: 1. earliest month,5.07,6,-,,
40,Flowering time: 2. latest month,5.08,7,-,,
41,Pollen viability,5.14,variable,-,,
42,Pollen vector,5.15,insect,-,,
43,Dicliny,5.16,hermaphrodite,-,,
44,Dichogamy,5.17,homogamous,-,,
45,Fertilization,5.19,apomictic,-,,
46,Fertilization,5.19,apomictic,-,,
47,Fertilization,5.19,cross or automatic self,-,,
48,Incompatibility systems,5.22,none,-,,
49,Chromosome number(s): 1. number,5.25,28,,,
50,Chromosome number(s): 1. number,5.25,42,,,
51,Chromosome number(s): 1. number,5.25,48,,,
52,Chromosome number(s): 1. number,5.25,63,-,,
53,Chromosome number(s): 1. number,5.25,64,-,,
54,Seed weight: 3. mean (mg),5.34,0.17,-,,
55,Seed weight: 3. mean (mg),5.34,0.415,,,
56,Normal method of propagation,5.52,seed,-,,
57,Seedbank type,5.53,transient,-,,
58,Flower colour,5.58,yellow,,,
59,Petal no,5.59,5,,,
60,Petal (sepal) size (cm),5.6,0.85,0.7-1,,
61,Stigma number,5.61,numerous,,,
62,Stamen number,5.62,20,10-30,,
63,Sepal number,5.63,5,,,
64,Carpel/Style number,5.64,numerous,,,
65,Inflorescence type,5.65,cyme,,,
66,Response to vertebrate grazing,6.01,decreases,-,,
67,Physical defences on leaves,6.02,hairy,-,,
68,Physical defences on stems,6.03,hairy,-,,
69,Rarity Status,7.02,Scarce,,,
70,Change Index,7.03,-0.21,,,
71,Biome,7.04,Boreo-Arctic Montane,,,
72,Eastern Limit,7.05,Euro-Siberian,,,
73,Continentality,7.06,Not continental,,,
74,Northern Limit in Britain,7.07,No,,,
75,Southern European Limit,7.1,No Data,,,
76,January mean temperature,7.11,0.70,,,
77,July mean temperature,7.12,12,,,
78,Annual precipitation,7.13,1855,,,
79,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
80,Ellenberg Indicator: Light,7.14,8,,,
81,Ellenberg Indicator: Light,7.14,9,,Data calculated for Europe,
82,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
83,Ellenberg : Moisture,7.15,5,,,
84,Ellenberg : Moisture,7.15,5,,Data calculated for Europe,
85,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
86,Ellenberg: pH,7.16,8,,,
87,Ellenberg: pH,7.16,8,,Data calculated for Europe,
88,Ellenberg Indicator: Nitrogen,7.17,2,,,
89,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for the Czech Republic,
90,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for Europe,
91,Ellenberg Indicator: Salt,7.18,0,,,
92,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
93,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
94,Life Form: normal state,7.19,Hemicryptophyte,,,
95,Clonality: normal state,7.21,Little or no vegetative spread,,,
96,Ellenberg: Temperature,7.23,2,,Data calculated for Europe,
97,Ellenberg: Temperature,7.23,4,,Data calculated for the Czech Republic,
98,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
