,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Waterlogging tolerance,1.021,1.2,�0.2,,
2,Shade,1.1,none,,-,
3,Shade tolerance,1.101,2.29,�0.38,,
4,Status,2.01,naturalised,-,-,
5,number of European countries in which native,2.17,18,-,-,
6,Height: 1. extreme maximum (cm),3.03,1000,-,-,
7,Height: 3. typical maximum (cm),3.05,600,-,-,
8,Leaf shape: 1. type,3.09,simple,-,-,
9,Leaf area (cm2),3.17,1-10,,-,
10,Photosynthetic pathway,4.02,C3,-,-,
11,Heavy metal resistance,4.05,none,-,-,
12,Carnivory,4.06,does not kill insects,-,-,
13,Nutrition,4.07,autotrophic,-,-,
14,Drought Tolerance,4.081,4.31,�0.41,,
15,2C DNA content (pg),5.26,0.70,,,
16,Seed weight: 3. mean (mg),5.34,83,,,
17,Seed weight: 3. mean (mg),5.34,83.3,,-,
18,Flower colour,5.58,white,,,
19,Petal no,5.59,5,,,
20,Petal (sepal) size (cm),5.6,0.5,,,
21,Stigma number,5.61,1,,,
22,Stamen number,5.62,20,,,
23,Sepal number,5.63,5,,,
24,Carpel/Style number,5.64,1,,,
25,Inflorescence type,5.65,raceme,sub-corymbose,short,
26,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
27,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
28,Ellenberg : Moisture,7.15,3,,Data calculated for the Czech Republic,
29,Ellenberg : Moisture,7.15,3,,Data calculated for Europe,
30,Ellenberg: pH,7.16,8,,Data calculated for the Czech Republic,
31,Ellenberg: pH,7.16,8,,Data calculated for Europe,
32,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for Europe,
33,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for the Czech Republic,
34,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
35,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
36,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
37,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
38,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
