,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil moisture: 2. drainage,1.03,free-draining,-,-,
2,Salinity,1.05,brackish,-,-,
3,Salinity,1.05,saline,-,-,
4,Salinity,1.05,saline,-,-,
5,Shade,1.1,none,-,-,
6,Altitude: 2. minimum recorded (m),1.13,0,-,-,
7,Altitude: 4. typical minimum (m),1.14,0,-,-,
8,Status,2.01,native,-,-,
9,Typical abundance where naturally occurring,2.02,frequent,-,-,
10,First historical record: 1. date,2.04,1837,-,-,
11,First historical record: 2. site,2.05,"Gosport, Hants",-,-,
12,Range: 3. continents where native,2.11,Europe,-,-,
13,Range: 3. continents where native,2.11,North America,-,-,
14,SN Index,2.13,1.08,-,-,
15,EW Index,2.14,2.99,-,-,
16,British distribution (post 1949 records),2.15,60,-,-,
17,number of European countries in which native,2.17,11,-,-,
18,Stems: 1. woodiness,3.01,non-woody,-,-,
19,Stems: 2. support,3.02,self-supporting,-,-,
20,Height: 3. typical maximum (cm),3.05,50,-,-,
21,Height: 4. typical minimum (cm),3.06,5,-,-,
22,Spread,3.07,height = width,-,-,
23,Heterophylly,3.08,none,-,-,
24,Leaf shape: 1. type,3.09,simple,-,-,
25,Leaf shape: 2. outline,3.1,entire,-,-,
26,Leaf shape: 2. outline,3.1,entire,,,
27,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
28,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
29,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
30,Leaf shape: 6. petiole,3.14,sheathing,-,-,
31,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
32,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
33,Leaf area (cm2),3.17,0.1-1,-,-,
34,Root system,3.24,fibrous,,,
35,Ligule,3.33,0.175,0.1-0.25,blunt,
36,Photosynthetic pathway,4.02,C3,-,-,
37,Heavy metal resistance,4.05,none,-,-,
38,Carnivory,4.06,does not kill insects,-,-,
39,Nutrition,4.07,autotrophic,-,-,
40,Life-form,5.01,hemicryptophyte,-,-,
41,Longevity of stems (yrs),5.02,<1,-,-,
42,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
43,Flowering time: 1. earliest month,5.07,6,-,-,
44,Flowering time: 2. latest month,5.08,6,-,-,
45,Pollen vector,5.15,wind,-,-,
46,Fertilization,5.19,normally self,-,-,
47,Fertilization,5.19,normally self,-,-,
48,Incompatibility systems,5.22,none,-,-,
49,Chromosome number(s): 1. number,5.25,28,-,-,
50,Seed weight: 3. mean (mg),5.34,0.22,,,
51,Seed weight: 3. mean (mg),5.34,0.25,,-,
52,Normal method of propagation,5.52,seed,-,-,
53,Flower colour,5.58,green,"brown, purple, white",,
54,Petal no,5.59,0,,,
55,Petal (sepal) size (cm),5.6,0,,,
56,Stigma number,5.61,2,,,
57,Stamen number,5.62,3,,,
58,Sepal number,5.63,0,,,
59,Carpel/Style number,5.64,2,,,
60,Inflorescence type,5.65,panicle,,"contracted and dense or open, unilateral",
61,"Glume, upper",5.66,0.165,0.15-0.18,"ovate to elliptic, obtuse, 3 nerved",
62,Glume lower,5.67,0.125,0.1-0.15,"ovate to elliptic, obtuse, 1 nerved",
63,Palea,5.68,0.205,0.18-0.23,oblong,
64,Lemma,5.69,0.205,0.18-0.23,"elliptic, obtuse, 5-nerved",
65,Rarity Status,7.02,Scarce,,,
66,Change Index,7.03,-0.51,,,
67,Biome,7.04,Southern Temperate,,,
68,Eastern Limit,7.05,Suboceanic,,,
69,Continentality,7.06,Not continental,,,
70,Northern Limit in Britain,7.07,Yes,,,
71,"Northern European Limit (Lat,5C band)",7.08,55-60,,,
72,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
73,Southern European Limit,7.1,No,,,
74,January mean temperature,7.11,4.5,,,
75,July mean temperature,7.12,16,,,
76,Annual precipitation,7.13,722,,,
77,Ellenberg Indicator: Light,7.14,8,,,
78,Ellenberg : Moisture,7.15,7,,,
79,Ellenberg: pH,7.16,7,,,
80,Ellenberg Indicator: Nitrogen,7.17,7,,,
81,Ellenberg Indicator: Salt,7.18,4,,,
82,Life Form: normal state,7.19,Hemicryptophyte,,,
83,Clonality: normal state,7.21,Tussock forming graminoid,,,
