,Name,Number,Value,Modifier,Notes,Subspecies
0,2C DNA content (pg),5.26,8.35,,,
1,Seed weight: 3. mean (mg),5.34,4.4296,,,
2,Flower colour,5.58,white,,,
3,Petal no,5.59,5,,,
4,Petal (sepal) size (cm),5.6,0.875,0.5-1.25,,
5,Stigma number,5.61,numerous,,,
6,Stamen number,5.62,numerous,,,
7,Sepal number,5.63,5,,,
8,Carpel/Style number,5.64,numerous,,,
9,Inflorescence type,5.65,panicle,,cymose,
10,Ellenberg Indicator: Light,7.14,6,,Data calculated for Europe,
11,Ellenberg Indicator: Light,7.14,6x,,Data calculated for the Czech Republic,
12,Ellenberg : Moisture,7.15,8,,Data calculated for the Czech Republic,
13,Ellenberg : Moisture,7.15,8,,Data calculated for Europe,
14,Ellenberg: pH,7.16,4,,Data calculated for the Czech Republic,
15,Ellenberg: pH,7.16,5,,Data calculated for Europe,
16,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for the Czech Republic,
17,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for Europe,
18,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
19,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
20,Ellenberg: Temperature,7.23,4,,Data calculated for the Czech Republic,
21,Ellenberg: Temperature,7.23,4,,Data calculated for Europe,
22,Ellenberg: Continetality,7.24,2,,Data calculated for Europe,
