,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 2. minimum recorded (m),1.13,0,-,-,
4,Altitude: 4. typical minimum (m),1.14,0,-,-,
5,Status,2.01,native,-,-,
6,Dynamics,2.03,declining,-,-,
7,First historical record: 1. date,2.04,1634,-,-,
8,Range: 3. continents where native,2.11,Africa,North,-,
9,Range: 3. continents where native,2.11,Europe,-,-,
10,Range: 3. continents where native,2.11,Macaronesia,-,-,
11,Range: 4. continents where introduced,2.12,Australasia,New Zealand,-,
12,Range: 4. continents where introduced,2.12,North America,-,-,
13,SN Index,2.13,.87,-,-,
14,EW Index,2.14,7.04,-,-,
15,British distribution (post 1949 records),2.15,218,-,-,
16,number of European countries in which native,2.17,13,-,-,
17,Stems: 1. woodiness,3.01,non-woody,-,-,
18,Stems: 2. support,3.02,decumbent,-,-,
19,Stems: 2. support,3.02,self-supporting,-,-,
20,Height: 3. typical maximum (cm),3.05,40,-,-,
21,Height: 4. typical minimum (cm),3.06,10,-,-,
22,Spread,3.07,height < width,-,-,
23,Heterophylly,3.08,none,-,-,
24,Leaf shape: 1. type,3.09,simple,-,-,
25,Leaf shape: 2. outline,3.1,lobed and toothed,-,-,
26,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
27,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
28,Leaf shape: 5. leaf base,3.13,cordate,-,-,
29,Leaf shape: 6. petiole,3.14,petiolate,-,-,
30,Stomata: 1. surfaces present,3.19,both,-,-,
31,Stomata: 2. density on lower surface(no/mm2),3.2,70,50-90,-,
32,Stomata: 3. density on upper surface (no/mm2),3.21,16,14-18,-,
33,Root system,3.24,fibrous,-,-,
34,Root depth: 1. type,3.25,shallow,-,-,
35,Root depth: 2. depth (cm),3.26,0-10,-,-,
36,Photosynthetic pathway,4.02,C3,-,-,
37,Heavy metal resistance,4.05,none,-,-,
38,Carnivory,4.06,does not kill insects,-,-,
39,Nutrition,4.07,autotrophic,-,-,
40,Life-form,5.01,therophyte,-,-,
41,Longevity of stems (yrs),5.02,<1,-,-,
42,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
43,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
44,Flowering time: 1. earliest month,5.07,4,-,-,
45,Flowering time: 2. latest month,5.08,12,-,-,
46,Flowering time: 2. latest month,5.08,6,-,-,
47,Pollen vector,5.15,insect,-,-,
48,Dicliny,5.16,hermaphrodite,-,-,
49,Dichogamy,5.17,markedly protandrous,-,-,
50,Chromosome number(s): 1. number,5.25,28,,-,
51,2C DNA content (pg),5.26,12.5,2n=28,-,
52,Appendages on dispersal unit,5.27,hooks,-,-,
53,Time of seed dispersal (season),5.28,summer,-,-,
54,Dispersule size - length of longest axis (mm),5.3,2.8,achene,-,
55,Seed size - length of longest axis (mm),5.31,2.8,achene,-,
56,Seed weight: 3. mean (mg),5.34,0.6,-,-,
57,Seed weight: 3. mean (mg),5.34,1.184,,,
58,Seed production: 1. maximum (/flower),5.35,18,-,-,
59,Seed production: 3. typical range (/plant),5.37,100-1000,-,-,
60,Dispersal agent,5.38,carried by mammals,-,-,
61,Dispersal agent,5.38,rainwash,-,-,
62,Time of germination (season),5.39,autumn,-,-,
63,Normal method of propagation,5.52,seed,-,-,
64,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
65,Seedbank type,5.53,transient,-,-,
66,Maximum seedbank density (m2),5.54,213,-,-,
67,Minimum seedbank density (m2),5.55,213,-,-,
68,Mean seedbank density (m2),5.56,213,-,-,
69,Flower colour,5.58,yellow,,,
70,Petal no,5.59,5,,,
71,Petal (sepal) size (cm),5.6,0.225,0.15-0.3,,
72,Stigma number,5.61,numerous,,,
73,Stamen number,5.62,numerous,,,
74,Sepal number,5.63,5,,,
75,Carpel/Style number,5.64,numerous,,,
76,Inflorescence type,5.65,panicle,,cymose,
77,Physical defences on leaves,6.02,soft hairs,-,-,
78,Physical defences on stems,6.03,hairy,-,-,
79,Rarity Status,7.02,Present,,,
80,Change Index,7.03,-0.08,,,
81,Biome,7.04,Southern Temperate,,,
82,Eastern Limit,7.05,Suboceanic,,,
83,Continentality,7.06,Not continental,,,
84,Northern Limit in Britain,7.07,No,,,
85,"Northern European Limit (Lat,5C band)",7.08,60-65,,,
86,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
87,Southern European Limit,7.1,No,,,
88,January mean temperature,7.11,4.3,,,
89,July mean temperature,7.12,16,,,
90,Annual precipitation,7.13,834,,,
91,Ellenberg Indicator: Light,7.14,7,,,
92,Ellenberg : Moisture,7.15,5,,,
93,Ellenberg: pH,7.16,6,,,
94,Ellenberg Indicator: Nitrogen,7.17,5,,,
95,Ellenberg Indicator: Salt,7.18,0,,,
96,Life Form: normal state,7.19,Therophyte,,,
97,Clonality: normal state,7.21,Little or no vegetative spread,,,
