,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Water nutrients,1.01A,oligotrophic,-,-,
3,Soil moisture: 3. supply,1.04,seasonal,-,-,
4,Salinity,1.05,fresh,-,-,
5,Shade,1.10,none,-,-,
6,Flow,1.15A,nil,-,-,
7,Flow,1.15A,slight,-,-,
8,Status,2.01,native,-,-,
9,Dynamics,2.03,declining,-,-,
10,First historical record: 1. date,2.04,1848,-,-,
11,First historical record: 2. site,2.05,"Claremont House, Surrey",-,-,
12,Range: 3. continents where native,2.11,Europe,-,-,
13,SN Index,2.13,.94,-,-,
14,EW Index,2.14,7.33,-,-,
15,British distribution (post 1949 records),2.15,19,-,-,
16,number of European countries in which native,2.17,8,-,-,
17,Stems: 1. woodiness,3.01,non-woody,-,-,
18,Stems: 2. support,3.02,creeping,-,-,
19,Leaf position,3.02A,floating,-,-,
20,Leaf position,3.02A,submerged,-,-,
21,Height: 3. typical maximum (cm),3.05,60,,length,
22,Height: 4. typical minimum (cm),3.06,5,,,
23,Spread,3.07,height < width,-,-,
24,Heterophylly,3.08,environmental,-,-,
25,Leaf shape: 1. type,3.09,compound,-,-,
26,Leaf shape: 1. type,3.09,simple,-,-,
27,Leaf shape: 2. outline,3.10,lobed,-,-,
28,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
29,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
30,Leaf shape: 5. leaf base,3.13,cordate,-,-,
31,Leaf shape: 6. petiole,3.14,petiolate,-,-,
32,Photosynthetic pathway,4.02,C3,-,-,
33,Heavy metal resistance,4.05,none,-,-,
34,Carnivory,4.06,does not kill insects,-,-,
35,Nutrition,4.07,autotrophic,-,-,
36,Life-form,5.01,hydrophyte,-,-,
37,Life-form,5.01,therophyte,-,-,
38,Longevity of stems (yrs),5.02,<1,-,-,
39,Flowering time: 1. earliest month,5.07,3,-,-,
40,Flowering time: 2. latest month,5.08,5,-,-,
41,Pollen vector,5.15,insect,-,-,
42,Dicliny,5.16,hermaphrodite,-,-,
43,Chromosome number(s): 1. number,5.25,48,-,-,
44,2C DNA content (pg),5.26,9.0,2n=48,-,
45,Seed size - length of longest axis (mm),5.31,1.8,achene,-,
46,Seed weight: 3. mean (mg),5.34,0.4135659,,,
47,Time of germination (season),5.39,autumn,-,-,
48,Flower colour,5.58,white,yellow,,
49,Petal no,5.59,5,,,
50,Stigma number,5.61,numerous,,,
51,Stamen number,5.62,0.287,0.125-0.45,,
52,Stamen number,5.62,numerous,,,
53,Sepal number,5.63,5,,,
54,Carpel/Style number,5.64,numerous,,,
55,Inflorescence type,5.65,solitary,,lf opposed,
56,Physical defences on leaves,6.02,glabrous,,,
57,Physical defences on stems,6.03,glabrous,,,
58,Physical defences on flowers/fruits,6.04,glabrous,-,-,
59,Physical defences on buds,6.05,glabrous,,,
60,Conservation Status,7.01,Vulnerable,,,
61,Rarity Status,7.02,Scarce,,,
62,Change Index,7.03,-1.09,,,
63,Biome,7.04,Southern Temperate,,,
64,Eastern Limit,7.05,Oceanic,,,
65,Continentality,7.06,Not continental,,,
66,Northern Limit in Britain,7.07,No,,,
67,"Northern European Limit (Lat,5C band)",7.08,>65,,,
68,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
69,Southern European Limit,7.10,No,,,
70,January mean temperature,7.11,5.2,,,
71,July mean temperature,7.12,16,,,
72,Annual precipitation,7.13,1024,,,
73,Ellenberg Indicator: Light,7.14,9,,,
74,Ellenberg : Moisture,7.15,10,,,
75,Ellenberg: pH,7.16,6,,,
76,Ellenberg Indicator: Nitrogen,7.17,3,,,
77,Ellenberg Indicator: Salt,7.18,0,,,
78,Life Form: normal state,7.19,Hz,,,
79,Clonality: normal state,7.21,Little or no vegetative spread,,,
