,Name,Number,Value,Modifier,Notes,Subspecies
0,Shade,1.1,none,-,-,
1,Status,2.01,naturalised,-,-,
2,number of European countries in which native,2.17,16,-,-,
3,Stems: 2. support,3.02,self-supporting,-,-,
4,Height: 3. typical maximum (cm),3.05,80,-,-,
5,Photosynthetic pathway,4.02,C3,-,-,
6,Heavy metal resistance,4.05,none,-,-,
7,Carnivory,4.06,does not kill insects,-,-,
8,Nutrition,4.07,autotrophic,-,-,
9,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
10,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
11,Chromosome number(s): 1. number,5.25,16,,-,
12,Dispersule size - length of longest axis (mm),5.3,7.0,"fruit, 4-10mm long",-,
13,Seed weight: 3. mean (mg),5.34,1,,,
14,Seed weight: 3. mean (mg),5.34,2.6,,,
15,Normal method of propagation,5.52,seed,-,-,
16,Flower colour,5.58,yellow,,,
17,Petal no,5.59,4,,,
18,Petal (sepal) size (cm),5.6,0.75,0.6-0.9,,
19,Stigma number,5.61,2,capitate,,
20,Stamen number,5.62,6,,,
21,Sepal number,5.63,4,,,
22,Carpel/Style number,5.64,1,,,
23,Inflorescence type,5.65,raceme,,,
24,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
25,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
26,Ellenberg : Moisture,7.15,3,,Data calculated for the Czech Republic,
27,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
28,Ellenberg: pH,7.16,8,,Data calculated for the Czech Republic,
29,Ellenberg: pH,7.16,8,,Data calculated for Europe,
30,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for Europe,
31,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
32,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
33,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
34,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
35,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
36,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
