,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,304,-,-,
4,Status,2.01,native,-,-,
5,Typical abundance where naturally occurring,2.02,scattered,-,-,
6,First historical record: 1. date,2.04,1597,-,-,
7,Range: 3. continents where native,2.11,Europe,-,-,
8,SN Index,2.13,3.27,-,-,
9,EW Index,2.14,1.9,-,-,
10,number of European countries in which native,2.17,19,-,-,
11,Stems: 1. woodiness,3.01,non-woody,-,-,
12,Stems: 2. support,3.02,self-supporting,-,-,
13,Height: 3. typical maximum (cm),3.05,60,-,-,
14,Height: 4. typical minimum (cm),3.06,20,-,-,
15,Spread,3.07,height > width,-,-,
16,Heterophylly,3.08,none,-,-,
17,Leaf shape: 1. type,3.09,simple,-,-,
18,Leaf shape: 2. outline,3.1,toothed,-,-,
19,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
20,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
21,Leaf shape: 5. leaf base,3.13,rounded,-,-,
22,Leaf shape: 6. petiole,3.14,sessile,-,-,
23,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
24,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
25,Leaf area (cm2),3.17,1-10,-,-,
26,Photosynthetic pathway,4.02,C3,-,-,
27,Heavy metal resistance,4.05,none,-,-,
28,Carnivory,4.06,does not kill insects,-,-,
29,Nutrition,4.07,hemi-parasitic,-,-,
30,Life-form,5.01,therophyte,-,-,
31,Longevity of stems (yrs),5.02,<1,-,-,
32,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
33,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
34,Flowering time: 1. earliest month,5.07,6,-,-,
35,Flowering time: 2. latest month,5.08,9,-,-,
36,Pollen vector,5.15,insect,-,-,
37,Dicliny,5.16,hermaphrodite,-,-,
38,Dichogamy,5.17,protogynous,-,-,
39,Fertilization,5.19,normally cross,-,-,
40,Chromosome number(s): 1. number,5.25,22,,-,
41,Seed weight: 3. mean (mg),5.34,2.1401,,,
42,Seed weight: 3. mean (mg),5.34,2.3,-,-,
43,Time of germination (season),5.39,spring,,-,
44,Normal method of propagation,5.52,seed,-,-,
45,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
46,Seedbank type,5.53,transient,-,-,
47,Maximum seedbank density (m2),5.54,1118,-,-,
48,Minimum seedbank density (m2),5.55,156,-,-,
49,Mean seedbank density (m2),5.56,412,-,-,
50,Flower colour,5.58,yellow,"white, violet",,
51,Petal no,5.59,5,,"fused, bilabiate",
52,Petal (sepal) size (cm),5.6,1.85,1.7-2,,
53,Stigma number,5.61,1,,,
54,Stamen number,5.62,4,,,
55,Sepal number,5.63,4,,fused,
56,Carpel/Style number,5.64,1,,,
57,Inflorescence type,5.65,spike,,"terminal, lfy",
58,Physical defences on leaves,6.02,glabrous,-,-,
59,Physical defences on stems,6.03,glabrous,-,-,
60,Change Index,7.03,-0.10,,,
61,Biome,7.04,Boreo-Temperate,,,
62,Eastern Limit,7.05,Euro-Siberian,,,
63,Continentality,7.06,Not continental,,,
64,Northern Limit in Britain,7.07,No,,,
65,"Northern European Limit (Lat,5C band)",7.08,>65,,,
66,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
67,Southern European Limit,7.1,No,,,
68,January mean temperature,7.11,3.1,,,
69,July mean temperature,7.12,15,,,
70,Annual precipitation,7.13,809,,,
71,Ellenberg Indicator: Light,7.14,7,,,
72,Ellenberg : Moisture,7.15,6,,,
73,Ellenberg: pH,7.16,7,,,
74,Ellenberg Indicator: Nitrogen,7.17,2,,,
75,Ellenberg Indicator: Salt,7.18,0,,,
76,Life Form: normal state,7.19,Therophyte,,,
77,Clonality: normal state,7.21,Little or no vegetative spread,,,
