,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,,
1,Soil nutrients,1.01,infertile,-,,
2,Soil nutrients,1.01,very fertile,-,,
3,Waterlogging tolerance,1.021,1.77,,,
4,Shade,1.1,light,-,,
5,Shade,1.1,mid,-,,
6,Shade,1.1,none,-,,
7,Shade tolerance,1.101,1.93,�0.38,,
8,Altitude: 1. maximum recorded (m),1.12,548,-,,
9,Altitude: 2. minimum recorded (m),1.13,0,-,,
10,Altitude: 4. typical minimum (m),1.14,0,-,,
11,Status,2.01,native,-,,
12,Typical abundance where naturally occurring,2.02,frequent,-,,
13,First historical record: 1. date,2.04,1538,-,,
14,Range: 3. continents where native,2.11,Africa,-,,
15,Range: 3. continents where native,2.11,Asia,-,,
16,Range: 3. continents where native,2.11,Europe,-,,
17,Range: 4. continents where introduced,2.12,North America,-,,
18,SN Index,2.13,2.55,-,,
19,EW Index,2.14,4.85,-,,
20,number of European countries in which native,2.17,29,-,,
21,Stems: 1. woodiness,3.01,woody,-,,
22,Stems: 2. support,3.02,self-supporting,-,,
23,Height: 3. typical maximum (cm),3.05,300,-,,
24,Height: 4. typical minimum (cm),3.06,100,-,,
25,Spread,3.07,height > width,-,,
26,Heterophylly,3.08,none,-,,
27,Leaf shape: 1. type,3.09,compound,-,,
28,Leaf shape: 2. outline,3.1,toothed,-,,
29,Leaf shape: 3. pointed/round,3.11,pointed,-,,
30,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,,
31,Leaf shape: 5. leaf base,3.13,rounded,-,,
32,Leaf shape: 6. petiole,3.14,petiolate,-,,
33,Leaf area (cm2),3.17,10-100,-,,
34,Stomata: 1. surfaces present,3.19,lower,-,,
35,Stomata: 1. surfaces present,3.19,lower,,,
36,Stomata: 2. density on lower surface(no/mm2),3.2,150.74,,,
37,Stomata: 2. density on lower surface(no/mm2),3.2,89,-,,
38,Stomata: 3. density on upper surface (no/mm2),3.21,0,-,,
39,Leaf longevity: 1. type,3.22,semi-evergreen,-,,
40,Photosynthetic pathway,4.02,C3,-,,
41,Heavy metal resistance,4.05,none,-,,
42,Carnivory,4.06,does not kill insects,-,,
43,Nutrition,4.07,autotrophic,-,,
44,Drought Tolerance,4.081,3.46,�0.42,,
45,Life-form,5.01,phanerophyte,-,,
46,Mono/poly-carpic,5.04,polycarpic,-,,
47,Flowering time: 1. earliest month,5.07,6,-,,
48,Flowering time: 2. latest month,5.08,7,-,,
49,Pollen vector,5.15,insect,-,,
50,Pollen vector,5.15,selfed,-,,
51,Dicliny,5.16,hermaphrodite,-,,
52,Dichogamy,5.17,homogamous,-,,
53,Fertilization,5.19,obligatory cross,-,,
54,Incompatibility systems,5.22,"present, mechanism unknown",-,,
55,Chromosome number(s): 1. number,5.25,35,-,,
56,2C DNA content (pg),5.26,2.85,,,
57,Time of seed dispersal (season),5.28,autumn,-,,
58,Time of seed dispersal (season),5.28,winter,-,,
59,Dispersule size - length of longest axis (mm),5.3,24,fruit,,
60,Seed size - length of longest axis (mm),5.31,7.5,achene,,
61,Seed weight: 3. mean (mg),5.34,16,,,
62,Seed weight: 3. mean (mg),5.34,17.2698,,,
63,Seed weight: 3. mean (mg),5.34,19,-,,
64,Seed weight: 3. mean (mg),5.34,24,-,,
65,Seed production: 1. maximum (/flower),5.35,28,-,,
66,Seed production: 2. typical range (/flower),5.36,10-100,average 16.5,,
67,Dispersal agent,5.38,eaten by birds,-,,
68,Time of germination (season),5.39,spring,,,
69,Seedbank type,5.53,transient,-,,
70,Flower colour,5.58,white,pink,,
71,Petal no,5.59,5,,,
72,Petal (sepal) size (cm),5.6,2.25,1.5-3,,
73,Stigma number,5.61,numerous,,,
74,Stamen number,5.62,numerous,,,
75,Sepal number,5.63,5,,,
76,Carpel/Style number,5.64,numerous,,,
77,Inflorescence type,5.65,corymb,,,
78,Physical defences on leaves,6.02,glabrous,-,,
79,Physical defences on leaves,6.02,soft hairs,may be present on lower epidermis,,
80,Physical defences on stems,6.03,prickles,-,,
81,Ellenberg Indicator: Light,7.14,7x,,Data calculated for the Czech Republic,
82,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
83,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
84,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
85,Ellenberg: pH,7.16,7x,,Data calculated for the Czech Republic,
86,Ellenberg: pH,7.16,,,Data calculated for Europe,
87,Ellenberg Indicator: Nitrogen,7.17,4x,,Data calculated for the Czech Republic,
88,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
89,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
90,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
91,Ellenberg: Temperature,7.23,5,,Data calculated for the Czech Republic,
92,Ellenberg: Temperature,7.23,5,,Data calculated for Europe,
93,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
