,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,,
1,Soil nutrients,1.01,infertile,-,,
2,Soil nutrients,1.01,very fertile,-,,
3,Soil pH: 1. extreme maximum,1.06,8.3,-,,
4,Soil pH: 2. extreme minimum,1.07,3.2,-,,
5,Soil pH: 3. typical maximum,1.08,6.5,-,,
6,Soil pH: 4. typical minimum,1.09,4.1,-,,
7,Shade,1.1,deep,-,,
8,Shade,1.1,light,-,,
9,Shade,1.1,mid,-,,
10,Shade,1.1,none,-,,
11,Altitude: 1. maximum recorded (m),1.12,450,-,,
12,Status,2.01,native,-,,
13,Typical abundance where naturally occurring,2.02,dominant,-,,
14,Range: 4. continents where introduced,2.12,Australasia,,,
15,SN Index,2.13,3.59,-,,
16,EW Index,2.14,4.59,-,,
17,Medicinal Use,2.18,cancer,,,
18,Medicinal Use,2.18,colds,,,
19,Medicinal Use,2.18,coughs,,,
20,Medicinal Use,2.18,heartburn,,,
21,Medicinal Use,2.18,sore eyes,,,
22,Medicinal Use,2.18,sore throat,,,
23,Stems: 1. woodiness,3.01,woody,-,,
24,Stems: 2. support,3.02,self-supporting,-,,
25,Height: 1. extreme maximum (cm),3.03,300,-,,
26,Height: 3. typical maximum (cm),3.05,200,-,,
27,Spread,3.07,height = width,-,,
28,Heterophylly,3.08,none,-,,
29,Leaf shape: 1. type,3.09,compound,-,,
30,Leaf shape: 2. outline,3.1,toothed,-,,
31,Leaf shape: 3. pointed/round,3.11,pointed,-,,
32,Leaf shape: 4. length versus breadth,3.12,length = width,-,,
33,Leaf shape: 5. leaf base,3.13,rounded,-,,
34,Leaf shape: 6. petiole,3.14,petiolate,-,,
35,Stomata: 1. surfaces present,3.19,lower,-,,
36,Stomata: 3. density on upper surface (no/mm2),3.21,0,-,,
37,Leaf longevity: 1. type,3.22,semi-evergreen,-,,
38,Photosynthetic pathway,4.02,C3,-,,
39,Mature leaf N concentration (mg/g),4.03,20-30,-,,
40,Mature leaf P concentration (mg/g),4.04,1-2,-,,
41,Heavy metal resistance,4.05,none,-,,
42,Carnivory,4.06,does not kill insects,-,,
43,Nutrition,4.07,autotrophic,-,,
44,Life-form,5.01,phanerophyte,-,,
45,Age at first flowering,5.03,2-5 yrs,-,,
46,Mono/poly-carpic,5.04,polycarpic,-,,
47,Vegetative reproduction/persistence: 1. method,5.05,rooting stems,-,,
48,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,,
49,Flowering time: 1. earliest month,5.07,5,-,,
50,Flowering time: 2. latest month,5.08,9,-,,
51,Pollen: 2. diameter (um),5.13,27.6,,,
52,Pollen vector,5.15,insect,-,,
53,Dicliny,5.16,hermaphrodite,-,,
54,Fertilization,5.19,apomictic,-,,
55,Fertilization,5.19,normally cross,-,,
56,Time of seed dispersal (season),5.28,autumn,-,,
57,Dispersule size - length of longest axis (mm),5.3,15.5,fruit,,
58,Seed weight: 3. mean (mg),5.34,2.23,,,
59,Seed weight: 3. mean (mg),5.34,2.8,-,,
60,Seed production: 2. typical range (/flower),5.36,10-100,average 30,,
61,Dispersal agent,5.38,eaten by birds,-,,
62,Dispersal agent,5.38,eaten by mammals,,,
63,Time of germination (season),5.39,spring,-,,
64,Germination requirements 1. chilling,5.45,absolute,-,,
65,Germination type,5.48,epigeal,-,,
66,Seed viability,5.49,much non-viable,-,,
67,Normal method of propagation,5.52,seed and vegetative,-,,
68,Seedbank type,5.53,long-term persistent,-,,
69,Seedbank type,5.53,"seedbank present, type uncertain",-,,
70,Seedbank type,5.53,short-term persistent,-,,
71,Seedbank type,5.53,transient,-,,
72,Maximum seedbank density (m2),5.54,1440,-,,
73,Minimum seedbank density (m2),5.55,6,-,,
74,Mean seedbank density (m2),5.56,168,-,,
75,Flower colour,5.58,White,pink,,
76,Petal no,5.59,5,,,
77,Petal (sepal) size (cm),5.6,1,,,
78,Stigma number,5.61,numerous,,,
79,Stamen number,5.62,Numerous,,,
80,Sepal number,5.63,5,,,
81,Carpel/Style number,5.64,Numerous,,,
82,Inflorescence type,5.65,raceme,sub-racemose,,
