,Name,Number,Value,Modifier,Notes,Subspecies
0,Waterlogging tolerance,1.021,2.75,�0.25,,
1,Shade tolerance,1.101,2.86,�0.14,,
2,Status,2.01,naturalised,-,,
3,Range: 3. continents where native,2.11,North America,-,,
4,Range: 4. continents where introduced,2.12,Europe,-,,
5,SN Index,2.13,6.39,-,,
6,EW Index,2.14,5.48,-,,
7,Stems: 1. woodiness,3.01,woody,-,,
8,Stems: 2. support,3.02,self-supporting,-,,
9,Photosynthetic pathway,4.02,C3,-,,
10,Heavy metal resistance,4.05,none,-,,
11,Carnivory,4.06,does not kill insects,-,,
12,Nutrition,4.07,autotrophic,-,,
13,Drought Tolerance,4.081,2.6,�0.4,,
14,Life-form,5.01,phanerophyte,-,,
15,Mono/poly-carpic,5.04,polycarpic,-,,
16,Dicliny,5.16,hermaphrodite,-,,
17,Fertilization,5.19,obligatory cross,-,,
18,Incompatibility systems,5.22,"present, mechanism unknown",-,,
19,2C DNA content (pg),5.26,0.54,,,
20,Seed weight: 3. mean (mg),5.34,3.06,,,
21,Flower colour,5.58,pink,,,
22,Petal no,5.59,5,,,
23,Petal (sepal) size (cm),5.6,1.25,1-1.5,,
24,Stigma number,5.61,numerous,,,
25,Stamen number,5.62,Numerous,,,
26,Sepal number,5.63,5,,,
27,Carpel/Style number,5.64,Numerous,,,
28,Inflorescence type,5.65,panicle,,,
29,Inflorescence type,5.65,solitary,,,
30,Biome,7.04,Mediterranean,,,
31,Eastern Limit,7.05,Hyperoceanic,,,
32,Continentality,7.06,Not continental,,,
33,Northern Limit in Britain,7.07,No,,,
34,"Northern European Limit (Lat,5C band)",7.08,55-60,,,
35,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
36,Southern European Limit,7.1,No,,,
37,January mean temperature,7.11,3.4,,,
38,July mean temperature,7.12,14,,,
39,Annual precipitation,7.13,1162,,,
40,Ellenberg Indicator: Light,7.14,6,,,
41,Ellenberg : Moisture,7.15,6,,,
42,Ellenberg: pH,7.16,5,,,
43,Ellenberg Indicator: Nitrogen,7.17,5,,,
44,Ellenberg Indicator: Salt,7.18,0,,,
45,Life Form: normal state,7.19,Nanophanerophyte,,,
46,Clonality: normal state,7.21,Tip rooting (stems often turn downwards),,,
