,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Shade,1.1,light,-,-,
3,Shade,1.1,none,-,-,
4,Altitude: 1. maximum recorded (m),1.12,563,-,-,
5,Altitude: 2. minimum recorded (m),1.13,0,-,-,
6,Altitude: 4. typical minimum (m),1.14,0,-,-,
7,Status,2.01,native,-,-,
8,Dynamics,2.03,increasing,perhaps,-,
9,Dynamics,2.03,increasing,-,-,
10,First historical record: 1. date,2.04,1562,-,-,
11,Range: 3. continents where native,2.11,Africa,-,-,
12,Range: 3. continents where native,2.11,Asia,-,-,
13,Range: 3. continents where native,2.11,Europe,-,-,
14,Range: 3. continents where native,2.11,Macaronesia,-,-,
15,Range: 4. continents where introduced,2.12,Australasia,-,-,
16,Range: 4. continents where introduced,2.12,North America,-,-,
17,Range: 4. continents where introduced,2.12,South America,-,-,
18,SN Index,2.13,3.78,-,-,
19,EW Index,2.14,4.49,-,-,
20,number of European countries in which native,2.17,28,-,-,
21,Medicinal Use,2.18,bleeding,,,
22,Medicinal Use,2.18,bruises,,,
23,Medicinal Use,2.18,rashes,,,
24,Medicinal Use,2.18,stings,,,
25,Medicinal Use,2.18,warts,,,
26,Stems: 1. woodiness,3.01,non-woody,-,-,
27,Stems: 2. support,3.02,self-supporting,-,-,
28,Height: 1. extreme maximum (cm),3.03,150,-,-,
29,Height: 3. typical maximum (cm),3.05,120,-,-,
30,Height: 4. typical minimum (cm),3.06,15,-,-,
31,Spread,3.07,height > width,-,-,
32,Heterophylly,3.08,developmental,-,-,
33,Leaf shape: 1. type,3.09,simple,-,-,
34,Leaf shape: 2. outline,3.1,entire,-,-,
35,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
36,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
37,Leaf shape: 5. leaf base,3.13,cordate,-,-,
38,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
39,Leaf shape: 5. leaf base,3.13,rounded,-,-,
40,Leaf shape: 5. leaf base,3.13,truncate,-,-,
41,Leaf shape: 6. petiole,3.14,petiolate,-,-,
42,Leaf area (cm2),3.17,10-100,-,-,
43,Leaf area (cm2),3.17,100-1000,-,-,
44,Stomata: 1. surfaces present,3.19,both,-,-,
45,Stomata: 2. density on lower surface(no/mm2),3.2,388,-,-,
46,Stomata: 3. density on upper surface (no/mm2),3.21,88,-,-,
47,Leaf longevity: 1. type,3.22,evergreen,-,-,
48,Root system,3.24,tap root,-,-,
49,Root system,3.24,tap root,-,-,
50,Root depth: 1. type,3.25,deep,-,-,
51,Root depth: 1. type,3.25,deep,-,-,
52,Root depth: 2. depth (cm),3.26,>100,-,-,
53,Fine root diameter (um),3.27,100-150,-,-,
54,Seedling growth rate - maximum (/d),4.01,0.213,-,-,
55,Photosynthetic pathway,4.02,C3,-,-,
56,Heavy metal resistance,4.05,none,-,-,
