,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Salinity,1.05,brackish,,-,
3,Soil pH: 1. extreme maximum,1.06,7.32,-,-,
4,Water pH: 1. extreme maximum,1.06A,7.12,-,-,
5,Soil pH: 2. extreme minimum,1.07,4.96,-,-,
6,Water pH: 2. extreme minimum,1.07A,5.16,-,-,
7,Soil pH: 3. typical maximum,1.08,7.23,-,-,
8,Water pH: 3. typical maximum,1.08A,6.93,-,-,
9,Soil pH: 4. typical minimum,1.09,5.81,-,-,
10,Water pH: 4. typical minimum,1.09A,5.73,-,-,
11,Shade,1.10,none,-,-,
12,Altitude: 1. maximum recorded (m),1.12,640,-,-,
13,Altitude: 2. minimum recorded (m),1.13,0,-,-,
14,Altitude: 4. typical minimum (m),1.14,0,-,-,
15,Status,2.01,native,-,-,
16,Typical abundance where naturally occurring,2.02,scattered,-,-,
17,Dynamics,2.03,declining,-,-,
18,First historical record: 1. date,2.04,1633,-,-,
19,First historical record: 2. site,2.05,"Wellingborough, Northants.",-,-,
20,Range: 3. continents where native,2.11,Europe,-,-,
21,SN Index,2.13,4.58,-,-,
22,EW Index,2.14,4.52,-,-,
23,number of European countries in which native,2.17,21,-,-,
24,Stems: 1. woodiness,3.01,non-woody,-,-,
25,Stems: 2. support,3.02,procumbent,-,-,
26,Height: 1. extreme maximum (cm),3.03,35,-,-,
27,Height: 3. typical maximum (cm),3.05,15,-,-,
28,Height: 4. typical minimum (cm),3.06,5,-,-,
29,Spread,3.07,height = width,-,-,
30,Heterophylly,3.08,none,-,-,
31,Leaf shape: 1. type,3.09,simple,-,-,
32,Leaf shape: 2. outline,3.10,entire,-,-,
33,Leaf shape: 3. pointed/round,3.11,mucronate,-,-,
34,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
35,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
36,Leaf shape: 6. petiole,3.14,sessile,-,-,
37,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
38,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
39,Leaf area (cm2),3.17,<0.1,-,-,
40,Leaf longevity: 1. type,3.22,evergreen,-,-,
41,Photosynthetic pathway,4.02,C3,-,-,
42,Heavy metal resistance,4.05,none,-,-,
43,Carnivory,4.06,does not kill insects,-,-,
