,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,822,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Altitude: 4. typical minimum (m),1.14,0,-,-,
6,Status,2.01,native,-,-,
7,Typical abundance where naturally occurring,2.02,scattered,-,-,
8,First historical record: 1. date,2.04,1688,-,-,
9,First historical record: 2. site,2.05,"Tinmouth, Northumberland",-,-,
10,Range: 3. continents where native,2.11,Europe,-,-,
11,SN Index,2.13,5.56,-,-,
12,EW Index,2.14,6.96,-,-,
13,number of European countries in which native,2.17,23,-,-,
14,Stems: 1. woodiness,3.01,non-woody,-,-,
15,Stems: 2. support,3.02,decumbent,-,-,
16,Height: 1. extreme maximum (cm),3.03,12.5,-,-,
17,Height: 3. typical maximum (cm),3.05,7.5,-,-,
18,Height: 4. typical minimum (cm),3.06,2,-,-,
19,Spread,3.07,height < width,-,-,
20,Heterophylly,3.08,none,-,-,
21,Leaf shape: 1. type,3.09,simple,-,-,
22,Leaf shape: 2. outline,3.1,entire,-,-,
23,Leaf shape: 3. pointed/round,3.11,mucronate,-,-,
24,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
25,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
26,Leaf shape: 6. petiole,3.14,sessile,-,-,
27,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
28,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
29,Leaf area (cm2),3.17,<0.1,-,-,
30,Photosynthetic pathway,4.02,C3,-,-,
31,Heavy metal resistance,4.05,none,-,-,
32,Carnivory,4.06,does not kill insects,-,-,
33,Nutrition,4.07,autotrophic,-,-,
34,Life-form,5.01,chamaephyte,-,-,
35,Vegetative reproduction/persistence: 1. method,5.05,creeping stock,-,-,
36,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
37,Flowering time: 1. earliest month,5.07,6,-,-,
38,Flowering time: 2. latest month,5.08,8,-,-,
39,Pollen vector,5.15,selfed,-,-,
40,Dicliny,5.16,hermaphrodite,-,-,
41,Dichogamy,5.17,homogamous,-,-,
42,Fertilization,5.19,normally self,-,-,
43,Incompatibility systems,5.22,none,-,-,
44,Chromosome number(s): 1. number,5.25,22,,-,
45,Dispersule size - length of longest axis (mm),5.3,0.4,seed,-,
46,Seed size - length of longest axis (mm),5.31,0.4,seed,-,
47,Seed weight: 3. mean (mg),5.34,0.027,,,
48,Flower colour,5.58,white,,,
49,Petal no,5.59,5,,,
50,Petal (sepal) size (cm),5.6,0.225,0.2-0.25,,
51,Stigma number,5.61,5,,,
52,Stamen number,5.62,10,,,
53,Sepal number,5.63,5,,,
54,Carpel/Style number,5.64,5,,,
55,Inflorescence type,5.65,dichasial cyme,solitary,,
56,Physical defences on leaves,6.02,soft hairs,-,-,
57,Physical defences on stems,6.03,glandular hairs,-,-,
58,Physical defences on flowers/fruits,6.04,glandular hairs,sepals,-,
59,Rarity Status,7.02,Present,,,
60,Change Index,7.03,-0.44,,,
61,Biome,7.04,Temperate,,,
62,Eastern Limit,7.05,European,,,
63,Continentality,7.06,Not continental,,,
64,Northern Limit in Britain,7.07,No,,,
65,Southern European Limit,7.1,No Data,,,
66,January mean temperature,7.11,3.7,,,
67,July mean temperature,7.12,14,,,
68,Annual precipitation,7.13,1291,,,
69,Ellenberg Indicator: Light,7.14,8,,,
70,Ellenberg : Moisture,7.15,6,,,
71,Ellenberg: pH,7.16,6,,,
72,Ellenberg Indicator: Nitrogen,7.17,4,,,
73,Ellenberg Indicator: Salt,7.18,0,,,
74,Life Form: normal state,7.19,Chamaephyte,,,
75,Clonality: normal state,7.21,Little or no vegetative spread,,,
