,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,,
1,Soil nutrients,1.01,infertile,-,,
2,Soil moisture: 1. water table,1.02,periodically high,,,
3,Waterlogging tolerance,1.021,4.1,�0.03,,
4,Shade,1.1,light,,,
5,Shade tolerance,1.101,1.99,�0.18,,
6,Altitude: 1. maximum recorded (m),1.12,274,-,,
7,Altitude: 2. minimum recorded (m),1.13,0,-,,
8,Altitude: 4. typical minimum (m),1.14,0,-,,
9,Status,2.01,native,-,,
10,Typical abundance where naturally occurring,2.02,frequent,-,,
11,First historical record: 1. date,2.04,1597,-,,
12,Range: 3. continents where native,2.11,Asia,-,,
13,Range: 3. continents where native,2.11,Europe,-,,
14,SN Index,2.13,3,-,,
15,EW Index,2.14,3.54,-,,
16,number of European countries in which native,2.17,24,-,,
17,Stems: 1. woodiness,3.01,woody,-,,
18,Stems: 2. support,3.02,self-supporting,-,,
19,Height: 1. extreme maximum (cm),3.03,3000,-,,
20,Height: 3. typical maximum (cm),3.05,2500,-,,
21,Height: 4. typical minimum (cm),3.06,1000,-,,
22,Spread,3.07,height > width,-,,
23,Heterophylly,3.08,none,-,,
24,Leaf shape: 1. type,3.09,simple,-,,
25,Leaf shape: 2. outline,3.1,toothed,-,,
26,Leaf shape: 3. pointed/round,3.11,pointed,-,,
27,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,,
28,Leaf shape: 5. leaf base,3.13,cuneate,,,
29,Leaf shape: 6. petiole,3.14,petiolate,,,
30,Leaf shape: 7. minimum petiole length (mm),3.15,5,,,
31,Leaf shape: 8. maximum petiole length (mm),3.16,10,,,
32,Leaf area (cm2),3.17,10-100,,,
33,Stomata: 1. surfaces present,3.19,both,-,,
34,Leaf longevity: 1. type,3.22,aestival,-,,
35,Max. Stem Diameter (mm),3.34,1300,,,
36,Photosynthetic pathway,4.02,C3,-,,
37,Heavy metal resistance,4.05,none,-,,
38,Carnivory,4.06,does not kill insects,-,,
39,Nutrition,4.07,autotrophic,-,,
40,Drought Tolerance,4.081,2,�0.21,,
41,Life-form,5.01,phanerophyte,-,,
42,Longevity of stems (yrs),5.02,100-500,100,,
43,Mono/poly-carpic,5.04,polycarpic,-,,
44,Flowering time: 1. earliest month,5.07,4,-,,
45,Flowering time: 2. latest month,5.08,5,-,,
46,Pollen vector,5.15,insect,-,,
47,Dicliny,5.16,dioecious,-,,
48,Fertilization,5.19,obligatory cross,-,,
49,Chromosome number(s): 1. number,5.25,76,,,
50,2C DNA content (pg),5.26,1.65,,,
51,Seed weight: 3. mean (mg),5.34,0.12,,,
52,Seed weight: 3. mean (mg),5.34,0.12,,,
53,Seedbank type,5.53,long-term persistent,-,,
54,Seedbank type,5.53,transient,-,,
55,Maximum seedbank density (m2),5.54,1146,-,,
56,Minimum seedbank density (m2),5.55,313,-,,
57,Mean seedbank density (m2),5.56,655,-,,
58,Flower colour,5.58,green,"silver, yellow",,
59,Petal no,5.59,0,,,
60,Petal (sepal) size (cm),5.6,0,,,
61,Stigma number,5.61,2,,,
62,Stamen number,5.62,2,,,
63,Sepal number,5.63,0,,scales,
64,Carpel/Style number,5.64,1,,,
65,Inflorescence type,5.65,catkin,,,
66,Physical defences on leaves,6.02,soft hairs,becomes subglabrous with age,,
67,Physical defences on stems,6.03,glabrous,sparsely hairy when young,,
68,Physical defences on flowers/fruits,6.04,soft hairs,-,,
69,Physical defences on buds,6.05,soft hairs,-,,
70,Change Index,7.03,0.02,,,
71,Biome,7.04,Southern Temperate,,,
72,Eastern Limit,7.05,Euro-Siberian,,,
73,Continentality,7.06,Not continental,,,
74,Northern Limit in Britain,7.07,No,,,
75,"Northern European Limit (Lat,5C band)",7.08,55-60,,,
76,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
77,Southern European Limit,7.1,No,,,
78,January mean temperature,7.11,3.7,,,
79,July mean temperature,7.12,15,,,
80,Annual precipitation,7.13,938,,,
81,Ellenberg Indicator: Light,7.14,-5,,Data calculated for Europe,
82,Ellenberg Indicator: Light,7.14,5,,Data calculated for the Czech Republic,
83,Ellenberg Indicator: Light,7.14,6,,,
84,Ellenberg : Moisture,7.15,7,,,
85,Ellenberg : Moisture,7.15,8,,Data calculated for the Czech Republic,
86,Ellenberg : Moisture,7.15,8=,,Data calculated for Europe,
87,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
88,Ellenberg: pH,7.16,8,,,
89,Ellenberg: pH,7.16,8,,Data calculated for Europe,
90,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for the Czech Republic,
91,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for Europe,
92,Ellenberg Indicator: Nitrogen,7.17,8,,,
93,Ellenberg Indicator: Salt,7.18,0,,,
94,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
95,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
96,Life Form: normal state,7.19,Mega- meso- and micro- phanerophyte,,,
97,Clonality: normal state,7.21,Little or no vegetative spread,,,
98,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
99,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
100,Ellenberg: Continetality,7.24,6,,Data calculated for Europe,
