,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,,
1,Waterlogging tolerance,1.021,2.84,�0.34,,
2,Soil moisture: 2. drainage,1.03,free-draining,-,,
3,Salinity,1.05,salt-affected,-,,
4,Soil pH: 3. typical maximum,1.08,7.3,In Wales,,
5,Soil pH: 4. typical minimum,1.09,5.8,In Wales,,
6,Shade,1.1,light,-,,
7,Shade,1.1,none,-,,
8,Shade tolerance,1.101,2.16,�0.08,,
9,Altitude: 1. maximum recorded (m),1.12,762,-,,
10,Altitude: 2. minimum recorded (m),1.13,0,-,,
11,Altitude: 4. typical minimum (m),1.14,0,-,,
12,Status,2.01,native,-,,
13,Typical abundance where naturally occurring,2.02,frequent,-,,
14,Dynamics,2.03,increasing,probably,,
15,Dynamics,2.03,increasing,-,,
16,First historical record: 1. date,2.04,1597,-,,
17,Range: 3. continents where native,2.11,Asia,-,,
18,Range: 3. continents where native,2.11,Europe,-,,
19,SN Index,2.13,3.55,-,,
20,EW Index,2.14,4.36,-,,
21,number of European countries in which native,2.17,26,-,,
22,Stems: 1. woodiness,3.01,woody,-,,
23,Stems: 2. support,3.02,self-supporting,-,,
24,Height: 3. typical maximum (cm),3.05,1000,-,,
25,Height: 4. typical minimum (cm),3.06,300,-,,
26,Spread,3.07,height = width,,,
27,Heterophylly,3.08,none,-,,
28,Leaf shape: 1. type,3.09,simple,-,,
29,Leaf shape: 2. outline,3.1,toothed,-,,
30,Leaf shape: 3. pointed/round,3.11,pointed,,,
31,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,,
32,Leaf shape: 5. leaf base,3.13,cuneate,,,
33,Leaf shape: 6. petiole,3.14,petiolate,,,
34,Leaf shape: 7. minimum petiole length (mm),3.15,5,,,
35,Leaf shape: 8. maximum petiole length (mm),3.16,20,,,
36,Leaf area (cm2),3.17,1-10,-,,
37,Leaf area (cm2),3.17,10-100,-,,
38,Stomata: 1. surfaces present,3.19,lower,-,,
39,Stomata: 2. density on lower surface(no/mm2),3.2,400,-,,
40,Stomata: 3. density on upper surface (no/mm2),3.21,0,-,,
41,Leaf longevity: 1. type,3.22,aestival,-,,
42,Photosynthetic pathway,4.02,C3,-,,
43,Heavy metal resistance,4.05,none,-,,
44,Carnivory,4.06,does not kill insects,-,,
45,Nutrition,4.07,autotrophic,-,,
46,Drought Tolerance,4.081,2.24,�0.23,,
47,Life-form,5.01,phanerophyte,-,,
48,Mono/poly-carpic,5.04,polycarpic,-,,
49,Flowering time: 1. earliest month,5.07,3,-,,
50,Flowering time: 2. latest month,5.08,4,-,,
51,Pollen: 2. diameter (um),5.13,16.4,-,,
52,Pollen vector,5.15,insect,-,,
53,Pollen vector,5.15,wind,-,,
54,Dicliny,5.16,dioecious,-,,
55,Fertilization,5.19,obligatory cross,-,,
56,Chromosome number(s): 1. number,5.25,38,-,,
57,Chromosome number(s): 1. number,5.25,76,-,,
58,2C DNA content (pg),5.26,0.8,-,,
59,Time of seed dispersal (season),5.28,spring,-,,
60,Dispersule size - length of longest axis (mm),5.3,5.0,seed enveloped in hairs c.5mm long,,
61,Seed size - length of longest axis (mm),5.31,1.1,seed enveloped in hairs c.5mm long,,
62,Seed weight: 3. mean (mg),5.34,0.02506,,,
63,Seed weight: 3. mean (mg),5.34,0.09,-,,
64,Dispersal agent,5.38,wind,-,,
65,Germination requirements 2. light,5.46,none,-,,
66,Germination type,5.48,epigeal,-,,
67,Seedbank longevity,5.5,<3 months,-,,
68,Seedbank type,5.53,transient,-,,
69,Flower colour,5.58,green,"silver, yellow",,
70,Petal no,5.59,0,,,
71,Petal (sepal) size (cm),5.6,0,,,
72,Stigma number,5.61,2,,,
73,Stamen number,5.62,2,,,
74,Sepal number,5.63,0,,scales,
75,Carpel/Style number,5.64,1,,,
76,Inflorescence type,5.65,catkin,,,
77,Physical defences on leaves,6.02,soft hairs,hairs more dense on lower epidermis,,
78,Physical defences on stems,6.03,glabrous,sparsely hairy at first,,
79,Physical defences on flowers/fruits,6.04,soft hairs,-,,
80,Physical defences on buds,6.05,glabrous,hairy at first,,
81,Rarity Status,7.02,Present,,,
82,Change Index,7.03,0.34,,,
83,Biome,7.04,Boreo-Temperate,,,
84,Eastern Limit,7.05,Eurasian,,,
85,Continentality,7.06,Not continental,,,
86,Northern Limit in Britain,7.07,No,,,
87,"Northern European Limit (Lat,5C band)",7.08,60-65,,,
88,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
89,Southern European Limit,7.1,No,,,
90,January mean temperature,7.11,3.4,,,
91,July mean temperature,7.12,15,,,
92,Annual precipitation,7.13,1080,,,
93,Ellenberg Indicator: Light,7.14,7,,,
94,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
95,Ellenberg Indicator: Light,7.14,7x,,Data calculated for the Czech Republic,
96,Ellenberg : Moisture,7.15,6,,Data calculated for the Czech Republic,
97,Ellenberg : Moisture,7.15,6,,Data calculated for Europe,
98,Ellenberg : Moisture,7.15,7,,,
99,Ellenberg: pH,7.16,6,,Data calculated for the Czech Republic,
100,Ellenberg: pH,7.16,7,,,
101,Ellenberg: pH,7.16,7,,Data calculated for Europe,
102,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
103,Ellenberg Indicator: Nitrogen,7.17,7,,,
104,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for Europe,
105,Ellenberg Indicator: Salt,7.18,0,,,
106,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
107,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
108,Life Form: normal state,7.19,Mega- meso- and micro- phanerophyte,,,
109,Clonality: normal state,7.21,Little or no vegetative spread,,,
110,Ellenberg: Temperature,7.23,5,,Data calculated for the Czech Republic,
111,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
112,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
