,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,137,-,-,
4,Status,2.01,native,-,-,
5,Typical abundance where naturally occurring,2.02,scattered,-,-,
6,First historical record: 1. date,2.04,1538,-,-,
7,Range: 3. continents where native,2.11,Africa,-,-,
8,Range: 3. continents where native,2.11,Europe,-,-,
9,SN Index,2.13,.78,-,-,
10,EW Index,2.14,4.53,-,-,
11,number of European countries in which native,2.17,17,-,-,
12,Medicinal Use,2.18,sprains,,,
13,Stems: 1. woodiness,3.01,non-woody,-,-,
14,Stems: 2. support,3.02,self-supporting,-,-,
15,Height: 3. typical maximum (cm),3.05,80,-,-,
16,Height: 4. typical minimum (cm),3.06,30,-,-,
17,Spread,3.07,height > width,-,-,
18,Heterophylly,3.08,none,-,-,
19,Leaf shape: 1. type,3.09,simple,-,-,
20,Leaf shape: 2. outline,3.1,lobed and toothed,-,-,
21,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
22,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
23,Leaf shape: 5. leaf base,3.13,cordate,-,-,
24,Leaf shape: 6. petiole,3.14,petiolate,-,-,
25,Leaf shape: 6. petiole,3.14,sessile,-,-,
26,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
27,Leaf area (cm2),3.17,10-100,-,-,
28,Root system,3.24,tap root,-,-,
29,Root depth: 2. depth (cm),3.26,50-100,-,-,
30,Photosynthetic pathway,4.02,C3,-,-,
31,Heavy metal resistance,4.05,none,-,-,
32,Carnivory,4.06,does not kill insects,-,-,
33,Nutrition,4.07,autotrophic,-,-,
34,Life-form,5.01,hemicryptophyte,-,-,
35,Longevity of stems (yrs),5.02,<1,-,-,
36,Flowering time: 1. earliest month,5.07,5,-,-,
37,Flowering time: 2. latest month,5.08,8,-,-,
38,Pollen vector,5.15,insect,-,-,
39,Fertilization,5.19,normally self,-,-,
40,Cleistogamy,5.2,some cleistogamous flowers,-,-,
41,Chromosome number(s): 1. number,5.25,42,,-,
42,Chromosome number(s): 1. number,5.25,59,,-,
43,Chromosome number(s): 1. number,5.25,60,,-,
44,Chromosome number(s): 1. number,5.25,64,,-,
45,Appendages on dispersal unit,5.27,mucilage,-,-,
46,Seed weight: 3. mean (mg),5.34,1.37,,,
47,Seed weight: 3. mean (mg),5.34,2.6,,,
48,Seed weight: 3. mean (mg),5.34,3.31,-,-,
49,Seed weight: 3. mean (mg),5.34,3.31,,,
50,Seed production: 1. maximum (/flower),5.35,4,-,-,
51,Seed production: 2. typical range (/flower),5.36,1-10,-,-,
52,Seed production: 3. typical range (/plant),5.37,100-1000,-,-,
53,Seed production: 3. typical range (/plant),5.37,100-1000,"mean 214, max 276",,
54,Dispersal agent,5.38,ants,,-,
55,Dispersal agent,5.38,carried by mammals,-,-,
56,Flower colour,5.58,lilac,,,
57,Petal no,5.59,5,,fused,
58,Petal (sepal) size (cm),5.6,1.35,1.2-1.5,,
59,Stigma number,5.61,2,,,
60,Stamen number,5.62,4,,,
61,Sepal number,5.63,5,,fused,
62,Carpel/Style number,5.64,1,,,
63,Inflorescence type,5.65,whorl,,condensed cymes in axil of leaf pairs,
64,Physical defences on leaves,6.02,hairy,-,-,
65,Physical defences on stems,6.03,hairy,-,-,
66,Rarity Status,7.02,Present,,,
67,Change Index,7.03,-0.51,,,
68,Biome,7.04,Mediterranean-Atlantic,,,
69,Eastern Limit,7.05,Oceanic,,,
70,Continentality,7.06,Not continental,,,
71,Northern Limit in Britain,7.07,No,,,
72,"Northern European Limit (Lat,5C band)",7.08,60-65,,,
73,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
74,Southern European Limit,7.1,No,,,
75,January mean temperature,7.11,4.1,,,
76,July mean temperature,7.12,16,,,
77,Annual precipitation,7.13,748,,,
78,Ellenberg Indicator: Light,7.14,8,,,
79,Ellenberg : Moisture,7.15,3,,,
80,Ellenberg: pH,7.16,7,,,
81,Ellenberg Indicator: Nitrogen,7.17,2,,,
82,Ellenberg Indicator: Salt,7.18,0,,,
83,Life Form: normal state,7.19,Hemicryptophyte,,,
84,Clonality: normal state,7.21,Little or no vegetative spread,,,
