,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Soil moisture: 2. drainage,1.03,free-draining,-,-,
3,Soil pH: 3. typical maximum,1.08,8.0,-,-,
4,Soil pH: 4. typical minimum,1.09,7.4,-,-,
5,Shade,1.1,none,-,-,
6,Status,2.01,native,-,-,
7,Typical abundance where naturally occurring,2.02,scattered,-,-,
8,First historical record: 1. date,2.04,1699,-,-,
9,First historical record: 2. site,2.05,Essex,-,-,
10,Range: 3. continents where native,2.11,Africa,-,-,
11,Range: 3. continents where native,2.11,Europe,-,-,
12,SN Index,2.13,1.49,-,-,
13,EW Index,2.14,3.31,-,-,
14,number of European countries in which native,2.17,20,-,-,
15,Stems: 1. woodiness,3.01,non-woody,-,-,
16,Stems: 2. support,3.02,self-supporting,-,-,
17,Height: 3. typical maximum (cm),3.05,100,-,-,
18,Height: 4. typical minimum (cm),3.06,30,-,-,
19,Spread,3.07,height > width,-,-,
20,Heterophylly,3.08,none,-,-,
21,Leaf shape: 1. type,3.09,simple,-,-,
22,Leaf shape: 2. outline,3.1,crenate,-,-,
23,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
24,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
25,Leaf shape: 5. leaf base,3.13,cordate,-,-,
26,Leaf shape: 6. petiole,3.14,petiolate,-,-,
27,Leaf shape: 6. petiole,3.14,sessile,-,-,
28,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
29,Leaf area (cm2),3.17,10-100,-,-,
30,Root system,3.24,fibrous,lateral roots,-,
31,Root system,3.24,tap root,-,-,
32,Root depth: 1. type,3.25,deep,-,-,
33,Photosynthetic pathway,4.02,C3,-,-,
34,Heavy metal resistance,4.05,none,-,-,
35,Carnivory,4.06,does not kill insects,-,-,
36,Nutrition,4.07,autotrophic,-,-,
37,Life-form,5.01,hemicryptophyte,-,-,
38,Longevity of stems (yrs),5.02,<1,-,-,
39,Flowering time: 1. earliest month,5.07,6,-,-,
40,Flowering time: 2. latest month,5.08,7,-,-,
41,Flowering time: 3. peak month,5.09,6,-,-,
42,Pollen: 2. diameter (um),5.13,40.7,,,
43,Pollen: 2. diameter (um),5.13,56,-,-,
44,Pollen vector,5.15,insect,-,-,
45,Dicliny,5.16,gynodioecious,-,-,
46,Dicliny,5.16,gynomonoecious,,-,
47,Dichogamy,5.17,entirely protandrous,-,-,
48,Dichogamy,5.17,homogamous,-,-,
49,Fertilization,5.19,cross or automatic self,automatic selfing can occur in homogamous plants,-,
50,Incompatibility systems,5.22,none,-,-,
51,Chromosome number(s): 1. number,5.25,18,,-,
52,Appendages on dispersal unit,5.27,mucilage,-,-,
53,Time of seed dispersal (season),5.28,summer,-,-,
54,Seed weight: 3. mean (mg),5.34,1.9,hermaphrodite individuals,-,
55,Seed weight: 3. mean (mg),5.34,2.3,male-sterile individuals,-,
