,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,,
1,Soil moisture: 2. drainage,1.03,free draining,,,
2,Shade,1.1,partial,none,,
3,First historical record: 1. date,2.04,1943,cult 1761,,
4,Range: 3. continents where native,2.11,N. America,,,
5,Range: 4. continents where introduced,2.12,Europe,,,
6,Stems: 1. woodiness,3.01,woody,,,
7,Stems: 2. support,3.02,self supporting,,,
8,Height: 3. typical maximum (cm),3.05,400,,,
9,Height: 3. typical maximum (cm),3.05,400,,,
10,Spread,3.07,ht = width,,,
11,Heterophylly,3.08,none,,,
12,Leaf shape: 1. type,3.09,compound,,,
13,Leaf shape: 2. outline,3.1,toothed,,,
14,Leaf shape: 3. pointed/round,3.11,pointed,,,
15,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,,,
16,Leaf shape: 5. leaf base,3.13,cuneate,,,
17,Leaf shape: 6. petiole,3.14,petiolate,,,
18,Leaf area (cm2),3.17,100-1000,,,
19,Leaf longevity: 1. type,3.22,aestival,,,
20,Carnivory,4.06,does not kill insects,,,
21,Nutrition,4.07,autotrophic,,,
22,Life-form,5.01,Phanerophyte,,,
23,Longevity of stems (yrs),5.02,10-100,,,
24,Mono/poly-carpic,5.04,polycarpic,,,
25,Pollen vector,5.15,insect,,,
26,Dicliny,5.16,hermaphrodite,,,
27,Chromosome number(s): 1. number,5.25,36,,,
28,Seed weight: 3. mean (mg),5.34,3.627,,,
29,Seed weight: 3. mean (mg),5.34,3.7,,,
30,Seed production: 1. maximum (/flower),5.35,5,,,
31,Seed production: 2. typical range (/flower),5.36,1-10,,,
32,Normal method of propagation,5.52,seed,,,
33,Flower colour,5.58,white,,,
34,Petal no,5.59,5,,,
35,Stigma number,5.61,4,3-5,,
36,Stamen number,5.62,5,,,
37,Sepal number,5.63,5,,,
38,Carpel/Style number,5.64,4,3-5,,
39,Inflorescence type,5.65,cyme,,"corymbose, paniculate",
40,Physical defences on leaves,6.02,glabrous,,,
41,Physical defences on stems,6.03,glabrous,,,
42,Physical defences on flowers/fruits,6.04,glabrous,,,
43,Physical defences on buds,6.05,glabrous,,,
