,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,,
1,Soil nutrients,1.01,poor,,,
2,Shade,1.1,none,,,
3,First historical record: 1. date,2.04,1905,1548 in cultivation,,
4,Range: 2. european countries where introduced,2.1,UK,,,
5,Range: 3. continents where native,2.11,"Europe, N. Africa",,,
6,Stems: 1. woodiness,3.01,woody,,,
7,Stems: 2. support,3.02,self supporting,,,
8,Spread,3.07,height < width,,width to 1 m,
9,Heterophylly,3.08,none,,,
10,Leaf shape: 1. type,3.09,simple,,,
11,Leaf shape: 2. outline,3.1,pinnatisect,,,
12,Leaf shape: 3. pointed/round,3.11,pointed,,,
13,Leaf shape: 4. length versus breadth,3.12,1-3 x as long as wide,,4 cm,
14,Leaf shape: 6. petiole,3.14,petiolate,,,
15,Leaf area (cm2),3.17,1-10,,,
16,Leaf longevity: 1. type,3.22,evergreen,,,
17,Carnivory,4.06,does not kill insects,,,
18,Nutrition,4.07,autotrophic,,,
19,Response to frost (non-woody tissue),4.09,resistant,,,
20,Life-form,5.01,Chamaephyte,,,
21,Flowering time: 1. earliest month,5.07,6,,,
22,Flowering time: 2. latest month,5.08,8,,,
23,Flowering time: 3. peak month,5.09,7,,,
24,Pollen vector,5.15,insect,,,
25,Dicliny,5.16,hermaphrodite,,,
26,Dichogamy,5.17,homogamous,,,
27,Chromosome number(s): 1. number,5.25,18,,,
28,Chromosome number(s): 1. number,5.25,36,,,
29,Seed production: 1. maximum (/flower),5.35,1,10-100 per capitula,,
30,Seed production: 2. typical range (/flower),5.36,1,10-100 per capitula,,
31,Flower colour,5.58,yellow,,discoid,
32,Petal no,5.59,5,many,flowers mistaken for petals,
33,Petal (sepal) size (cm),5.6,0.35,,,
34,Stigma number,5.61,2,,,
35,Stamen number,5.62,5,,fused into a tube,
36,Sepal number,5.63,0,many,sepaloid phyllaries,
37,Carpel/Style number,5.64,1,,,
38,Inflorescence type,5.65,capitulum,,,
