,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,,
1,Soil moisture: 2. drainage,1.03,free-draining,,,
2,Shade,1.1,none,,,
3,Stems: 2. support,3.02,creeping,,,
4,Height: 1. extreme maximum (cm),3.03,50,,,
5,Height: 3. typical maximum (cm),3.05,25,,,
6,Height: 4. typical minimum (cm),3.06,5,,,
7,Spread,3.07,height < width,,,
8,Heterophylly,3.08,none,,,
9,Leaf shape: 1. type,3.09,simple,,,
10,Leaf shape: 2. outline,3.1,entire,,,
11,Leaf shape: 3. pointed/round,3.11,pointed,,,
12,Leaf shape: 4. length versus breadth,3.12,1-3 x as long as broad,,,
13,Leaf shape: 5. leaf base,3.13,cuneate,,,
14,Leaf shape: 6. petiole,3.14,sessile,petiolate,,
15,Leaf longevity: 1. type,3.22,evergreen,,,
16,Carnivory,4.06,does not kill insects,,,
17,Nutrition,4.07,autotrophic,,,
18,Response to frost (non-woody tissue),4.09,resistant,,,
19,Life-form,5.01,Chamaephyte,,,
20,Mono/poly-carpic,5.04,polycarpic,,,
21,Vegetative reproduction/persistence: 2. pattern,5.06,patch,mat,,
22,Pollen vector,5.15,insects,,,
23,Chromosome number(s): 1. number,5.25,28,,,
24,Seed size - length of longest axis (mm),5.31,1.8,1.6-2,,
25,Seed weight: 3. mean (mg),5.34,3.6,,,
26,Flower colour,5.58,pink,white,,
27,Petal no,5.59,5,,,
28,Petal (sepal) size (cm),5.6,0.5,,,
29,Stigma number,5.61,3,,,
30,Stamen number,5.62,10,,,
31,Sepal number,5.63,5,,fused,
32,Carpel/Style number,5.64,2,3,,
33,Inflorescence type,5.65,cyme,,lax,
34,Inflorescence type,5.65,dichasia,,lax,
35,Physical defences on leaves,6.02,hairy,,,
36,Physical defences on stems,6.03,hairy,,,
37,Physical defences on flowers/fruits,6.04,hairy,,,
