,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Shade,1.1,none,-,-,
2,Status,2.01,naturalised,-,-,
3,First historical record: 1. date,2.04,1906,-,-,
4,First historical record: 2. site,2.05,"Termonberry Bog, County Roscommen",-,-,
5,Range: 3. continents where native,2.11,North America,-,-,
6,Range: 4. continents where introduced,2.12,Europe,-,-,
7,SN Index,2.13,1.3,-,-,
8,EW Index,2.14,5.4,-,-,
9,Stems: 1. woodiness,3.01,non-woody,-,-,
10,Stems: 2. support,3.02,self-supporting,-,-,
11,Height: 3. typical maximum (cm),3.05,20,-,-,
12,Height: 4. typical minimum (cm),3.06,10,-,-,
13,Spread,3.07,height > width,-,-,
14,Heterophylly,3.08,none,-,-,
15,Leaf shape: 1. type,3.09,modified,into traps,-,
16,Stomata: 1. surfaces present,3.19,lower,infrequent,-,
17,Photosynthetic pathway,4.02,C3,-,-,
18,Heavy metal resistance,4.05,none,-,-,
19,Carnivory,4.06,traps,-,-,
20,Nutrition,4.07,autotrophic,-,-,
21,Life-form,5.01,helophyte,-,-,
22,Flowering time: 1. earliest month,5.07,6,-,-,
23,Flowering time: 2. latest month,5.08,6,-,-,
24,Pollen: 2. diameter (um),5.13,25,-,-,
25,Pollen vector,5.15,insect,-,-,
26,Dicliny,5.16,hermaphrodite,-,-,
27,Dichogamy,5.17,homogamous,-,-,
28,Incompatibility systems,5.22,none,-,-,
29,Seed weight: 3. mean (mg),5.34,1.21,,,
30,Flower colour,5.58,purple,,,
31,Petal no,5.59,5,,connivent,
32,Petal (sepal) size (cm),5.6,2.5,,,
33,Stigma number,5.61,1,,,
34,Stamen number,5.62,numerous,,,
35,Sepal number,5.63,5,,petaloid,
36,Carpel/Style number,5.64,1,,,
37,Inflorescence type,5.65,solitary,,terminal,
