,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,,
1,Soil moisture: 2. drainage,1.03,free draining,,,
2,Soil moisture: 3. supply,1.04,continuous,moist,,
3,Shade,1.1,full,,,
4,Shade,1.1,none,,,
5,Shade,1.1,some,,,
6,Status,2.01,naturalised,,,
7,First historical record: 1. date,2.04,1962,1880 cult,,
8,First historical record: 2. site,2.05,Jersey,,,
9,Range: 3. continents where native,2.11,E. Asia,,"Japan, China, Russian Far East",
10,Stems: 1. woodiness,3.01,woody,,,
11,Stems: 2. support,3.02,self supporting,,,
12,Height: 3. typical maximum (cm),3.05,150,,,
13,Height: 4. typical minimum (cm),3.06,50,,,
14,Heterophylly,3.08,none,,,
15,Leaf shape: 1. type,3.09,simple,,,
16,Leaf shape: 2. outline,3.1,toothed,,,
17,Leaf shape: 3. pointed/round,3.11,pointed,,,
18,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,10-25 x 2.5-6 cm,,
19,Leaf shape: 5. leaf base,3.13,parallel-sided,,,
20,Leaf shape: 6. petiole,3.14,petiolate,sheathing,"false petiole, purple",
21,Leaf longevity: 1. type,3.22,evergreen,,,
22,Root system,3.24,fibrous,,,
23,Ligule,3.33,,,membranaceous,
24,Max. Stem Diameter (mm),3.34,10,7-10,,
25,Carnivory,4.06,does not kill insects,,,
26,Nutrition,4.07,autotrophic,,,
27,Life-form,5.01,phanerophyte,,,
28,Vegetative reproduction/persistence: 1. method,5.05,rhizome,,,
29,Vegetative reproduction/persistence: 2. pattern,5.06,patch,,,
30,Chromosome number(s): 1. number,5.25,48,,,
31,2C DNA content (pg),5.26,7.15,,,
32,Flower colour,5.58,green,"brown, purple, white",,
33,Petal no,5.59,0,,,
34,Petal (sepal) size (cm),5.6,0,,,
35,Stigma number,5.61,3,,,
36,Stamen number,5.62,6,,,
37,Sepal number,5.63,0,,,
38,Carpel/Style number,5.64,3,,,
39,Inflorescence type,5.65,panicle,,open,
40,"Glume, upper",5.66,0.15,,"lanceolate, acuminate",
41,Glume lower,5.67,0.1,,"lanceolate, acuminate, 1 veined",
42,Palea,5.68,0.6,,"obtuse, 10 veined",
43,Lemma,5.69,0.6,,"ovate, acuminate, 9 veined",
44,Physical defences on leaves,6.02,glabrous,sometimes with bristly sheaths,,
45,Physical defences on stems,6.03,glabrous,waxy beneath nodes,,
