,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,1215,-,-,
4,Altitude: 2. minimum recorded (m),1.13,915,-,-,
5,Status,2.01,native,-,-,
6,Typical abundance where naturally occurring,2.02,scattered,-,-,
7,First historical record: 1. date,2.04,1794,-,-,
8,First historical record: 2. site,2.05,"Ben Lawers, Scotland",-,-,
9,Range: 3. continents where native,2.11,Asia,-,-,
10,Range: 3. continents where native,2.11,Europe,-,-,
11,Range: 3. continents where native,2.11,North America,-,-,
12,SN Index,2.13,7.45,-,-,
13,EW Index,2.14,6.38,-,-,
14,number of European countries in which native,2.17,13,-,-,
15,Stems: 1. woodiness,3.01,non-woody,-,-,
16,Stems: 2. support,3.02,self-supporting,-,-,
17,Height: 3. typical maximum (cm),3.05,15,-,-,
18,Height: 4. typical minimum (cm),3.06,3,-,-,
19,Spread,3.07,height > width,-,-,
20,Heterophylly,3.08,developmental,-,-,
21,Leaf shape: 1. type,3.09,simple,-,-,
22,Leaf shape: 2. outline,3.1,entire,-,-,
23,Leaf shape: 2. outline,3.1,lobed,-,-,
24,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
25,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
26,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
27,Leaf shape: 5. leaf base,3.13,cordate,-,-,
28,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
29,Leaf shape: 6. petiole,3.14,petiolate,-,-,
30,Leaf shape: 6. petiole,3.14,sessile,-,-,
31,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
32,Leaf area (cm2),3.17,0.1-1,-,-,
33,Photosynthetic pathway,4.02,C3,-,-,
34,Heavy metal resistance,4.05,none,-,-,
35,Carnivory,4.06,does not kill insects,-,-,
36,Nutrition,4.07,autotrophic,-,-,
37,Life-form,5.01,hemicryptophyte,-,-,
38,Longevity of stems (yrs),5.02,<1,-,-,
39,Vegetative reproduction/persistence: 1. method,5.05,bulbils,-,-,
40,Flowering time: 1. earliest month,5.07,7,-,-,
41,Flowering time: 2. latest month,5.08,7,-,-,
42,Pollen vector,5.15,none,-,-,
43,Dicliny,5.16,androdioecious,,-,
44,Dicliny,5.16,hermaphrodite,-,-,
45,Dichogamy,5.17,markedly protandrous,-,-,
46,Dichogamy,5.17,protogynous,-,-,
47,Fertilization,5.19,viviparous,-,-,
48,Pollen/ovule ratio,5.23,217,,-,
49,Seed/ovule ratio,5.24,0.30,,-,
50,Chromosome number(s): 1. number,5.25,50,,-,
51,Chromosome number(s): 1. number,5.25,64,,-,
52,Seed size - length of longest axis (mm),5.31,1.0,,-,
53,Normal method of propagation,5.52,vegetative,-,-,
54,Seedbank type,5.53,transient,-,-,
55,Flower colour,5.58,white,,,
56,Petal no,5.59,5,,,
57,Petal (sepal) size (cm),5.6,1.2,,,
58,Stigma number,5.61,2,,,
59,Stamen number,5.62,10,,,
60,Sepal number,5.63,5,,,
61,Carpel/Style number,5.64,2,fused at least at base,,
62,Inflorescence type,5.65,solitary,0,"terminal, often replaced by bulbils",
63,Physical defences on leaves,6.02,subglabrous,-,-,
64,Conservation Status,7.01,Vulnerable,,,
65,Rarity Status,7.02,Rare,,,
66,Biome,7.04,Arctic Montane,,,
67,Eastern Limit,7.05,Circumpolar,,,
68,Continentality,7.06,Not continental,,,
69,Northern Limit in Britain,7.07,No,,,
70,"Northern European Limit (Lat,5C band)",7.08,60-65,,,
71,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
72,Southern European Limit,7.1,No,,,
73,January mean temperature,7.11,0.5,,,
74,July mean temperature,7.12,12,,,
75,Annual precipitation,7.13,2265,,,
76,Ellenberg Indicator: Light,7.14,6,,,
77,Ellenberg : Moisture,7.15,6,,,
78,Ellenberg: pH,7.16,7,,,
79,Ellenberg Indicator: Nitrogen,7.17,1,,,
80,Ellenberg Indicator: Salt,7.18,0,,,
81,Life Form: normal state,7.19,Hemicryptophyte,,,
82,Clonality: normal state,7.21,"Detaching ramets above ground, often axillary",,,
83,Clonality: less frequent state,7.22,Detaching ramets on inflorescence,,,
