,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,Fertile,moderately fertile,,
1,Soil moisture: 2. drainage,1.03,free draining,,,
2,Shade,1.1,partial,none,,
3,number of European countries in which native,2.17,"Turkey, Bulgaria",,,
4,Stems: 2. support,3.02,self supporting,,,
5,Height: 3. typical maximum (cm),3.05,30,,,
6,Spread,3.07,height = width,,,
7,Heterophylly,3.08,none,,,
8,Leaf shape: 1. type,3.09,simple,,,
9,Leaf shape: 2. outline,3.1,entire,,,
10,Leaf shape: 2. outline,3.1,not woody,,,
11,Leaf shape: 3. pointed/round,3.11,acute,,,
12,Leaf shape: 4. length versus breadth,3.12,>3x as long as broad,,,
13,Leaf shape: 5. leaf base,3.13,parallel sided,,,
14,Leaf longevity: 1. type,3.22,vernal,,,
15,Leaf longevity: 2. number of months,3.23,2-6,,hf pers obs.,
16,Root system,3.24,fibrous,,,
17,Carnivory,4.06,does not kill insects,,,
18,Nutrition,4.07,autotrophic,,,
19,Life-form,5.01,Geophyte,bulb,,
20,Mono/poly-carpic,5.04,polycarpic,,,
21,Vegetative reproduction/persistence: 1. method,5.05,bulb,,,
22,Vegetative reproduction/persistence: 2. pattern,5.06,patch forming,,hf pers obs.,
23,Chromosome number(s): 1. number,5.25,12,,,
24,2C DNA content (pg),5.26,45.80,,,
25,2C DNA content (pg),5.26,hermaphrodite,,,
26,Flower colour,5.58,blue,,,
27,Petal no,5.59,6,,tepals,
28,Petal (sepal) size (cm),5.6,0.75,0.5-1,,
29,Stigma number,5.61,1,,,
30,Stamen number,5.62,6,,,
31,Sepal number,5.63,0,,tepals,
32,Carpel/Style number,5.64,1,,,
33,Inflorescence type,5.65,raceme,,terminal,
34,Physical defences on leaves,6.02,glabrous,,,
35,Physical defences on stems,6.03,glabrous,,,
36,Physical defences on flowers/fruits,6.04,glabrous,,,
